Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.57,100.24,101.24,101.11,102.15,99.93,99.78,100.54,101.19,100.91,100.94,101.03,100.62,100.53,100.96,100.62,101.32,99.59,99.66,100.48,100.56,100.58,100.67,100.92,100.6,100.5,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.71,100.21,100.69,100.39,97.84,98.33,98.28,100.57,101.43,100.98,101.07,101.83,100.73,100.64,101.6,100.79,99.29,98.96,99.01,100.59,100.81,100.9,100.95,101.54,100.8,100.9,101.3,101.0
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.97,100.56,100.95,102.86,102.9,100.87,101.66,101.11,100.99,97.68,93.69,96.53,98.36,96.67,97.89,99.48,100.0,99.79,99.82,100.24,99.07,96.87,94.14,98.19,98.9,99.4,99.9,98.6
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.53,99.21,100.99,100.19,100.29,99.12,100.92,100.62,100.38,96.93,97.46,97.16,98.64,96.26,97.7,99.64,99.85,100.07,99.54,98.77,99.47,97.76,95.32,98.02,98.8,98.4,99.6,99.2
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,100.0,100.0,100.0,99.19,100.0,100.33,100.0,100.55,100.17,96.41,95.75,97.83,96.98,97.29,98.5,100.0,100.0,100.0,100.0,99.99,99.74,99.08,97.01,99.31,97.9,100.3,100.0,99.7
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,99.71,100.0,100.0,101.21,100.0,100.0,100.51,100.0,101.22,100.0,99.0,99.53,100.36,100.0,99.42,100.34,100.0,100.0,100.0,100.0,100.07,101.06,100.78,100.24,100.0,100.1,100.0,100.8
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),100.26,99.55,98.7,99.97,99.26,98.36,99.63,99.04,98.44,100.6,98.35,100.07,99.46,100.12,100.32,100.13,100.65,100.89,99.32,99.54,100.3,100.51,99.97,100.79,101.1,100.4,100.0,100.3
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,98.55,101.45,100.34,99.03,100.91,100.36,100.33,100.12,100.08,102.02,99.76,100.11,100.7,99.44,100.36,99.62,101.26,100.0,101.37,99.4,100.84,101.29,100.02,99.66,99.7,100.6,100.3,100.7
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,99.44,101.4,99.21,100.06,101.09,100.02,100.02,100.05,100.83,99.94,101.53,102.55,99.86,100.13,99.84,100.21,99.4,100.0,100.07,101.83,100.57,100.48,100.37,100.0,99.9,100.3,101.2,99.2
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",100.0,100.43,100.04,99.86,100.92,99.91,99.58,99.62,101.17,99.72,101.23,99.7,100.7,99.74,100.17,100.37,101.08,99.95,98.59,100.5,100.75,101.18,100.23,100.21,100.2,100.3,99.9,100.9
