Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,65.1,72.2,77.3,73.7,79.6,93.5,77.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1.5,0.8,1.5,1.1,1.2,3.2,5.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,14.3,11.5,4.1,2.9,3.1,4.5,4.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.5,0.1,3.0,3.3,4.2,6.0,2.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.8,1.2,1.6,3.0,2.0,1.9,2.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.2,0.2,0.3,0.3,0.4,0.5,1.6
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.7,1.4,1.8,1.6,1.4,1.3,1.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,7.1,15.5,16.8,19.8,14.8,21.9,13.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,15.6,24.2,33.0,24.1,30.9,30.9,28.9
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,9.3,1.2,1.6,2.6,1.7,2.0,1.4
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.1,2.1,1.3,1.5,5.7,2.2,0.9
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,4.6,3.9,2.5,2.7,3.3,3.6,2.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,9.1,9.6,9.4,10.4,10.4,14.9,12.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1.3,0.5,0.4,0.4,0.5,0.6,0.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0
