Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2022-Q4,2023-Q1,2026-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,368923.0,40416.3,63384.3,159489.0,300185.4,434802.6,45367.9,175516.2,332669.6,477964.9,52710.0,194910.4,366216.0,538919.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,14702.6,1338.1,2008.1,4589.8,9600.6,16867.2,1508.1,5052.3,10706.8,18433.2,1740.3,5478.4,12129.3,21623.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,37962.8,3260.8,5236.1,16129.4,29882.0,43915.3,3641.1,17872.1,32934.9,47880.6,4279.8,19297.3,34429.4,53525.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,34319.7,3766.5,5820.0,14415.7,27153.0,38904.3,4173.7,15721.9,29863.8,42793.9,4890.7,17486.4,33243.8,48312.9
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,24502.3,2816.6,4452.5,9436.8,19227.2,28287.4,3166.5,10337.9,20771.9,30411.4,3730.5,11757.6,24576.3,36543.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,33930.1,3265.7,5273.8,15394.4,28611.2,40542.6,3653.3,17044.0,31805.4,45166.5,4338.0,19809.0,35273.9,52092.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,16675.1,2090.4,3442.0,7303.3,14016.4,20267.8,2354.1,8098.6,15451.8,22236.6,2774.7,9245.0,17339.2,25405.8
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,28277.0,2579.7,4065.6,11575.5,22543.7,33789.4,2946.4,12472.2,24743.0,37085.1,3375.5,13754.8,27528.5,41994.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,42398.8,5113.4,8126.7,16791.1,36866.2,51493.4,5849.4,18636.5,42352.0,57941.7,6746.5,21143.6,44400.2,60758.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,28222.5,3274.4,5231.8,15391.2,25198.9,34908.1,3666.0,16941.7,28051.5,38037.1,4225.4,18081.1,30021.9,42272.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,12648.4,1287.6,2045.7,5081.9,10131.2,14580.7,1472.0,5653.1,10824.5,15882.3,1690.8,6201.9,12250.8,19157.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,36220.7,4829.6,7396.8,16545.8,29614.9,42888.7,5409.2,17798.0,32220.1,46401.7,6230.0,19760.2,36135.8,52857.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,34314.1,3448.6,5188.2,16608.3,27877.1,40316.4,3822.8,18497.7,31118.5,44983.4,4442.7,19992.2,34534.7,49733.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,24748.9,3344.9,5096.8,10225.8,19463.0,28041.3,3705.3,11390.2,21825.4,30711.4,4245.1,12902.9,24352.2,34643.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
