Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.58,100.28,100.59,100.64,102.35,99.87,99.86,100.61,101.26,100.79,100.84,101.05,100.65,100.54,100.76,100.63,101.88,100.07,99.61,100.45,100.5,100.55,100.6,101.06,100.6,100.6,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.76,100.15,100.72,100.38,97.3,97.76,98.83,100.49,101.42,100.94,100.89,102.07,100.77,100.57,101.28,100.85,99.19,98.97,99.02,100.64,100.88,100.94,100.95,101.51,100.8,100.9,101.2,100.9
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.83,99.53,101.26,103.94,103.91,100.9,101.78,101.15,100.89,94.74,85.68,99.42,98.66,94.35,97.11,99.75,99.67,100.62,99.61,100.3,100.43,96.33,93.6,99.15,98.5,99.4,99.3,99.7
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.15,98.88,101.0,99.27,100.07,100.4,99.92,101.08,100.19,96.08,87.03,99.7,97.59,93.7,96.82,99.77,100.03,99.94,99.23,99.84,99.78,98.96,95.56,98.89,98.3,99.1,99.2,99.4
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,100.47,99.27,100.01,100.3,100.0,100.0,99.07,99.22,101.89,96.62,87.17,99.1,97.45,95.03,94.44,100.43,98.73,99.88,100.15,99.58,99.91,97.0,96.31,99.58,99.0,100.6,99.4,98.1
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,98.22,99.66,99.12,100.0,99.83,100.0,100.23,100.62,100.24,102.6,100.69,99.49,99.93,99.43,101.27,100.08,100.63,100.47,100.17,100.28,100.46,101.0,100.43,100.31,100.0,100.0,100.3,100.6
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),98.98,98.12,98.59,98.78,98.22,99.25,97.79,100.66,99.42,98.97,99.61,98.98,100.58,99.57,99.3,100.72,100.29,99.05,99.52,100.82,100.22,100.38,99.82,100.49,100.9,100.0,101.0,101.0
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,100.0,101.08,99.61,100.48,102.17,100.0,98.27,99.9,101.68,99.88,99.85,99.14,100.8,99.9,99.37,101.69,100.58,98.0,101.65,99.78,100.74,101.63,100.0,100.0,100.2,100.4,100.3,100.9
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,103.86,100.97,100.54,100.51,103.42,100.69,100.61,98.08,100.74,98.76,97.0,101.21,101.59,98.74,99.66,101.5,100.0,100.0,100.0,100.0,100.87,100.8,100.0,100.7,100.3,101.4,100.3,100.9
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",99.59,99.73,100.97,100.0,100.65,100.0,98.94,99.85,100.86,100.63,101.0,99.86,100.0,100.85,100.81,101.28,100.0,100.0,100.0,100.0,100.0,100.42,100.0,100.0,100.0,100.7,100.2,100.8
