Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M04,2025-M03,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M1,2026-M2,2026-M03
192,Kuba,Куба,Cuba,Куба,0.0,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,18.3,0.8,1.6,1.6,22.0,22.5,22.5,22.5,41.6,41.6,47.8,64.6,64.9,0.0,49.5,76.8,76.8,76.8,78.5,84.8,84.8,100.9,100.9,102.1,125.6,25.6,56.5,68.5,68.5,113.1,113.5,115.2,192.3,192.5,194.5,292.1,298.8,30.4,33.3,138.3,33.3,138.9,138.9,186.4,225.1,261.4,268.6,268.5,318.6,41.5,119.9,119.5
384,Kot D'ivuar,Кот-д'Ивуар,Côte d’Ivoire,Кот Дъивуар,2.9,62.3,84.6,96.8,96.8,130.3,191.0,263.9,357.7,539.2,562.3,646.7,24.5,51.1,322.6,720.1,786.9,879.1,901.9,922.8,1345.3,1749.3,1770.4,1780.6,607.5,282.2,373.6,393.6,478.8,578.2,671.2,907.9,1269.9,1518.0,1537.8,1696.0,79.3,166.3,167.6,167.6,167.6,209.0,244.0,415.2,415.2,415.5,416.1,418.4,1.4,1.4,4.7,3.6,4.7,21.7,246.9,374.1,435.6,687.9,1123.8,1158.9,718.0,2255.6,3519.0
598,Papua - Yangi Gvineya,Папуа-Новая Гвинея,Papua New Guinea,Папуа - Янги Гвинея,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,0.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,0.0,0.0,0.0
798,Tuvalu,Тувалу,Tuvalu,Тувалу,0.0,0.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Chad,Чад,Chad,Чад,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,43.9,43.9,43.9,43.9,43.9,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,27.5,27.5,27.5,27.5,27.5,27.5,27.5,28.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
008,Albaniya,Албания,Albania,Aлбания,174.2,347.8,755.6,770.4,1021.8,1445.9,1648.5,1846.2,2042.3,2240.6,2458.2,2703.8,411.9,841.6,1280.2,1717.8,1924.9,2160.0,2366.6,2595.2,2595.3,2603.6,3029.2,3242.6,430.7,428.0,432.9,436.5,442.4,443.1,447.3,448.2,449.3,457.3,457.4,589.0,17.0,19.1,71.3,263.1,450.2,468.9,485.6,1250.8,1658.3,1683.2,1770.2,1805.4,6.3,28.7,98.3,88.4,103.6,111.1,135.4,143.3,165.5,286.7,341.2,349.7,26.5,52.0,78.3
196,Kipr,Кипр,Cyprus,Кипр,37.6,95.1,215.2,237.2,768.2,983.0,992.4,754.3,1031.0,1148.5,1258.8,4316.9,42.5,509.7,3599.0,3875.6,4472.5,4788.3,4965.0,5085.0,5136.6,5514.8,5787.6,8227.5,242.0,229.7,305.6,433.6,487.9,694.0,763.6,883.8,1192.8,46617.4,46695.9,92253.3,40.0,2212.4,2266.2,4584.7,6219.5,7055.8,7987.7,9096.8,15058.2,10824.2,12396.8,13718.0,876.3,5722.7,13816.6,9745.2,21935.7,26177.3,31098.2,31618.3,32974.6,34052.8,35482.4,37075.6,1089.8,2418.2,3695.2
388,Yamayka,Ямайка,Jamaica,Ямайка,8.5,8.5,8.5,8.5,8.5,8.5,9.4,9.4,64.9,112.0,135.0,137.5,0.0,0.0,0.1,0.2,0.2,0.4,0.4,1.2,1.4,1.5,10.1,10.8,388.0,2.4,2.4,2.7,2.9,3.0,17.7,17.7,18.4,18.4,18.4,20.7,0.0,0.0,0.0,0.1,0.3,0.3,0.3,0.3,0.3,0.5,0.6,2.6,0.0,0.1,0.1,0.1,2.4,4.5,15.7,18.3,20.8,20.9,23.2,28.2,0.3,21.8,22.2
016,Amerika Samoa,Американское Самоа,American Samoa,Aмерика Самоа,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,10.6,12.9,16.0,27.1,0.0,3.9,3.9,3.9,3.9,11.6,11.6,39.3,39.3,51.2,51.2,52.5,16.0,0.3,0.3,43.3,69.0,69.0,70.0,69.9,70.3,70.3,70.3,111.3,0.0,0.0,0.0,0.0,6.1,6.1,6.1,7.5,7.6,10.1,10.6,10.8,12.0,14.2,4.0,3.8,4.0,4.3,4.7,6.1,7.5,9.9,10.9,11.3,0.4,0.9,6.4
204,Benin,Бенин,Benin,Бенин,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.2,155.6,155.6,155.6,0.0,0.0,36.6
