Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.73,100.19,100.55,100.81,103.54,99.65,99.61,100.43,101.13,100.66,100.82,101.09,100.83,100.54,100.87,100.5,101.72,100.16,99.6,100.44,100.84,100.55,100.66,100.79,100.7,100.6,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.54,100.15,100.73,100.29,97.72,98.22,98.47,100.31,101.37,100.75,100.99,101.94,100.84,100.46,101.45,100.51,99.02,99.03,98.93,100.62,100.78,100.94,100.95,101.36,100.7,100.9,101.2,101.0
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,97.86,100.58,100.91,102.57,102.51,101.61,101.86,101.49,103.01,96.2,95.08,96.38,99.8,95.73,97.28,99.89,100.0,100.14,99.64,99.85,99.89,96.67,93.72,98.05,98.8,98.4,99.9,98.7
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,100.4,100.52,100.92,99.97,100.28,100.89,100.86,100.66,100.05,97.59,92.65,97.45,98.88,95.15,97.56,99.15,100.35,99.64,100.16,99.91,99.68,98.5,95.6,97.13,98.4,98.5,99.3,98.4
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,98.23,100.0,100.92,100.05,99.64,100.0,99.67,100.0,100.0,98.87,90.17,97.45,100.0,96.4,99.02,100.0,98.71,100.0,99.43,100.0,100.0,99.12,95.11,98.8,97.8,100.2,100.4,98.4
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,100.88,96.49,98.75,99.46,100.29,100.63,100.88,100.59,101.23,101.07,100.0,100.7,98.79,100.57,100.79,100.8,100.19,99.81,99.75,100.77,100.41,101.14,100.52,99.55,100.0,100.5,101.3,100.7
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),96.89,99.95,99.89,98.85,100.89,99.8,99.6,100.38,96.37,100.38,99.0,98.88,99.55,100.39,99.15,100.48,100.21,100.75,100.49,99.54,100.27,101.3,100.44,100.15,100.5,100.0,100.8,101.2
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,99.74,100.42,100.87,100.59,101.19,101.99,100.73,99.58,101.09,99.99,97.5,100.33,100.86,99.77,100.31,101.09,101.49,100.49,100.65,99.8,100.74,100.17,100.26,100.03,100.4,100.2,100.9,99.3
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,100.26,101.1,100.49,99.92,102.15,101.49,100.68,99.44,101.04,100.0,98.0,99.65,100.2,99.69,100.09,99.78,100.1,100.77,100.0,100.55,99.17,99.82,100.43,101.26,100.0,100.0,101.4,99.9
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",99.81,99.96,98.59,101.21,100.35,101.5,101.47,100.74,100.31,100.0,99.01,99.76,100.23,100.82,99.66,100.81,100.65,100.0,100.0,99.86,100.17,99.82,100.15,100.43,100.0,100.8,100.8,100.4
01.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,98.06,99.64,100.99,100.85,100.91,100.22,99.83,99.71,100.43,100.0,100.49,100.68,99.95,96.63,100.14,100.56,100.26,100.0,100.91,100.48,100.79,100.17,100.2,100.24,100.4,100.7,100.9,101.0
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,100.77,99.43,101.01,100.32,98.98,99.21,99.55,99.47,99.52,98.38,98.61,99.4,99.97,94.32,98.42,100.93,100.0,100.0,100.77,100.26,99.64,100.65,100.39,100.26,100.8,100.9,100.7,100.9
01.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,100.0,100.0,101.25,100.0,100.7,100.0,100.59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,100.0,100.8,99.2,100.8,100.1,100.0,100.0,101.92,100.9,100.0,100.0,100.8
01.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,100.0,100.86,100.0,100.31,100.0,100.0,100.0,100.0,100.0,100.0,100.73,101.84,100.0,100.0,100.0,100.0,100.45,101.2,100.0,100.28,100.37,100.0,100.0,100.0,100.3,100.6,101.1,100.6
01.13,Obinon,Лепешки,Flatbreads,Обинон,100.48,100.42,100.0,101.26,99.91,100.0,100.27,100.24,100.0,100.33,100.0,100.0,100.0,100.0,100.29,100.61,100.51,100.0,100.51,100.64,99.56,100.07,100.0,100.0,100.0,100.8,100.0,100.7
01.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,100.5,100.34,100.4,102.16,100.93,100.0,100.0,100.34,100.48,100.31,98.0,100.4,100.26,100.35,100.25,100.0,99.49,100.0,100.0,100.0,100.0,100.67,100.0,100.0,100.6,100.7,100.8,100.0
01.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",101.0,102.55,101.88,102.0,100.21,100.48,102.95,100.48,100.0,98.11,95.0,99.95,101.41,100.35,100.31,100.46,99.74,100.0,100.0,100.51,100.43,100.56,100.0,100.82,100.0,100.0,100.8,101.8
