Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,45.7,127.6,139.9,203.6,154.1,165.8,190.9,214.3,262.1,225.4,238.3,214.7,235.1,257.0,276.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.4,0.4,0.3,0.3,1.6,1.5,3.5,4.5,1.0,3.1,4.8,3.1,2.3,2.8,3.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,6.2,5.3,6.1,8.3,8.2,7.8,12.1,14.0,58.6,50.1,59.8,47.4,55.7,66.1,68.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2.3,2.3,2.2,2.3,2.3,2.3,2.3,6.3,18.0,18.0,21.8,17.1,22.8,24.3,26.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1.6,1.3,2.1,5.4,8.4,8.9,12.6,12.7,14.3,12.7,19.1,13.7,13.0,13.3,13.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1.7,2.1,2.9,4.3,8.7,5.8,8.7,8.6,12.5,6.7,7.0,6.6,8.0,7.1,7.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.4,0.4,0.4,1.0,1.1,1.0,2.2,4.0,4.6,3.8,4.6,5.4,5.9,6.2,6.8
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,4.0,5.2,6.5,8.9,11.2,12.4,15.4,34.7,33.4,40.8,31.3,25.7,28.9,32.9,40.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,7.9,11.0,20.4,16.8,5.7,5.3,7.1,7.1,21.7,10.8,9.7,13.4,14.9,17.6,19.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2.2,76.3,55.5,117.2,58.0,56.2,58.3,74.2,18.2,18.0,15.2,17.3,19.4,19.2,19.1
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,4.5,5.2,5.6,0.1,0.1,0.3,0.3,0.6,18.4,8.8,5.2,5.8,5.5,6.6,6.9
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,8.9,12.3,32.0,32.2,32.9,48.0,41.4,22.2,23.5,23.7,27.8,28.1,27.3,28.1,27.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,5.5,5.7,5.9,6.8,15.8,16.2,18.1,20.7,25.2,22.8,23.6,24.0,23.9,25.1,28.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.1,0.1,0.0,0.0,0.1,0.1,8.9,4.7,12.7,6.1,8.4,7.1,7.5,7.7,8.2
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
