Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2000,2001,"2010
",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,3284.7,3164.3,3962.6,3138.0,3144.7,3292.3,3796.4,4043.6,4507.8,5126.8,5532.8,3962.6,4410.9,4663.9,4815.8,5079.0,5293.2,5480.8,5591.3,5852.8,5915.2,5248.5,5914.2,6092.1,6292.7,6642.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,110.0,86.8,79.7,73.8,74.8,80.8,97.0,96.6,119.6,141.2,158.6,79.7,94.4,100.6,101.6,104.4,111.7,120.4,125.5,132.7,137.7,131.4,137.5,144.6,149.9,168.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,172.3,155.4,412.2,146.3,155.3,159.0,169.3,180.9,206.6,245.4,281.6,412.2,475.8,525.3,554.7,594.4,624.4,649.6,669.1,703.9,715.3,648.5,715.9,731.7,732.9,758.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,137.6,141.4,173.1,147.0,108.9,119.8,149.3,161.0,189.6,207.6,232.8,173.1,204.1,216.3,230.9,243.7,260.5,272.0,282.9,304.2,300.7,267.7,278.4,290.4,291.3,297.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,78.3,66.2,58.3,71.7,80.1,89.6,111.2,108.1,126.2,147.6,158.9,58.3,69.1,72.5,69.2,69.5,77.3,80.7,83.6,86.2,94.4,88.8,95.9,92.2,94.8,96.3
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,188.7,182.2,159.2,182.6,167.2,167.9,205.7,225.0,234.9,259.9,294.9,159.2,239.5,253.4,261.2,273.2,257.2,261.3,261.9,273.1,282.5,266.4,308.0,316.0,336.3,353.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,94.9,89.4,89.9,96.0,102.8,93.2,100.2,106.9,118.8,132.8,150.2,89.9,109.4,120.8,124.5,124.7,132.1,134.6,141.3,149.6,170.8,158.3,171.0,174.2,174.6,183.5
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,178.6,156.3,307.7,145.7,151.5,145.7,159.7,165.4,197.0,256.2,271.0,307.7,344.6,349.3,373.2,383.2,391.8,414.4,440.5,453.9,460.9,414.2,447.1,449.9,458.2,506.7
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,229.1,209.7,311.9,201.8,198.3,191.5,233.5,250.2,258.6,269.1,314.5,311.9,324.4,351.5,381.8,433.0,457.6,464.7,447.5,470.8,473.4,415.8,423.4,432.8,445.6,476.7
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,162.3,167.7,163.2,176.8,188.2,186.6,220.1,261.2,301.0,368.6,396.8,163.2,167.3,181.6,209.9,223.2,237.7,240.5,248.0,257.5,243.1,225.0,265.1,281.3,303.3,310.1
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,82.7,77.1,55.0,80.1,83.8,84.8,96.2,91.4,77.1,101.7,115.7,55.0,62.1,63.0,61.5,67.7,66.3,72.6,77.0,79.0,83.1,73.5,85.0,85.1,89.4,94.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,561.4,532.0,549.8,508.7,505.3,541.1,649.2,714.4,868.5,1041.7,1141.4,549.8,582.1,599.3,608.2,617.3,647.8,650.0,661.3,670.1,693.5,600.5,703.9,731.0,739.9,810.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,366.9,352.6,393.0,360.2,374.1,390.9,427.1,434.6,454.8,496.9,488.1,393.0,433.3,475.0,505.5,549.7,587.3,616.8,630.2,640.8,640.0,582.8,674.2,689.2,709.7,726.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,122.5,128.9,257.8,138.5,139.7,168.1,211.6,227.9,260.0,292.9,312.8,257.8,282.7,295.5,314.4,327.0,346.3,362.8,371.1,381.0,395.0,368.4,437.6,448.4,460.7,491.2
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,799.4,818.6,952.1,808.8,814.7,873.2,966.4,1020.1,1095.2,1165.2,1215.4,952.1,1022.0,1059.6,1019.4,1067.9,1095.1,1140.4,1151.4,1250.0,1224.8,1007.2,1171.2,1225.3,1306.0,1368.7
