Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
100.0,Oziq-ovqat mahsulotlari va ichimliklar,Пищевые продукты и напитки,Food and Beverage,Озиқ-овқат маҳсулотлари ва ичимликлар,1224.29,1954.71,849.58,1457.34,1654.33,1288.07,663.39,843.43,1062.57,1465.94,1374.42,1373.6,1686.5
110,Homashyo,Сырьевые,Raw materials,Ҳомашё,1157.95,1884.17,774.97,1366.38,1562.58,1221.83,598.87,712.69,907.48,1237.34,1018.56,974.32,1150.0
120.0,Qayta ishlangan,Обработанные,Processed,Қайта ишланган,66.34,70.54,74.6,90.96,91.74,66.24,64.52,130.74,155.09,228.6,355.85,399.28,536.5
200.0,Boshqa toifalarga kiritilmagan ishlab chiqаrish uchun birlamchi mahsulotlar,"Исходные продукты для промышленности, не включенные в другие категории","Source products for industry, not elsewhere classified",Бошқа тоифаларга киритилмаган ишлаб чиқариш учун бирламчи маҳсулотлар,6669.3,7374.5,4595.5,5423.8,4979.0,5126.0,6117.7,6937.5,6589.4,9066.6,9899.2,10168.1,10010.1
210,Homashyo,Сырьевые,Raw materials,Ҳомашё,1711.1,1474.0,1384.2,1242.4,1135.4,819.4,738.1,571.5,352.9,506.0,379.4,408.4,277.0
220,Qayta ishlangan,Обработанные,Processed,Қайта ишланган,4958.1,5900.5,3211.3,4181.4,3843.6,4306.6,5379.6,6366.0,6236.5,8560.6,9519.7,9759.7,9733.1
300.0,Yoqilg`i-moylash mahsulotlari,Топливо и смазочные материалы,Fuel and lubricants,Ёқилғи-мойлаш маҳсулотлари,2962.9,2769.2,4698.2,3428.7,3103.1,2677.2,1705.7,1601.5,2657.6,2521.7,654.4,907.7,1202.6
310,Homashyo,Сырьевые,Raw materials,Ҳомашё,2525.3,2274.3,4280.1,3052.3,2847.9,2549.4,1522.6,1389.9,2424.0,2260.8,458.0,696.8,895.7
320.0,Qayta ishlangan,Обработанные,Processed,Қайта ишланган,437.6,495.0,418.1,376.4,255.1,127.8,183.1,211.5,233.6,260.8,196.4,210.9,306.9
400.0,Asosiy vositalar (transport vositalaridan tashqari) va ular uchun butlovchi qismlar va moslamalar,Капитальное оборудование (кроме транспортного оборудования) и детали и принадлежности для него,Capital equipment (except for transport equipment) and parts and accessories for it,Асосий воситалар (транспорт воситаларидан ташқари) ва улар учун бутловчи қисмлар ва мосламалар,100.3,95.2,52.5,46.0,39.4,35.6,104.4,107.8,64.9,129.2,91.6,100.4,207.0
410.0,Asosiy vositalar (transport vositalaridan tashqari),Капитальное оборудование (кроме транспортного оборудования),Capital equipment (except for transport equipment),Асосий воситалар (транспорт воситаларидан ташқари),84.2,74.9,36.0,24.6,22.7,19.3,54.6,53.9,39.0,77.6,43.7,62.0,155.0
420,Butlovchi qismlar va moslamalar,Детали и принадлежности,Parts & Accessories,Бутловчи қисмлар ва мосламалар,16.0,20.3,16.5,21.4,16.7,16.3,49.8,53.9,25.9,51.6,47.9,38.3,52.0
500.0,Transport vositalari va ularga ehtiyot qismlar,Транспортное оборудование и детали и принадлежности для него,Transport equipment and parts and accessories for it,Транспорт воситалари ва уларга эҳтиёт қисмлар,566.8,842.3,782.3,723.7,478.4,79.0,85.8,194.4,84.7,197.3,233.4,443.4,560.6
510,Yengil avtomobillar,Легковые автомобили,Cars,Енгил автомобиллар,474.7,722.3,718.9,637.3,419.7,42.3,39.4,130.1,29.3,121.5,170.7,281.8,7.6
520.0,Boshqalar,Прочее (кроме легковые автомобили),Other (except cars),Бошқалар,36.7,50.6,27.4,36.1,25.4,12.4,37.0,25.5,38.3,49.2,35.5,48.6,61.1
530.0,Ehtiyot qismlar va moslamalar,Детали и принадлежности,Parts & Accessories,Эҳтиёт қисмлар ва мосламалар,55.4,69.4,36.0,50.3,33.2,24.2,9.4,38.9,17.2,26.6,27.2,112.9,491.9
600.0,Boshqa toifaga kirmaydigan iste`mol tovarlari,"Потребительские товары, не включенные в другие категории",Consumer products not included in other categories,Бошқа тоифага кирмайдиган истеъмол товарлари,164.4,213.0,265.1,300.2,261.3,240.6,296.9,394.5,432.1,583.1,835.6,1083.4,1587.1
610,Uzoq muddat foydalaniladigan,Длительного пользования,Durable,Узоқ муддат фойдаланиладиган,8.6,20.6,30.8,30.4,23.2,17.6,34.0,68.2,68.1,90.2,112.6,174.7,245.2
620.0,O`rta muddat foydalaniladigan,Полудлительного пользования,Semi-permanent use,Ўрта муддат фойдаланиладиган,52.7,70.9,86.4,107.2,96.2,96.3,134.6,176.3,187.7,270.4,373.9,495.1,756.5
630.0,Qisqa muddat foydalaniladigan,Кратковременного пользования,Short-term use,Қисқа муддат фойдаланиладиган,103.0,121.4,147.9,162.7,141.9,126.7,128.3,150.0,176.3,222.6,349.2,413.5,585.4
700.0,Boshqa toifaga kiritilmagan tovarlar,"Товары, не включенные в другие категории",Items not elsewhere classified,Бошқа тоифага киритилмаган товарлар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,60.0,8.6,4.6,22.0
800.0,Xizmatlar,Услуги,Services,Хизматлар,1335.5,1772.4,2356.4,2942.8,3030.3,3061.3,3120.6,2474.5,3070.0,3434.8,2005.0,2581.7,4017.8
000,Boshqalar,Другие,Others,Бошқалар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
