Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,56.9,60.1,79.9,82.7,81.9,76.0,67.8,61.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.1,0.1,0.2,0.7,0.1,0.1,0.1,0.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,17.8,13.1,13.6,16.5,15.3,13.2,10.8,7.7
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1.8,5.4,8.8,9.4,9.5,8.8,7.7,8.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.1,0.6,0.8,0.8,0.9,0.8,0.7,0.5
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,6.6,7.5,7.5,7.7,7.5,7.6,6.3,6.2
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1.6,3.0,3.6,4.1,4.2,4.0,3.0,3.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,4.8,6.0,6.9,5.5,5.8,5.9,6.1,5.6
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,8.4,4.0,5.0,6.6,6.7,5.3,4.3,3.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,7.5,13.0,22.5,21.1,20.2,19.4,16.2,14.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.8,2.1,2.1,1.7,1.7,2.0,2.2,2.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.4,0.8,1.0,1.2,1.5,1.6,1.5,1.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,2.3,3.6,5.6,5.0,6.6,5.5,7.2,7.6
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,4.7,0.9,2.3,2.4,1.9,1.8,1.7,1.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
