Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.57,100.54,100.79,100.84,101.54,99.74,100.14,100.66,100.47,100.54,100.56,100.77,100.7,100.5,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.8,100.63,101.34,100.5,99.12,98.9,98.96,100.59,100.87,100.8,100.98,101.44,100.8,100.9,101.2,100.9
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.66,97.78,98.07,99.43,97.93,100.25,99.38,99.75,100.14,97.48,95.17,98.05,99.7,99.9,100.1,99.1
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.99,97.84,98.99,99.87,100.0,99.68,98.38,99.66,100.51,100.27,100.36,100.0,100.1,100.1,100.5,101.0
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),101.93,102.94,110.73,100.35,100.57,100.14,101.79,100.14,102.07,101.23,100.24,100.41,101.0,102.1,101.9,103.5
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,102.11,102.03,108.45,100.88,101.19,101.33,102.43,101.1,101.56,101.4,100.68,100.54,101.2,103.1,101.7,104.2
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),100.81,100.18,100.33,98.32,100.1,102.65,100.92,102.15,100.8,98.26,98.82,100.89,101.6,101.3,98.7,98.4
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),99.29,101.31,100.17,99.79,100.0,100.0,99.72,100.0,100.79,101.15,100.88,100.7,101.0,100.0,100.0,101.0
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,87.86,88.35,100.18,96.88,96.95,105.15,92.94,102.62,106.92,104.31,102.6,103.41,100.7,100.9,102.2,96.7
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,101.41,100.76,100.66,104.23,103.12,101.34,101.38,101.97,100.64,100.93,100.7,100.37,100.2,100.8,100.8,100.8
