Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021,2022,2023,2024,2025
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,110.8,111.4,110.0,109.6,108.8
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,114.3,115.1,112.1,104.6,105.1
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,108.3,109.9,108.5,107.9,106.8
1.04,Xizmatlar,Услуги,Services,Хизматлар,108.2,107.0,108.3,121.9,118.6
01,Oziq-ovqat mahsulotlari va spirtsiz ichimliklar,Продукты питания и безалкогольные напитки,Food and non-alcoholic drinks,Озиқ-овқат маҳсулотлари ва спиртсиз ичимликлар,114.4,115.0,111.6,104.1,104.8
02,"Spirtli ichimliklar, tamaki mahsulotlari","Алкогольные напитки, табачные изделия","Alcoholic drinks, tobacco products","Спиртли ичимликлар, тамаки маҳсулотлари",110.6,110.1,110.8,110.6,108.7
03,Kiyim va poyafzal,Одежда и обувь,Clothes and footwear,Кийим ва пояфзал,106.7,108.1,107.1,105.7,104.4
04,"Turar joy xizmatlari, suv, elektr, gaz va boshqa yonilg'i turlari","Жилищные услуги, вода, электричество, газ и другие виды топлива","Housing services, water, electricity, gas and other fuels","Турар жой хизматлари, сув, електр, газ ва бошқа ёнилғи турлари",106.5,103.8,105.2,129.8,121.7
05,"Uy-ro'zg'or asboblari, maishiy texnika va turar joylarga kundalik xizmat ko'rsatish","Предметы домащнего обихода, бытовая техника и текущее обслуживание жилья","Household items, appliances and routine home maintenance","Уй-рўзғор асбоблари, маиший техника ва турар жойларга кундалик хизмат кўрсатиш",108.1,110.7,109.5,106.1,104.7
06,Sog'liqni saqlash,Здравоохранение,Health care,Соғлиқни сақлаш,110.9,111.7,114.3,116.8,111.4
07,Transport,Транспорт,Transport,Транспорт,112.1,111.4,111.4,114.5,113.1
08,Axborot va aloqa,Информация и связь,Information and communication,Aхборот ва алоқа,103.4,102.7,100.1,99.3,106.0
09,"Dam olish, sport va madaniyat","Отдых, Спорт и культура","Recreation, sports and culture","Дам олиш, спорт ва маданият",108.3,113.2,111.3,108.9,107.7
10,Ta'lim sohasidagi xizmatlar,Услуги в области образования,Services in the field of education,Таълим соҳасидаги хизматлар,106.8,107.5,102.8,108.0,112.2
11,Restoranlar va mehmonxonalar xizmatlari,Рестораны и гостиничное обслуживание,Restaurants and hotel services,Ресторанлар ва меҳмонхоналар хизматлари,115.3,119.0,122.9,115.0,111.3
12,Sug'urtalash va moliyaviy xizmatlar,Страхование и финансовые услуги,Insurance and financial services,Суғурталаш ва молиявий хизматлар,102.3,102.4,103.4,103.4,100.9
13,"Maishiy tovarlar va xizmatlar, ijtimoiy himoya va turli tovarlar va xizmatlar","Бытовые товары и услуги, социальная защита и разные товары и услуги","Household goods and services, social protection and miscellaneous goods and services","Маиший товарлар ва хизматлар, ижтимоий ҳимоя ва турли товарлар ва хизматлар",111.0,113.0,111.5,109.2,110.9
