Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019,2020,2021,2022,2023,2024
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,2465.0,3253.0,3957.0,3974.0,3990.0,4001.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,1941.0,3027.0,3035.0,3071.0,3076.0,3098.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,2556.0,3206.0,3286.0,3295.0,3327.0,3345.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,2688.0,2912.0,3152.0,3164.0,3165.0,3166.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,4844.0,4953.0,23389.0,23389.0,27350.0,27350.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,161.0,170.0,3001.0,3001.0,3150.0,3150.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,52.0,52.0,52.0,52.0,171.0,171.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,349.0,349.0,458.0,458.0,1514.0,1514.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,824.0,824.0,1391.0,1391.0,2058.0,2058.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,1097.0,1157.0,5527.0,5527.0,6517.0,6517.0
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,271.0,271.0,271.0,271.0,659.0,659.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,663.0,683.0,6934.0,6934.0,7014.0,7014.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,256.0,268.0,806.0,806.0,823.0,823.0
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,180.0,180.0,180.0,180.0,300.0,300.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,167.0,167.0,167.0,167.0,356.0,356.0
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,281.0,289.0,1126.0,1126.0,1311.0,1311.0
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,382.0,382.0,1826.0,1826.0,1826.0,1826.0
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,161.0,161.0,1650.0,1650.0,1651.0,1651.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,36869.0,35937.0,35937.0,48455.0,49477.0,49931.0
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,2140.0,2140.0,2140.0,2140.0,1847.0,1975.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,1347.0,1347.0,1347.0,1412.0,1482.0,1510.0
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,8631.0,8631.0,8632.0
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,1425.0,1407.0,1407.0,1452.0,1516.0,1536.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,1015.0,1015.0,1015.0,1015.0,1070.0,1073.0
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,4503.0,4476.0,4476.0,4476.0,4484.0,4493.0
