Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.58,100.24,100.58,100.79,101.89,99.63,99.59,100.62,101.51,100.88,100.83,101.0,100.71,100.54,100.97,100.62,101.39,99.78,99.86,100.38,100.71,100.5,100.6,100.83,100.6,100.9,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.61,100.27,100.62,100.36,98.43,98.46,98.33,100.82,101.75,101.11,101.03,101.6,100.77,100.59,101.72,100.77,99.29,99.13,99.02,100.49,100.65,100.85,100.92,101.44,100.8,101.0,101.3,100.9
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.47,100.2,101.68,101.39,100.98,101.0,100.58,100.38,101.35,99.31,96.37,97.07,99.52,96.13,97.88,98.33,99.03,99.89,99.67,100.06,100.01,97.14,94.62,98.54,98.4,98.7,99.3,98.9
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,99.81,100.04,100.71,100.44,100.71,99.71,100.34,100.56,100.71,98.9,94.6,98.14,99.65,95.05,97.97,96.76,99.04,100.11,99.16,100.16,99.66,98.53,97.54,98.57,99.2,99.9,99.7,99.5
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,98.88,99.47,100.86,99.67,99.47,101.15,99.14,99.66,100.0,99.43,97.73,99.48,100.0,94.72,98.65,92.8,100.0,99.78,99.55,100.67,100.0,98.55,98.69,98.98,99.7,99.6,100.0,99.1
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,100.02,100.0,100.0,100.0,99.82,99.27,100.0,100.0,102.86,100.48,99.0,99.82,99.76,100.5,99.73,101.18,99.43,100.0,100.0,100.0,101.25,100.0,99.97,100.0,100.0,100.0,101.0,100.0
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),99.85,100.1,98.43,99.62,100.27,98.87,99.44,99.56,98.65,99.03,98.94,100.07,99.64,100.45,98.33,98.96,99.73,100.65,100.87,99.92,100.55,100.11,100.79,100.93,99.7,100.6,100.4,100.5
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,100.62,101.18,100.43,99.45,100.69,99.6,100.61,100.16,102.19,100.3,98.54,99.78,100.46,98.79,100.08,99.18,101.41,100.14,100.54,100.47,102.11,100.19,100.29,100.9,99.8,100.5,100.7,99.5
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,100.0,100.74,100.02,100.29,100.33,99.1,99.91,100.52,100.31,100.4,100.91,100.71,100.12,99.78,100.48,99.77,98.02,100.0,99.17,100.97,101.95,100.96,99.85,101.15,101.0,99.7,100.7,99.9
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",100.5,101.13,100.03,99.91,100.6,100.67,99.68,99.72,102.88,100.01,100.64,99.4,99.51,100.0,99.77,100.87,100.96,99.95,98.87,99.7,101.36,100.73,100.29,100.76,100.7,100.1,100.1,100.3
01.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,99.86,99.79,101.14,99.61,101.43,100.65,97.93,99.08,101.41,100.6,100.04,100.47,99.43,97.54,99.85,101.46,100.22,100.42,99.23,100.03,99.82,99.8,100.56,100.78,100.2,100.3,100.6,101.1
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,100.8,100.57,101.34,100.19,99.69,99.3,100.5,97.32,99.48,99.0,99.01,98.92,99.88,95.24,97.84,100.55,99.09,99.88,98.78,100.0,100.0,100.43,100.65,100.56,100.6,100.3,100.8,101.0
01.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,100.0,100.76,100.0,100.06,100.74,99.62,100.15,100.0,100.31,100.52,101.43,100.61,100.22,100.05,99.64,100.48,99.9,100.48,100.23,99.86,100.2,100.02,100.17,100.78,100.9,99.9,100.2,100.0
01.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,100.53,101.16,100.0,99.84,100.0,100.0,100.23,100.0,100.0,100.0,100.43,100.31,100.0,100.0,100.0,100.0,100.0,100.0,100.29,100.01,102.63,100.16,100.0,100.0,100.0,100.2,101.0,100.1
01.13,Obinon,Лепешки,Flatbreads,Обинон,100.0,100.0,100.9,99.88,100.31,99.96,100.49,100.51,100.0,100.0,100.0,100.17,100.0,100.11,100.61,100.0,100.0,100.0,100.0,100.0,100.53,100.2,100.0,100.0,100.1,100.0,100.9,100.0
01.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,100.0,100.0,100.0,100.0,100.0,100.0,100.98,100.0,100.62,100.0,100.0,100.0,100.0,100.31,100.31,101.23,100.18,100.0,100.02,99.99,99.83,99.98,99.99,99.99,100.2,100.7,100.8,100.0
01.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",100.0,99.77,100.09,100.3,100.15,99.95,99.86,100.27,102.84,102.69,100.44,100.03,100.21,99.98,99.99,100.68,100.27,100.0,99.53,100.53,99.86,100.1,100.27,101.28,100.8,100.2,100.0,101.0
01.16,"Suxari (qoq non), qarsillama non, galeta","Сухари, хрустящие хлебцы, галеты","Rusks, crispbread, crackers","Сухари (қоқ нон), қарсиллама нон, галета",100.0,100.12,100.2,100.39,99.78,99.56,99.99,99.92,100.3,103.51,100.29,99.16,100.08,100.6,100.69,100.38,100.68,100.05,99.2,100.17,100.13,100.0,100.39,101.14,100.1,100.5,100.0,101.0
01.16.1,"Pirojki, ponchik (goʻshtli pirojkidan tashqari)","Пирожки, пончики (кроме пирожков с мясом)",Pirozhki and doughnuts (excluding meat pirozhki),"Пирожки, пончик (гўштли пирожкидан ташқари)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0
