Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,433080.0,493329.0,651179.0,698195.0,889865.0,894005.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,40839.0,41011.0,42757.0,43847.0,44717.0,45493.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,6435.0,6473.0,7081.0,7252.0,7430.0,7541.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,5418.0,5418.0,5474.0,5561.0,5690.0,5851.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,3539.0,3539.0,3877.0,4028.0,4063.0,4149.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,627.0,627.0,627.0,627.0,627.0,627.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,1148.0,1148.0,1148.0,1174.0,1174.0,1189.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,1881.0,1881.0,1921.0,1939.0,1975.0,2053.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,2975.0,3004.0,3203.0,3306.0,3375.0,3292.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,386.0,389.0,404.0,447.0,481.0,481.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,559.0,559.0,536.0,561.0,561.0,561.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,1220.0,1225.0,1579.0,1637.0,1658.0,1703.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,1353.0,1412.0,1412.0,1412.0,1494.0,1572.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,961.0,961.0,961.0,973.0,973.0,973.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,3790.0,3790.0,3866.0,4039.0,4135.0,4210.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,2674.0,2690.0,2518.0,2579.0,2681.0,2716.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,2472.0,2487.0,2810.0,2852.0,2850.0,2896.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,949.0,949.0,775.0,782.0,813.0,826.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,4452.0,4459.0,4565.0,4678.0,4737.0,4853.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,8141.0,9394.0,28669.0,57308.0,57966.0,58136.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,1142.0,1501.0,3786.0,6676.0,6843.0,6869.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,124.0,139.0,338.0,971.0,980.0,991.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,536.0,649.0,2379.0,2310.0,2345.0,2353.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,678.0,742.0,4975.0,2807.0,2859.0,2862.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,393.0,451.0,1251.0,5716.0,5746.0,5755.0
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,286.0,312.0,1036.0,1480.0,1500.0,1517.0
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,200.0,244.0,1352.0,2058.0,2072.0,2080.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,473.0,555.0,1217.0,4682.0,4715.0,4718.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,220.0,255.0,1216.0,4118.0,4156.0,4165.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,20.0,46.0,489.0,1343.0,1356.0,1360.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,528.0,576.0,1109.0,4012.0,4035.0,4042.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,978.0,1085.0,2640.0,2456.0,2501.0,2518.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,502.0,653.0,2437.0,4547.0,4651.0,4665.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,1250.0,1285.0,2242.0,6083.0,6115.0,6129.0
