Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,30.9,8.1,20.6,26.9,29.5,8.8,21.9,27.0,29.7,9.0,20.1,25.5,29.4,8.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,31.8,12.4,19.1,24.1,29.4,13.2,19.3,26.3,29.7,14.0,19.3,26.9,31.1,6.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,34.2,10.2,26.8,31.1,31.3,11.0,25.9,29.9,31.7,10.3,24.1,27.6,34.7,9.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,31.5,8.8,18.0,25.7,29.4,9.5,19.3,24.4,27.5,9.8,18.1,22.5,27.5,8.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,28.0,4.8,21.9,27.0,26.4,5.3,23.0,25.2,27.4,5.2,20.2,25.4,29.8,4.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,27.2,6.2,17.7,25.1,25.8,8.0,18.2,26.2,26.2,8.3,15.8,23.0,24.2,7.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,22.9,9.6,17.5,19.5,21.0,9.8,18.5,19.2,21.5,10.3,17.0,18.7,20.8,9.5
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,37.9,10.5,24.4,28.8,38.2,11.4,25.2,27.6,37.3,10.0,23.0,26.6,36.5,10.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,37.9,9.3,20.5,36.9,37.8,10.3,22.4,39.1,38.8,11.3,21.7,35.7,36.6,14.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,24.8,10.2,17.6,20.9,24.0,10.4,19.8,21.4,24.7,10.1,16.6,20.6,22.4,8.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,39.2,10.5,28.4,33.9,35.4,10.8,28.6,30.8,33.2,11.4,26.9,27.8,32.0,8.1
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,18.0,5.6,11.6,14.9,16.2,5.8,11.9,14.8,16.0,5.7,12.0,14.7,17.4,3.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,39.8,7.9,31.2,33.7,39.9,8.1,34.8,35.8,41.5,9.2,31.8,35.0,41.1,9.6
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,27.3,5.3,14.9,22.0,25.1,5.9,17.3,20.9,24.3,6.2,16.0,21.5,23.5,5.2
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
