Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,100.5,100.6,101.1,100.9,101.8,102.0,102.1,101.3,104.8,106.1,104.6,102.8,103.6,110.7,112.9,105.4,100.5,97.1,98.7,98.4,98.5,98.7,98.4,102.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,101.1,102.1,100.0,103.8,106.7,102.9,102.1,102.4,102.4,104.1,100.6,100.5,102.0,109.4,113.9,105.3,101.1,99.1,99.2,99.1,99.2,98.3,98.3,102.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,102.3,103.0,100.7,100.5,102.0,104.0,101.6,104.9,104.9,106.3,104.8,103.6,106.0,107.3,112.2,107.9,101.4,99.9,99.2,97.6,99.2,98.9,93.7,102.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,99.4,99.9,101.6,99.9,100.0,100.3,101.4,100.3,101.3,103.2,101.3,106.5,105.2,105.5,110.1,107.6,100.1,100.7,100.6,97.7,98.0,99.4,98.8,100.9
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,100.1,100.2,101.9,103.4,101.6,100.5,100.5,100.4,104.0,105.3,101.0,101.1,103.9,109.7,108.9,106.9,101.3,100.7,99.1,99.1,98.4,96.7,98.0,100.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,100.3,100.9,102.2,100.4,100.9,101.2,101.0,100.5,102.2,103.8,101.4,101.8,102.7,108.6,111.4,106.7,102.3,99.2,99.9,98.3,98.1,99.4,97.8,102.6
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,100.9,100.5,100.7,101.2,103.4,101.8,100.7,100.6,100.6,101.9,103.4,101.4,102.0,108.6,109.2,107.7,100.1,100.8,98.5,97.6,98.2,98.7,98.6,102.7
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,100.8,100.3,100.1,100.1,100.6,101.8,100.5,101.2,103.4,104.8,101.5,102.4,103.8,106.8,109.2,107.2,99.8,100.6,98.0,97.1,100.9,96.8,96.4,105.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,100.9,100.4,102.4,100.2,102.9,104.6,106.3,104.0,103.0,103.7,103.0,101.9,101.9,112.1,113.0,104.9,101.3,99.8,98.7,98.1,99.5,99.3,98.3,103.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,100.4,100.7,100.1,100.3,100.1,100.0,100.4,100.8,101.2,103.2,104.8,104.6,104.7,106.3,108.9,108.0,101.7,100.9,99.1,98.1,97.6,98.5,98.6,101.1
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,99.8,99.5,105.1,102.5,103.4,97.4,100.0,101.1,103.1,102.8,103.1,101.9,103.6,107.3,110.5,106.7,101.1,99.5,98.7,98.7,98.5,97.5,95.7,104.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,100.0,100.0,102.9,101.4,101.9,103.4,101.8,107.1,102.4,106.7,106.2,102.4,104.8,107.3,109.3,104.5,99.9,99.3,98.9,97.0,97.6,99.7,99.3,101.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,101.4,100.5,100.4,100.5,100.9,100.4,100.1,101.1,104.1,104.5,101.7,101.8,103.7,108.7,109.4,107.5,101.7,99.7,99.3,98.0,98.0,98.6,97.5,103.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,99.9,100.2,101.8,100.5,100.5,100.6,100.7,101.1,102.6,103.4,101.8,101.7,102.6,108.1,110.0,107.5,101.0,99.5,98.6,99.3,99.6,97.1,96.5,101.5
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,100.2,100.5,100.7,101.9,101.3,101.0,100.8,100.4,106.3,107.5,105.8,102.9,104.1,112.3,114.7,105.2,100.4,96.4,98.6,99.3,98.3,98.8,99.6,102.9
