Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,127.1,123.5,116.0,119.1,116.5,119.0,121.1,112.1,104.0,111.7,92.4,119.1,119.5,108.4,109.8,110.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,124.2,158.3,111.6,151.3,135.7,133.7,123.2,117.3,108.7,99.1,101.6,89.1,103.5,100.3,105.9,106.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,144.8,106.7,113.4,119.1,119.3,112.3,133.4,99.8,105.2,111.8,102.9,106.6,115.4,107.3,109.3,109.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,124.3,126.5,125.8,129.4,124.0,111.2,118.1,83.3,112.6,105.9,88.8,103.0,115.0,104.6,105.9,107.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,126.7,139.3,121.3,134.3,134.3,138.0,128.5,108.3,107.0,113.1,79.2,127.5,113.4,107.9,109.8,109.5
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,130.6,148.8,112.7,140.3,123.9,124.1,119.9,104.6,89.5,117.2,99.6,111.4,109.5,103.9,105.7,107.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,163.8,136.4,82.4,124.9,99.7,112.7,111.7,106.4,100.7,109.5,88.5,127.3,187.3,114.5,110.1,109.5
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,114.9,139.1,119.3,135.6,111.6,121.9,126.4,104.7,117.5,100.0,101.7,113.5,134.0,114.8,110.7,114.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,145.9,104.6,114.1,89.9,99.5,104.0,108.5,121.7,120.6,129.1,91.3,148.7,129.8,120.5,113.2,114.3
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,140.4,151.2,125.3,136.2,120.1,133.8,121.7,106.6,101.1,101.6,81.0,133.3,113.0,106.3,105.7,107.1
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,129.0,127.0,103.7,126.8,149.4,112.4,131.5,117.4,97.0,153.3,78.9,112.5,110.5,106.1,109.8,111.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,122.5,134.4,127.4,125.9,120.5,124.3,119.9,106.3,97.2,111.9,88.0,120.2,113.7,105.4,108.0,110.4
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,135.5,121.9,116.3,115.9,127.1,105.7,116.1,100.7,104.7,117.5,109.2,108.3,113.6,110.2,108.8,110.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,128.5,131.3,111.2,110.0,102.6,123.0,125.4,122.5,93.1,113.9,74.2,155.9,125.6,108.6,110.3,110.3
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,121.1,121.8,115.9,118.9,116.2,119.6,123.9,123.4,104.6,102.1,76.2,150.7,126.3,104.7,114.7,111.5
