Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,193.3,162.2,188.6,184.9,194.1,212.9,219.2,235.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,3.4,2.3,1.9,1.9,1.8,1.9,2.4,2.4
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,61.5,40.6,56.4,47.6,53.3,56.3,54.1,59.7
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,9.3,10.1,11.4,11.5,19.8,14.6,13.8,13.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1.0,1.4,2.3,1.5,1.6,1.6,1.7,1.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,3.3,4.8,3.2,3.6,4.3,4.0,4.1,5.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,7.7,5.1,4.7,6.6,6.8,6.3,7.2,5.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,15.8,16.3,18.2,16.1,15.6,20.2,21.2,22.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,36.6,13.4,19.1,12.3,12.4,14.1,17.0,16.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,4.9,5.3,6.2,7.6,6.3,7.4,7.9,7.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1.5,0.9,1.1,1.0,1.1,1.0,1.0,1.3
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.4,3.1,4.0,3.8,3.9,4.7,4.8,4.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,38.3,53.1,55.6,65.3,61.0,74.0,76.3,85.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,9.5,5.8,4.5,6.1,6.1,6.8,7.7,8.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0
