Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,299.2,383.1,537.2,661.1,748.7,841.0,1132.6,1700.1,3109.1,4772.7,5159.6,6628.6,7673.3,8929.4,10588.8,13059.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,4.7,5.7,8.9,11.4,12.3,18.4,29.6,41.0,76.4,114.8,93.7,96.6,173.0,181.7,212.3,252.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,6.5,5.3,9.4,13.5,18.5,22.1,25.0,32.4,85.6,107.1,100.3,119.1,167.4,202.9,257.9,259.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,6.7,10.5,14.3,19.4,27.4,28.9,39.3,48.3,85.4,154.4,105.3,122.3,165.1,167.1,201.6,238.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,3.4,4.5,5.4,7.8,11.8,13.9,14.8,23.6,51.4,98.7,85.4,109.7,128.1,153.7,164.2,233.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,6.3,7.0,11.8,15.3,21.2,24.1,44.0,51.5,106.8,131.9,128.8,186.0,225.7,231.0,309.6,350.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,6.0,7.8,8.7,11.0,13.8,16.4,19.3,59.2,143.0,206.6,265.5,411.4,446.8,605.4,727.3,931.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,6.1,6.9,8.6,11.9,21.9,23.3,31.2,42.1,72.7,186.8,106.3,145.9,183.9,184.2,199.1,261.6
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,7.1,12.7,13.2,19.5,23.0,25.6,45.2,57.8,114.0,327.6,335.3,332.4,386.4,433.6,534.9,652.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,3.5,5.6,7.2,10.3,13.9,15.7,21.8,39.6,63.4,100.5,114.6,153.9,227.1,224.1,240.7,433.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,2.8,3.5,4.4,6.8,8.8,14.0,15.0,19.4,42.3,67.9,29.8,40.2,51.9,50.8,60.1,72.3
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,53.0,46.4,56.8,80.3,69.9,94.3,108.7,190.1,438.1,600.7,577.7,959.7,608.5,661.0,758.0,861.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,8.4,8.5,15.7,20.3,28.9,30.8,34.9,51.1,92.9,140.2,124.3,183.1,245.3,233.1,255.6,325.7
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,5.3,7.9,11.5,16.5,14.2,19.0,25.4,39.8,75.8,117.4,105.2,143.7,185.3,191.7,213.1,273.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,179.4,250.8,361.3,417.1,463.1,494.5,678.4,1004.3,1661.4,2418.1,2987.4,3624.6,4478.8,5409.1,6454.4,7912.6
