Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021,2022,2023,2024,2025,2026
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,1.0,1.0,1.0,1.0,1.0,1.0
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,0.42248,0.42266,0.42431,0.44041,0.45305,0.412096
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,0.34689,0.34718,0.34489,0.32718,0.31908,0.325325
1.04,Xizmatlar,Услуги,Services,Хизматлар,0.23063,0.23016,0.2308,0.23242,0.22787,0.262579
01,Oziq-ovqat mahsulotlari va spirtsiz ichimliklar,Продукты питания и безалкогольные напитки,Food and non-alcoholic drinks,Озиқ-овқат маҳсулотлари ва спиртсиз ичимликлар,0.39957,0.39969,0.40033,0.41875,0.43084,0.39237
02,"Spirtli ichimliklar, tamaki mahsulotlari","Алкогольные напитки, табачные изделия","Alcoholic drinks, tobacco products","Спиртли ичимликлар, тамаки маҳсулотлари",0.00964,0.00949,0.00938,0.00771,0.00816,0.005816
03,Kiyim va poyafzal,Одежда и обувь,Clothes and footwear,Кийим ва пояфзал,0.11625,0.11674,0.11631,0.09296,0.09906,0.110074
04,"Turar joy xizmatlari, suv, elektr, gaz va boshqa yonilg'i turlari","Жилищные услуги, вода, электричество, газ и другие виды топлива","Housing services, water, electricity, gas and other fuels","Турар жой хизматлари, сув, електр, газ ва бошқа ёнилғи турлари",0.10625,0.10624,0.10456,0.11999,0.12125,0.113781
05,"Uy-ro'zg'or asboblari, maishiy texnika va turar joylarga kundalik xizmat ko'rsatish","Предметы домащнего обихода, бытовая техника и текущее обслуживание жилья","Household items, appliances and routine home maintenance","Уй-рўзғор асбоблари, маиший техника ва турар жойларга кундалик хизмат кўрсатиш",0.07234,0.07262,0.07217,0.05882,0.05154,0.0616
06,Sog'liqni saqlash,Здравоохранение,Health care,Соғлиқни сақлаш,0.06361,0.06368,0.06595,0.05615,0.05334,0.053225
07,Transport,Транспорт,Transport,Транспорт,0.08386,0.08277,0.08261,0.09602,0.09224,0.101136
08,Axborot va aloqa,Информация и связь,Information and communication,Aхборот ва алоқа,0.03383,0.03384,0.03313,0.03061,0.02899,0.029882
09,"Dam olish, sport va madaniyat","Отдых, Спорт и культура","Recreation, sports and culture","Дам олиш, спорт ва маданият",0.02653,0.02663,0.02369,0.01727,0.01365,0.024397
10,Ta'lim sohasidagi xizmatlar,Услуги в области образования,Services in the field of education,Таълим соҳасидаги хизматлар,0.02339,0.02334,0.02317,0.03273,0.03386,0.034583
11,Restoranlar va mehmonxonalar xizmatlari,Рестораны и гостиничное обслуживание,Restaurants and hotel services,Ресторанлар ва меҳмонхоналар хизматлари,0.01755,0.01767,0.01897,0.0188,0.01884,0.019009
12,Sug'urtalash va moliyaviy xizmatlar,Страхование и финансовые услуги,Insurance and financial services,Суғурталаш ва молиявий хизматлар,0.00487,0.00488,0.0054,0.00307,0.0023,0.002806
13,"Maishiy tovarlar va xizmatlar, ijtimoiy himoya va turli tovarlar va xizmatlar","Бытовые товары и услуги, социальная защита и разные товары и услуги","Household goods and services, social protection and miscellaneous goods and services","Маиший товарлар ва хизматлар, ижтимоий ҳимоя ва турли товарлар ва хизматлар",0.04231,0.04241,0.04432,0.04711,0.04592,0.051321
