Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,44.2,50.0,50.0,55.2,57.7,49.3,46.3,40.7,53.8,61.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,40.6,50.9,53.9,59.9,64.7,60.1,54.2,44.8,51.4,55.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,34.6,37.7,40.1,43.1,48.8,43.3,35.8,30.9,45.5,55.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,50.9,55.8,55.8,59.9,62.5,56.3,51.6,47.4,53.5,65.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,33.0,35.3,32.3,30.8,30.6,25.1,27.4,20.3,26.6,30.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,36.7,53.3,57.5,64.4,60.7,51.9,51.8,47.0,61.2,72.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,50.0,53.6,49.1,59.4,57.2,60.6,54.1,55.1,66.6,76.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,33.5,41.8,40.9,51.3,53.4,48.2,47.0,37.8,54.3,62.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,58.1,70.9,66.5,77.4,77.0,67.7,60.0,53.5,72.5,81.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,38.7,37.8,34.2,40.7,35.9,26.3,24.9,19.7,25.9,25.4
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,36.2,37.1,38.1,40.4,41.3,38.1,41.0,36.2,48.7,55.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,39.7,47.0,43.9,46.6,47.4,39.4,39.5,35.2,45.1,50.9
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,46.0,50.9,47.3,56.4,54.3,49.1,45.9,38.8,53.0,66.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,40.7,46.3,46.9,59.1,61.7,60.8,58.0,50.9,58.1,65.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,55.4,57.4,60.3,60.3,70.0,52.3,48.2,43.0,59.7,63.9
