Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,0.7,0.9,5.1,1.58,0.11,5.06,4.94
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.008,0.02,0.0,0.0,0.0,0.02,1.66
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,0.1,0.007,0.0,0.0,0.0,0.0,0.05
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.02,0.0,0.02,0.04,0.0,0.05,0.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.0,0.0,0.1,0.0,0.0,0.94,0.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.0,0.1,0.1,0.01,0.02,0.33,0.54
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.1,0.1,0.01,0.0,0.01,0.08,0.04
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,0.003,0.02,0.0,0.0,0.0,1.2,0.12
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,0.008,0.1,0.1,0.04,0.0,1.29,1.16
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,0.0,0.02,0.02,0.02,0.0,0.14,0.11
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.1,0.0,0.0,0.0,0.0,0.0,0.04
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.04,0.1,4.2,0.01,0.06,0.12,0.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,0.2,0.2,0.6,1.46,0.02,0.89,0.14
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.1,0.2,0.0,0.0,0.0,0.0,0.08
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0
