Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
7,Mashinalar va transport asbob-uskunalari,Машины и транспортное оборудование,Machines and transport equipment,Машиналар ва транспорт асбоб-ускуналари,699.8,983.9,878.5,821.1,544.5,137.0,208.9,350.8,204.1,421.8,434.4,693.6,973.7,1305.2,1201.1
8,Turli xil tayyor buyumlar,Различные готовые изделия,Various finished products,Турли хил тайёр буюмлар,153.6,196.7,233.1,269.3,230.3,213.1,245.8,311.8,337.6,435.7,617.3,780.4,1106.1,1195.6,1105.7
9,Boshqa tovarlar,"Товары и операции, не включенные в другие категории МСТК",Other goods,Бошқа товарлар,2624.4,3188.7,666.2,1648.2,1240.2,1920.6,2807.6,3260.0,2939.0,4978.2,5813.1,4303.9,4132.3,8192.6,7555.1
99,Xizmatlar,Услуги,Services,Хизматлар,1335.5,1772.4,2356.4,2942.8,3030.3,3061.3,3120.6,2474.5,3070.0,3434.8,2005.0,2581.7,4456.7,5640.4,7571.7
1,Ichimliklar va tamaki,Напитки и табак,Beverages and tobacco,Ичимликлар ва тамаки,44.5,41.9,43.0,32.4,23.0,23.1,17.8,23.4,22.3,29.8,27.1,36.0,111.0,123.0,138.5
6,Asosan material turiga qarab klassifikatsiyalangan sanoat tovarlari,"Промышленные товары, классифицированные главным образом по виду материала",Industrial goods,Асосан материал турига қараб классификацияланган саноат товарлари,1610.4,1805.7,1733.3,1864.4,1927.0,1739.5,1712.6,2200.7,2411.8,2752.9,2906.4,4332.9,4383.5,4051.5,4175.8
5,Kimyoviy vositalar va boshqa toifalarga kiritilmagan shunga o‘xshash mahsulotlar,"Химические вещества и аналогичная продукция, не включенные в другие категории",Chemicals and similar products,Кимёвий воситалар ва бошқа тоифаларга киритилмаган шунга ўхшаш маҳсулотлар,637.9,819.6,747.8,580.3,620.6,594.8,817.6,860.7,881.3,836.5,820.9,1136.6,1307.7,1307.4,1680.7
4,"Hayvonlar va usimliklar moylari (yoglari), yoglar va mumlar","Животные и растительные масла, жиры и воски","Animal and vegetable oils, fats and wax","Ҳайвонлар ва ўсимликлар мойлари (ёғлари), ёғлар ва мумлар",1.4,0.4,0.3,0.1,0.1,0.2,0.0,0.0,0.1,12.4,26.8,1.5,21.2,14.2,43.5
2,"Nooziq-ovqat xomashyo, yokilg‘idan tashqari","Сырье непродовольственное, кроме топлива","Non-food raw materials, except fuel","Ноозиқ-овқат хомашё, ёқилғидан ташқари",1733.5,1486.1,1403.9,1305.3,1174.6,885.3,788.5,626.6,427.5,591.2,456.1,509.5,393.6,321.4,315.4
3,"Mineral yoqilg‘i, yog‘lash moylari va shunga o‘xshash materiallar","Минеральное топливо, смазочные масла и аналогичные материалы","Mineral fuels, lubricating oils and similar materials","Минерал ёқилғи, ёғлаш мойлари ва шунга ўхшаш материаллар",2907.8,2722.2,4656.0,3435.3,3110.2,2685.1,1713.9,1607.6,2666.8,2528.9,659.0,914.8,1215.2,940.6,1307.6
0,Oziq-ovqat mahsulotlari va tirik hayvonlar,Пищевые продукты и живые животные,Food and live animals,Озиқ-овқат маҳсулотлари ва тирик ҳайвонлар,1056.2,1777.4,736.9,1399.3,1631.2,1239.6,644.9,817.9,1029.9,1436.4,1336.2,1371.8,1631.5,1777.6,2175.0
