Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.64,100.29,100.59,100.67,101.59,99.73,99.55,100.54,101.27,101.02,100.78,101.14,100.8,100.48,100.74,100.48,101.5,99.64,100.74,100.43,100.53,100.46,100.58,100.83,100.6,100.5,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.7,100.21,100.68,100.45,98.52,99.05,98.86,100.67,101.32,101.32,100.72,101.61,100.84,100.55,101.28,100.59,99.17,98.85,98.92,100.64,100.79,100.85,100.95,101.41,100.8,100.9,101.1,100.9
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.69,99.58,101.45,102.36,103.0,101.89,101.18,100.86,100.69,97.95,93.39,98.19,98.67,97.09,98.77,99.53,99.12,99.56,100.22,99.85,99.38,96.6,93.16,98.11,98.6,98.5,99.6,98.6
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,100.96,100.59,100.99,100.25,100.15,100.51,99.75,100.22,100.63,97.42,96.58,98.53,98.91,97.09,97.65,99.69,99.38,98.45,98.8,99.66,99.77,96.71,95.56,98.01,99.0,97.5,99.7,98.3
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,101.77,100.57,100.0,99.92,100.86,100.22,101.1,99.27,99.99,96.86,97.37,98.0,100.01,94.75,98.42,100.25,98.74,100.0,100.02,99.99,99.99,97.46,92.94,98.53,98.3,100.0,100.0,99.0
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,99.07,99.7,100.4,100.77,100.46,101.75,101.33,100.0,100.42,100.0,97.0,100.57,100.0,99.8,100.72,99.92,99.74,100.0,100.0,100.0,100.59,100.0,100.0,100.0,101.0,100.7,100.7,100.0
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),98.38,99.41,99.21,98.5,100.36,98.08,97.05,100.19,97.8,98.12,99.49,99.52,98.66,100.26,98.83,100.55,99.8,101.5,100.23,99.26,101.63,99.55,99.94,100.74,101.3,101.1,99.2,100.8
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,98.76,100.56,100.04,100.14,100.64,100.31,100.54,100.18,100.06,101.99,100.16,99.64,100.35,99.44,100.65,101.17,101.41,100.0,100.48,99.26,101.31,100.06,99.79,99.99,99.6,100.7,101.1,99.7
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,99.51,100.26,99.73,100.31,101.6,98.99,100.48,99.95,100.06,100.35,102.0,99.97,99.91,99.49,100.2,100.82,99.19,100.0,100.1,100.57,100.36,100.19,100.73,100.0,100.4,100.5,99.9,100.8
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",103.07,100.43,100.04,99.85,100.85,99.91,101.59,100.07,101.31,100.02,98.0,99.7,99.55,99.68,100.21,99.78,101.78,99.93,98.31,100.68,100.72,101.03,99.87,100.13,100.2,100.3,100.8,100.8
