Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1832050.0,1866468.0,1892879.0,1918769.0,1953350.0,1928038.0,1987167.0,1925290.0,1987391.0,2069426.0,2128650.0,2227279.0,2300904.0,2207291.0,2232941.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,89897.0,101600.0,101867.0,106222.0,114435.0,115554.0,121000.0,136154.0,131628.0,149490.0,149512.0,155833.0,158721.0,162199.0,165103.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,14447.0,18031.0,18426.0,19218.0,19665.0,19952.0,21422.0,21919.0,22190.0,27741.0,27769.0,30093.0,30898.0,31463.0,32236.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,2678.0,3701.0,3707.0,4078.0,4078.0,4094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,6936.0,9644.0,9670.0,10851.0,11304.0,11373.0,13392.0,19204.0,16761.0,11614.0,11696.0,12261.0,12439.0,12640.0,12751.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,6369.0,7325.0,6905.0,7898.0,8418.0,8502.0,9604.0,12069.0,12082.0,15387.0,15513.0,15990.0,16233.0,16651.0,16776.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,960.0,968.0,981.0,1024.0,1050.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,3065.0,3288.0,3267.0,3484.0,3703.0,3752.0,3689.0,4100.0,4115.0,3917.0,3905.0,4049.0,4135.0,4232.0,4267.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,5695.0,5991.0,6049.0,5898.0,6334.0,6379.0,6245.0,6352.0,6391.0,5197.0,5197.0,5447.0,5473.0,5594.0,5705.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,6721.0,7445.0,7289.0,7304.0,8809.0,8817.0,8737.0,9475.0,9524.0,12103.0,11274.0,11378.0,11608.0,12610.0,13387.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,3687.0,3708.0,3742.0,3974.0,4357.0,4392.0,4315.0,4350.0,4397.0,4987.0,5092.0,5412.0,5506.0,5596.0,5777.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,2151.0,2122.0,2155.0,2418.0,2557.0,2597.0,2388.0,2390.0,2412.0,2405.0,2421.0,2705.0,2765.0,2814.0,2855.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,3432.0,3440.0,3653.0,3693.0,4346.0,4409.0,4601.0,4819.0,4925.0,5913.0,5924.0,6185.0,6283.0,6424.0,6524.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4306.0,5616.0,5673.0,5812.0,5827.0,5964.0,6143.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,2001.0,2351.0,2365.0,2264.0,2530.0,2530.0,2357.0,2375.0,2388.0,2713.0,2762.0,2797.0,2862.0,2876.0,2898.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,8993.0,9361.0,9363.0,9232.0,10393.0,10565.0,10678.0,13536.0,13550.0,20548.0,20811.0,21832.0,22082.0,22247.0,22393.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,8695.0,8715.0,8732.0,9116.0,10048.0,10164.0,13697.0,13193.0,6114.0,10084.0,10078.0,9516.0,9671.0,9887.0,9948.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,4897.0,5495.0,5511.0,5653.0,6171.0,6221.0,6544.0,6634.0,6694.0,8078.0,8165.0,8281.0,8454.0,8497.0,8611.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,2394.0,2756.0,2798.0,2618.0,3074.0,3097.0,3028.0,3136.0,3170.0,3653.0,3671.0,4092.0,4194.0,4239.0,4301.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,7736.0,8227.0,8235.0,8523.0,8648.0,8710.0,10303.0,12602.0,12609.0,8593.0,8601.0,9015.0,9310.0,9441.0,9481.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,89697.0,91278.0,94166.0,96445.0,101078.0,103980.0,106430.0,106595.0,108083.0,109184.0,111926.0,116265.0,162299.0,165706.0,170032.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,10928.0,10340.0,10432.0,10512.0,12381.0,12624.0,12797.0,12962.0,13235.0,13516.0,14102.0,14457.0,24090.0,25248.0,26212.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,1181.0,1235.0,1353.0,1409.0,1452.0,1472.0,1478.0,1478.0,1497.0,1516.0,1531.0,1591.0,2562.0,2600.0,2622.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,2707.0,2819.0,2932.0,3075.0,3263.0,3487.0,3977.0,3977.0,4050.0,4220.0,4464.0,4756.0,9952.0,10159.0,11023.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,6886.0,7021.0,7161.0,6949.0,7259.0,7462.0,7632.0,7632.0,7734.0,7885.0,8018.0,8282.0,7028.0,7432.0,8204.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,5477.0,5692.0,6028.0,6195.0,6410.0,6597.0,6697.0,6697.0,6742.0,6946.0,7055.0,7690.0,8386.0,8454.0,8477.0
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,2904.0,2951.0,3070.0,3255.0,3374.0,3526.0,3566.0,3566.0,3584.0,3630.0,3646.0,4243.0,3334.0,3384.0,3419.0
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,3368.0,3512.0,3624.0,3870.0,3986.0,4167.0,4207.0,4207.0,4272.0,4396.0,4538.0,5058.0,8965.0,9090.0,9194.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,6261.0,6545.0,6715.0,6797.0,7020.0,7346.0,7593.0,7593.0,7722.0,7851.0,8051.0,8160.0,9374.0,9473.0,9548.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,5216.0,5424.0,5560.0,5706.0,5943.0,6003.0,6139.0,6139.0,6199.0,5980.0,6071.0,6099.0,11604.0,11737.0,11834.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,849.0,895.0,895.0,938.0,1048.0,1099.0,1127.0,1127.0,1157.0,1177.0,1193.0,1596.0,3669.0,3705.0,3720.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,7708.0,8014.0,8350.0,8803.0,8990.0,9192.0,9470.0,9470.0,9555.0,9646.0,9826.0,9747.0,11732.0,11825.0,11952.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,8822.0,9044.0,9582.0,10031.0,10366.0,10712.0,10835.0,10835.0,10922.0,11148.0,11395.0,12321.0,18837.0,19281.0,20120.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,3485.0,3554.0,3816.0,3868.0,4051.0,4245.0,4387.0,4387.0,4526.0,4647.0,4773.0,5218.0,7519.0,7743.0,7784.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,16533.0,16690.0,16882.0,17024.0,17181.0,17347.0,17448.0,17448.0,17464.0,16951.0,17062.0,15112.0,17267.0,17401.0,17555.0
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,4152.0,4237.0,4368.0,4546.0,4730.0,4887.0,5083.0,5083.0,5223.0,5274.0,5393.0,7090.0,11526.0,11551.0,11630.0
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,3220.0,3305.0,3398.0,3467.0,3624.0,3814.0,3994.0,3994.0,4201.0,4401.0,4808.0,4845.0,6454.0,6623.0,6738.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,128823.0,129737.0,129392.0,129395.0,135698.0,137197.0,139095.0,145288.0,161527.0,168702.0,170735.0,167170.0,169139.0,169892.0,171178.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,26906.0,26938.0,27012.0,27088.0,27224.0,27401.0,27666.0,27790.0,27923.0,29644.0,31049.0,31127.0,31820.0,32015.0,32361.0
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,4784.0,4796.0,4821.0,4847.0,5116.0,5183.0,5207.0,5461.0,5510.0,6065.0,6057.0,4303.0,4256.0,4260.0,4282.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,8053.0,8549.0,8549.0,8294.0,8458.0,8500.0,8586.0,10002.0,10587.0,10773.0,10794.0,10342.0,10371.0,10381.0,10402.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,6722.0,6722.0,6722.0,6825.0,8613.0,8613.0,8613.0,8666.0,11786.0,13112.0,13200.0,13522.0,13767.0,13820.0,14257.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Вобкент тумани,7632.0,7708.0,7918.0,7918.0,8240.0,8364.0,8528.0,8789.0,10010.0,10436.0,10440.0,9317.0,9391.0,9445.0,9461.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,22403.0,22403.0,22403.0,22403.0,23223.0,23235.0,23472.0,24963.0,27381.0,27724.0,28007.0,28118.0,28253.0,28335.0,28432.0
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,3641.0,3806.0,3818.0,3830.0,4654.0,4654.0,4678.0,4980.0,5504.0,5967.0,6086.0,6086.0,6215.0,6133.0,6148.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,11915.0,11915.0,11192.0,11222.0,11278.0,12280.0,13042.0,13076.0,14267.0,14404.0,14452.0,13948.0,14067.0,14077.0,14155.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,1225.0,1235.0,1250.0,1250.0,1426.0,1451.0,1474.0,1503.0,1602.0,2000.0,2010.0,2021.0,2061.0,2083.0,2089.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,7082.0,7191.0,7191.0,7191.0,8026.0,8026.0,8068.0,8603.0,9371.0,9850.0,9859.0,9303.0,9413.0,9522.0,9555.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,12257.0,12278.0,12278.0,12278.0,12290.0,12290.0,12358.0,12857.0,13446.0,13877.0,13897.0,14036.0,14122.0,14257.0,14376.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,7896.0,7896.0,7946.0,7946.0,8821.0,8821.0,8893.0,9213.0,12638.0,13041.0,13075.0,13227.0,13511.0,13581.0,13631.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,8307.0,8300.0,8292.0,8303.0,8329.0,8379.0,8510.0,9385.0,11502.0,11809.0,11809.0,11820.0,11892.0,11983.0,12029.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,52531.0,53347.0,54440.0,55289.0,56130.0,57258.0,58043.0,58921.0,59750.0,61234.0,63723.0,67691.0,68652.0,70587.0,71254.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,10065.0,10125.0,10269.0,10283.0,10341.0,10408.0,10438.0,10438.0,10481.0,11218.0,11804.0,10087.0,10315.0,12507.0,12559.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,1480.0,1530.0,1581.0,1610.0,1666.0,1737.0,1835.0,1917.0,2006.0,2100.0,2193.0,2282.0,2335.0,2364.0,2163.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,4713.0,4852.0,4944.0,5038.0,5116.0,5245.0,5421.0,5514.0,5612.0,5665.0,5725.0,14645.0,14677.0,14506.0,14589.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,6318.0,6338.0,6470.0,6538.0,6608.0,6741.0,6782.0,6857.0,6905.0,6984.0,7176.0,6314.0,6384.0,6204.0,6354.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,6370.0,6550.0,6607.0,6712.0,6822.0,6934.0,7021.0,7021.0,7133.0,7262.0,7708.0,8189.0,8328.0,8541.0,8983.0
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,2431.0,2448.0,2498.0,2553.0,2599.0,2675.0,2704.0,2716.0,2729.0,2758.0,2853.0,2894.0,2929.0,3100.0,3143.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,6332.0,6432.0,6632.0,6767.0,6857.0,6994.0,7123.0,7396.0,7437.0,7444.0,7645.0,4398.0,4508.0,4560.0,4442.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,2973.0,3066.0,3183.0,3273.0,3353.0,3453.0,3545.0,3661.0,3751.0,3845.0,3999.0,3512.0,3628.0,3628.0,3816.0
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,2566.0,2589.0,2609.0,2631.0,2666.0,2684.0,2704.0,2734.0,2785.0,2841.0,3058.0,3115.0,3154.0,3339.0,3339.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,1775.0,1800.0,1843.0,1895.0,1957.0,2045.0,2085.0,2134.0,2189.0,2235.0,2324.0,2414.0,2480.0,2520.0,2621.0
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,2975.0,3009.0,3054.0,3074.0,3114.0,3172.0,3172.0,3188.0,3204.0,3237.0,3421.0,4974.0,5001.0,4980.0,4980.0
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,3187.0,3246.0,3346.0,3405.0,3521.0,3592.0,3620.0,3694.0,3815.0,3889.0,3991.0,4130.0,4146.0,3971.0,3971.0
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,1346.0,1362.0,1404.0,1510.0,1510.0,1578.0,1593.0,1651.0,1703.0,1756.0,1826.0,737.0,767.0,367.0,294.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,145548.0,150932.0,151732.0,158024.0,158992.0,161613.0,174905.0,196251.0,212553.0,224268.0,245673.0,247591.0,251054.0,256697.0,258365.0
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,8537.0,8874.0,8890.0,10280.0,9798.0,10191.0,10661.0,11223.0,11975.0,13891.0,13595.0,13895.0,14120.0,16739.0,17072.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12777.0,12777.0,13750.0,13818.0,14026.0,14251.0,14517.0
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6308.0,6339.0,6348.0
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,7692.0,7796.0,7935.0,8355.0,8890.0,8890.0,9316.0,10396.0,13242.0,13326.0,14853.0,14933.0,15026.0,15182.0,15447.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,8906.0,8966.0,9011.0,9059.0,9077.0,9077.0,9087.0,12424.0,12424.0,12624.0,13629.0,13768.0,13854.0,13912.0,13926.0
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,11552.0,11886.0,11886.0,11944.0,11972.0,11972.0,12339.0,14274.0,15330.0,15618.0,16115.0,16171.0,16241.0,16718.0,16743.0
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,10886.0,11174.0,11288.0,11402.0,11653.0,13764.0,13894.0,16093.0,17087.0,17387.0,27114.0,27159.0,27784.0,28048.0,28227.0
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,12257.0,12456.0,12540.0,12586.0,12634.0,12634.0,13524.0,14229.0,16320.0,16425.0,18732.0,18787.0,18884.0,19089.0,19218.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,14229.0,16089.0,16119.0,16274.0,16274.0,16274.0,16334.0,16746.0,19436.0,19642.0,22962.0,23079.0,23276.0,23649.0,23733.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,5294.0,5349.0,5435.0,5382.0,5437.0,5437.0,5467.0,6369.0,6739.0,6741.0,7497.0,7639.0,7660.0,7913.0,7937.0
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,4346.0,4406.0,4488.0,4542.0,4680.0,4680.0,4913.0,5016.0,5948.0,6051.0,6127.0,6255.0,6297.0,6861.0,6895.0
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,5001.0,5141.0,5174.0,5201.0,5307.0,5444.0,6582.0,7720.0,9411.0,14710.0,14942.0,14996.0,15039.0,14727.0,14798.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,10876.0,11094.0,11124.0,12140.0,12205.0,12205.0,17449.0,17844.0,18244.0,18244.0,17459.0,17632.0,17655.0,17757.0,17772.0
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,6945.0,7035.0,7123.0,9980.0,10030.0,10030.0,10078.0,11950.0,12618.0,14229.0,14994.0,15098.0,10277.0,10411.0,10430.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,22066.0,23205.0,23208.0,23208.0,23314.0,23294.0,26064.0,31224.0,20467.0,20467.0,20813.0,21057.0,21211.0,21239.0,21333.0
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,16961.0,17461.0,17511.0,17671.0,17721.0,17721.0,19197.0,20743.0,20535.0,22136.0,23091.0,23304.0,23396.0,23862.0,23969.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,59931.0,60327.0,60600.0,60844.0,61202.0,61758.0,62906.0,67100.0,69114.0,71816.0,72930.0,81450.0,83446.0,82314.0,83664.0
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,9808.0,9817.0,9831.0,9895.0,9947.0,10105.0,10329.0,10428.0,10702.0,12539.0,12635.0,14246.0,14741.0,15112.0,15769.0
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,4830.0,4830.0,4830.0,4830.0,4874.0,4896.0,4902.0,5043.0,5054.0,5088.0,5153.0,5524.0,5815.0,5504.0,6204.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,566.0,599.0,599.0,572.0
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,1983.0,2030.0,2031.0,2046.0,2104.0,2143.0,2172.0,2355.0,2927.0,3003.0,3076.0,3373.0,3394.0,3409.0,3403.0
