Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.83,100.54,100.87,100.5,101.72,100.16,99.6,100.44,100.84,100.55,100.66,100.79,100.7,100.6,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.84,100.46,101.45,100.51,99.02,99.03,98.93,100.62,100.78,100.94,100.95,101.36,100.7,100.9,101.2,101.0
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.88,95.15,97.56,99.15,100.35,99.64,100.16,99.91,99.68,98.5,95.6,97.13,98.4,98.5,99.3,98.4
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.97,94.32,98.42,100.93,100.0,100.0,100.77,100.26,99.64,100.65,100.39,100.26,100.8,100.9,100.7,100.9
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),101.1,103.04,108.29,101.56,100.45,100.66,101.91,100.27,101.37,101.91,100.34,100.44,100.9,101.3,101.6,103.4
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,101.13,101.74,109.2,102.37,100.46,101.33,101.72,102.13,101.38,101.33,100.93,100.63,101.7,102.6,101.3,103.8
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),101.47,99.68,98.57,100.13,100.75,102.16,100.66,102.11,100.26,98.77,98.54,101.11,101.4,101.2,100.0,98.7
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),101.29,100.0,101.73,98.01,99.62,100.0,99.58,100.0,100.0,102.44,101.02,100.6,101.0,101.0,100.0,99.8
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,86.49,87.45,100.12,97.44,94.1,106.25,96.3,103.12,106.31,103.87,102.36,103.65,100.5,100.9,102.0,94.7
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,102.79,100.7,100.77,102.93,103.16,101.4,101.28,102.26,101.18,100.58,100.92,100.23,100.3,100.1,100.4,100.6
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,103.32,100.18,100.0,103.61,103.03,100.68,100.56,100.42,100.4,100.79,100.67,99.27,100.4,100.4,100.8,100.7
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,103.25,101.39,100.54,101.72,100.99,100.12,97.5,99.43,98.85,99.85,104.83,102.57,101.1,104.5,107.1,104.9
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,99.48,131.22,104.05,97.71,74.36,52.89,40.32,81.27,118.41,159.77,186.41,122.24,98.6,113.9,110.7,96.6
01.107,Sabzi,Морковь,Carrot,Сабзи,102.85,101.67,114.92,107.99,114.37,112.4,97.99,95.38,108.03,95.3,75.97,92.43,101.8,102.4,98.8,104.4
01.110,Piyoz,Лук репчатый,Onion,Пиёз,102.95,101.73,101.83,112.62,98.38,98.22,98.75,96.15,98.16,94.41,99.09,100.46,101.2,99.0,93.6,97.7
01.113,Kartoshka,Картофель,Potato,Картошка,121.82,86.12,97.96,104.37,98.97,98.04,95.09,102.95,99.83,98.76,100.63,100.76,102.1,105.1,110.5,106.4
01.123,Shakar,Сахар-песок,Sugar,Шакар,99.24,99.27,100.63,100.76,102.57,100.72,99.6,100.47,100.82,96.35,96.4,96.83,100.6,103.4,102.4,102.2
1.03,NOOZIQ-OVQAT MAHSULOTLARI,НЕПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,NON-FOOD PRODUCTS,НООЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.27,100.36,100.14,100.39,101.82,100.16,100.19,100.35,100.31,100.42,100.44,100.21,100.4,100.2,100.3,100.2
