Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,3084.5,3416.2,3687.9,3953.8,4224.5,4486.3,4866.5,5037.5,5242.6,5345.0,4904.8,5485.2,5628.4,5754.9,6126.8,6126.8,1474.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,74.2,86.0,92.4,95.2,98.1,104.9,114.4,120.2,127.0,129.2,123.0,129.2,135.2,140.1,167.6,167.6,35.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,385.4,424.2,461.1,500.9,538.8,575.1,618.6,646.7,678.3,685.3,626.5,697.6,706.6,717.5,744.2,744.2,175.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,160.6,182.4,192.8,202.3,223.5,243.6,263.4,276.6,290.5,284.8,256.4,269.3,281.8,282.4,296.5,296.5,71.9
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,54.4,60.0,62.7,66.2,66.4,71.0,77.1,79.8,81.7,89.8,83.4,90.4,87.4,89.3,95.7,95.7,25.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,145.1,155.3,170.1,186.3,201.9,218.4,230.9,243.2,254.9,264.0,255.6,294.1,297.2,305.6,329.6,329.6,81.8
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,70.9,82.2,86.0,92.2,95.4,102.4,113.0,119.2,127.2,147.1,138.4,150.3,150.9,150.3,168.1,168.1,39.8
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,276.5,302.4,318.9,338.6,357.1,379.2,404.3,428.3,442.9,444.5,404.0,426.5,437.6,446.9,501.6,501.6,107.7
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,238.3,260.5,295.9,321.5,339.8,361.4,393.2,410.3,440.6,443.9,398.0,401.1,412.5,427.1,453.5,453.4,115.3
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,129.0,142.0,149.0,159.0,156.7,163.1,215.4,224.7,239.6,219.4,212.7,259.0,274.9,294.7,309.0,309.0,76.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,46.1,55.8,56.5,57.7,58.9,64.2,70.3,74.5,75.8,79.0,69.2,80.7,80.9,84.8,93.3,93.4,22.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,399.3,433.8,452.4,476.2,502.5,518.6,561.2,581.9,598.9,621.2,554.8,650.3,677.6,698.0,772.9,772.9,205.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,344.6,375.2,420.1,454.9,493.9,533.9,576.9,592.0,604.2,604.8,561.8,635.7,660.1,681.4,705.1,705.1,160.5
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,250.8,269.5,274.1,289.8,300.1,320.5,338.4,347.3,359.3,369.2,352.8,412.0,424.7,435.1,469.5,469.5,109.4
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,509.2,586.9,655.9,713.2,791.3,830.2,889.5,892.8,921.8,962.8,868.3,989.0,1001.0,1001.7,1020.2,1020.2,246.9
