Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,5570.0,5599.0,8870.0,10141.0,10140.0,7284.0,9885.0,7704.0,20010.0,20698.0,7233.0,6826.0,6108.0,6563.0,10214.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,850.0,1100.0,1575.0,2075.0,500.0,125.0,400.0,400.0,1400.0,1125.0,150.0,520.0,500.0,140.0,1335.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,100.0,0.0,75.0,325.0,350.0,75.0,0.0,0.0,200.0,350.0,150.0,250.0,0.0,0.0,740.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,0.0,0.0,750.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,0.0,0.0,0.0,400.0,0.0,25.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,75.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,50.0,0.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,0.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,20.0,0.0,0.0,0.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,300.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,150.0,0.0,0.0,0.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,125.0,0.0,0.0,0.0,0.0,0.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,200.0,0.0,0.0,0.0,0.0,0.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,200.0,600.0,50.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
