Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,136.6,172.3,175.7,185.5,214.2,217.7,219.9,210.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1.4,0.5,0.5,0.4,0.5,0.4,0.4,1.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,61.3,74.8,74.3,74.9,91.6,88.3,73.8,67.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,7.5,13.4,18.1,17.5,24.4,21.0,19.4,20.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,7.4,5.6,6.0,6.0,6.1,5.6,5.9,6.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,4.7,5.0,4.6,5.1,5.9,5.5,5.2,6.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,5.0,5.7,5.8,6.4,6.0,5.9,7.0,6.5
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,15.5,17.3,18.6,17.4,19.2,23.4,27.0,24.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,8.5,15.7,16.3,23.1,23.4,25.0,28.9,29.3
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,6.3,6.8,5.8,5.7,5.9,6.1,7.3,7.4
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1.2,2.7,2.6,2.7,2.9,3.4,3.4,2.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,7.7,10.5,11.2,9.8,9.9,11.3,13.1,13.4
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,8.8,12.4,9.7,12.6,14.4,17.3,23.8,20.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.8,1.8,2.0,3.8,4.0,4.4,4.6,5.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.5,0.1,0.2,0.1,0.0,0.1,0.1,0.1
