Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,15214.1,19556.5,24841.8,31409.1,40187.9,47269.6,61346.2,69212.7,84433.4,103106.6,114052.7,147061.6,181245.0,369378.4,469257.7,595090.5,168125.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,432.4,571.3,762.2,980.8,1280.1,1539.0,1943.6,2195.7,2616.4,3037.8,3402.9,4418.3,5291.9,16389.4,20850.0,26040.2,6631.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1052.5,1385.2,1785.9,2346.2,3094.9,3525.7,4408.1,4928.1,5716.1,6766.9,7732.0,9658.4,11756.0,25304.3,31793.8,39288.4,10534.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,841.5,1064.7,1344.3,1738.2,2252.9,2831.8,3690.2,4042.8,4829.5,5898.9,6571.8,8287.1,9785.4,19285.6,23538.7,30280.300000000003,8491.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,367.9,488.9,615.9,756.4,976.2,1300.2,1643.8,1857.7,2250.7,2742.1,3095.8,3980.1,4829.4,11911.5,14577.5,17932.2,4746.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,883.6,1137.8,1450.1,1883.9,2471.4,2981.6,3853.3,4228.0,4993.2,6265.4,7308.0,8999.2,10831.6,26417.9,32556.0,40582.100000000006,10461.400000000001
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,409.6,534.1,694.1,907.1,1191.7,1412.6,1821.1,2041.3,2489.3,3105.2,3438.9,4382.7,5431.7,9333.9,11779.7,14918.4,4116.299999999999
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,786.2,1034.9,1291.4,1677.6,2248.9,2454.0,3358.5,3647.2,4218.7,5176.4,5925.0,7882.8,9742.4,25783.8,32696.5,42242.899999999994,10884.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1434.7,1815.9,2352.2,3074.7,3945.5,4564.5,5712.1,6343.9,7421.8,9035.6,9703.0,12607.9,15511.7,30906.6,39234.9,50911.8,14232.599999999999
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,653.6,847.9,1088.4,1388.2,1845.6,2360.0,3015.2,3431.7,4563.9,4879.9,5331.3,6938.4,8279.3,17200.7,21459.2,26675.3,7206.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,270.6,360.2,440.2,500.6,629.1,756.4,952.3,1056.3,1310.8,1642.9,1842.4,2227.9,2621.2,6154.5,7888.4,9802.5,2677.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,1777.9,2134.0,2646.6,3304.4,4236.2,4993.1,6395.4,7102.4,8225.2,10354.0,11721.6,15117.3,17944.7,33254.9,41261.9,52427.6,14613.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1240.3,1610.1,2067.0,2603.3,3390.4,3985.9,5163.8,5742.5,6891.4,8439.6,9758.6,12186.4,14564.9,33587.8,42175.6,54265.8,15031.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,650.7,844.0,1055.4,1303.1,1600.9,1875.4,2317.5,2596.8,3149.6,3783.6,4127.2,5390.3,6500.1,16268.6,20911.4,27110.9,7381.3
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,4412.6,5727.5,7227.5,8944.6,11024.1,12689.4,17071.3,19998.3,25756.8,31978.3,34094.2,44984.8,58154.7,97579.0,126608.3,162612.1,51116.6
