Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,103.9,103.2,104.5,104.5,104.4,103.6,104.3,103.4,103.4,103.7,104.0,104.0,104.4,104.8
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,104.2,102.3,104.5,104.7,103.7,103.6,105.0,104.0,103.5,103.8,103.6,104.1,104.9,103.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,102.8,102.8,102.0,103.9,103.4,103.1,103.6,103.1,103.0,103.9,103.8,100.8,104.7,105.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,104.3,102.9,105.0,104.3,104.2,103.7,104.0,102.4,103.4,103.4,103.9,104.6,104.3,105.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,102.1,102.4,103.9,105.6,105.3,103.3,103.0,101.4,101.2,103.4,103.5,105.9,104.7,103.4
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,105.2,102.7,103.1,104.1,104.0,103.8,104.0,104.6,104.4,103.6,104.1,101.9,104.1,104.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,104.2,103.4,103.7,104.1,102.7,104.4,104.1,104.0,104.6,104.3,104.0,104.3,104.8,105.4
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,106.1,103.9,106.5,105.6,105.0,104.4,104.3,104.0,104.5,103.9,104.4,103.7,104.4,104.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,102.5,103.0,104.8,102.8,103.9,103.5,104.7,103.6,103.1,103.7,104.6,104.2,103.2,105.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,102.3,102.8,104.8,107.1,104.3,103.3,104.3,104.5,103.5,103.5,102.6,102.1,103.7,109.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,104.0,103.6,105.5,106.6,105.8,104.2,103.4,100.0,101.5,103.8,103.8,105.6,107.0,107.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,104.6,103.1,104.9,102.9,105.6,103.6,104.5,102.5,102.6,103.6,104.3,104.9,104.1,101.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,105.3,103.7,104.9,103.4,104.6,104.1,105.5,104.4,105.1,104.1,104.8,107.0,105.5,103.9
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,104.0,104.7,106.6,106.4,104.5,103.2,104.7,104.4,103.3,103.4,103.8,104.9,104.9,104.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
