Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,3009.0,3393.1,3846.7,4330.1,4929.9,5514.9,6126.3,6299.7,7425.6,7723.7,7742.9,7749.4,8089.2,8443.0,8809.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,45.6,57.3,94.5,161.7,183.9,205.1,234.1,258.2,295.5,309.2,327.4,368.4,375.8,386.1,397.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,225.2,241.1,274.7,314.3,374.8,472.8,529.7,572.8,646.0,667.4,709.1,728.6,733.2,744.8,767.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,172.6,191.5,215.8,233.8,285.5,318.2,343.4,358.3,425.6,473.6,467.2,473.8,515.8,546.9,581.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,106.9,117.6,129.9,147.7,171.6,195.9,232.1,237.5,269.8,312.8,328.5,436.3,375.4,419.4,380.7
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,194.3,217.8,245.9,282.9,317.4,367.5,457.9,495.4,584.1,504.8,544.6,504.9,542.0,576.7,575.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,144.5,165.0,185.8,195.8,219.6,234.7,262.0,253.7,308.0,334.1,348.7,361.9,384.9,406.3,452.8
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,97.4,120.7,169.2,212.1,271.0,352.6,417.6,477.7,552.1,596.3,613.3,600.4,650.0,652.4,719.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,552.4,666.5,719.6,822.2,937.7,1059.9,1164.7,1194.7,1425.6,1349.3,1266.5,1198.0,1299.7,1292.5,1366.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,155.8,169.8,189.4,214.2,238.6,272.3,310.8,332.0,463.0,511.7,523.3,519.8,541.0,587.8,593.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,54.0,58.9,64.6,89.8,107.3,124.6,146.0,127.9,155.2,171.4,165.0,187.1,193.0,199.5,228.2
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,853.4,948.2,1070.7,1118.4,1229.7,1259.9,1298.5,1264.8,1341.8,1498.0,1444.6,1377.0,1434.7,1540.7,1600.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,179.0,193.3,212.1,237.1,265.8,303.7,347.8,348.7,496.8,514.3,538.3,534.6,556.1,613.9,655.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,227.9,245.4,274.5,300.1,327.0,347.7,381.7,378.0,459.9,479.1,464.6,456.5,475.9,464.0,478.8
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.7,1.8,2.1,11.7,12.0,12.2
