Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,6745.0,6527.0,6612.2,6842.0,6956.2,6964.7,6934.9,6079.2,5414.5,6099.0,6165.4,5994.7,6282.8,6487.5,6729.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,201.0,172.2,156.6,161.7,161.7,163.8,182.8,165.6,169.1,172.6,175.7,147.2,173.7,181.5,205.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,557.0,560.5,567.5,564.5,557.7,557.6,535.1,491.8,466.4,479.9,511.8,519.5,544.6,549.1,537.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,546.3,552.5,553.6,555.7,556.5,557.7,559.1,546.8,453.2,443.2,428.8,460.7,481.2,480.9,498.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,463.0,411.1,442.9,451.2,450.1,439.6,432.1,445.5,400.0,536.8,606.9,533.5,500.1,509.1,524.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,931.9,815.8,852.9,958.2,986.4,1011.8,1016.2,913.0,772.9,900.9,841.7,727.8,748.3,763.9,795.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,231.7,234.0,235.1,241.0,245.8,249.4,255.0,242.5,188.0,205.8,204.9,212.1,216.7,220.9,224.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,449.2,439.2,441.9,452.9,474.4,483.5,491.5,466.6,390.6,406.4,420.3,436.0,475.3,489.6,507.6
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,757.6,772.7,781.5,805.6,806.6,808.2,808.3,658.4,541.1,644.9,674.4,664.2,670.0,703.1,729.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,595.2,576.1,594.8,600.6,606.4,607.9,604.2,577.5,476.8,554.2,598.7,631.5,645.4,659.2,653.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,405.2,431.0,444.3,466.6,494.9,497.1,502.0,377.6,372.9,437.8,359.7,362.6,376.3,377.2,392.6
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,619.7,582.2,580.6,617.3,636.1,610.1,545.8,419.7,426.7,485.7,446.1,418.3,472.1,507.3,513.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,740.6,743.8,751.2,755.5,756.1,754.0,751.6,516.0,496.8,548.0,612.4,614.4,686.7,724.7,754.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,246.6,235.9,209.3,211.2,223.5,224.0,251.2,258.2,260.0,282.8,284.0,266.9,292.4,321.0,393.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
