Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,4.5,5.2,5.3,5.8,5.3,3.3,3.0,6.8,7.7,12.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,4.0,4.5,4.9,4.6,4.5,2.4,2.5,7.1,5.0,8.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1.8,1.9,2.7,2.3,3.1,1.9,1.3,3.4,4.1,9.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,4.5,5.7,4.8,5.7,5.3,3.6,3.2,6.0,7.4,7.2
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,7.7,8.4,7.4,7.2,5.6,2.4,2.7,3.4,4.8,10.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,2.5,3.3,5.2,4.8,4.7,2.6,2.2,8.9,7.6,14.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,4.9,5.6,5.3,5.5,4.7,2.9,2.5,8.4,11.2,13.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,4.6,5.7,4.5,5.6,5.5,3.0,2.3,6.3,6.1,9.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,4.6,6.6,6.1,5.9,6.0,2.9,2.2,5.8,6.3,15.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,5.3,5.4,7.6,7.6,5.3,1.3,1.9,3.0,3.4,4.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,4.1,4.4,4.1,4.2,3.4,2.5,2.5,4.8,5.3,11.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,3.1,3.5,3.6,4.5,4.2,2.9,2.9,6.8,7.9,13.2
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,3.6,5.0,4.6,4.7,4.1,2.1,2.0,4.5,5.3,10.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,3.7,4.2,4.3,5.3,4.6,2.7,2.3,5.8,4.1,7.4
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,7.0,7.3,7.1,8.8,7.9,6.1,5.7,11.3,13.6,19.8
