Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.71,100.54,100.97,100.62,101.39,99.78,99.86,100.38,100.71,100.5,100.6,100.83,100.6,100.9,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.77,100.59,101.72,100.77,99.29,99.13,99.02,100.49,100.65,100.85,100.92,101.44,100.8,101.0,101.3,100.9
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,99.65,95.05,97.97,96.76,99.04,100.11,99.16,100.16,99.66,98.53,97.54,98.57,99.2,99.9,99.7,99.5
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.88,95.24,97.84,100.55,99.09,99.88,98.78,100.0,100.0,100.43,100.65,100.56,100.6,100.3,100.8,101.0
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),100.74,102.57,108.34,101.92,100.5,100.89,102.34,100.15,101.01,101.6,100.37,100.63,101.0,102.7,102.0,103.1
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,102.14,102.32,107.37,102.12,100.92,101.09,102.29,101.14,100.7,101.12,100.8,100.63,101.1,103.9,101.4,104.2
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),99.65,99.8,97.96,99.99,97.94,105.37,100.75,101.8,101.29,98.17,98.7,100.95,101.4,102.2,98.1,97.4
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),99.44,101.48,100.0,100.0,100.0,100.0,100.0,101.28,100.0,101.24,100.77,100.6,100.9,100.8,100.6,100.3
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,88.82,88.69,100.1,96.55,94.28,104.43,94.39,101.85,106.06,103.92,102.73,103.18,100.7,100.5,102.0,97.8
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,103.21,100.1,100.78,103.19,103.83,100.64,100.44,101.12,100.84,100.91,100.79,100.27,100.6,101.0,100.7,100.7
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,103.18,100.62,100.0,102.41,102.98,100.66,100.78,99.54,100.58,100.96,100.95,99.95,100.5,100.6,100.8,101.2
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,103.08,101.47,100.92,101.21,101.66,99.72,93.52,98.0,98.05,100.68,105.84,102.82,102.8,104.6,106.5,105.0
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,99.12,132.29,103.56,99.82,70.35,53.57,52.06,83.74,115.12,160.64,189.28,129.96,98.8,109.9,112.9,96.0
01.107,Sabzi,Морковь,Carrot,Сабзи,103.47,102.2,115.4,107.04,114.26,112.28,96.93,97.78,107.48,94.83,75.35,93.62,101.8,101.2,99.4,103.4
01.110,Piyoz,Лук репчатый,Onion,Пиёз,103.69,99.45,102.76,112.23,96.84,99.7,96.26,98.68,96.53,96.02,98.32,100.88,101.0,98.9,94.4,97.7
01.113,Kartoshka,Картофель,Potato,Картошка,119.89,88.17,97.23,105.26,97.58,98.68,94.06,103.79,99.87,98.23,100.79,100.84,101.8,105.3,108.2,106.7
01.123,Shakar,Сахар-песок,Sugar,Шакар,99.75,97.61,99.67,101.43,102.17,100.94,99.85,99.92,101.72,97.43,96.42,97.32,100.5,101.6,101.5,102.1
