Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,116.0,135.0,130.2,130.1,143.6,177.9,178.6,200.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,2.2,1.4,1.1,1.7,1.6,1.6,1.6,3.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,23.7,19.2,21.5,28.4,24.0,27.3,30.3,30.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,3.3,4.1,9.7,9.7,12.6,9.5,9.7,10.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,4.1,6.1,4.4,4.1,4.6,4.9,5.6,8.8
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,10.7,6.8,8.4,7.2,5.1,6.6,7.9,8.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,7.6,3.7,3.6,3.5,3.6,3.8,3.8,4.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,19.2,30.0,19.3,12.9,38.5,55.6,52.3,59.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,6.5,9.1,11.9,16.6,13.2,14.2,14.5,14.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,4.6,9.6,8.6,9.6,8.5,9.1,10.1,11.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,3.2,5.3,3.1,2.9,3.0,4.4,4.9,5.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,19.3,22.3,24.5,14.3,12.9,20.3,16.7,20.2
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,4.1,13.2,10.5,13.0,9.7,13.2,13.9,15.7
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,7.5,4.1,3.5,6.2,6.3,6.9,7.2,7.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.01,0.1,0.1,0.0,0.0,0.5,0.1,0.1
