Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2023-M01,2023-M02,2025-M12,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2026-M1,2026-M2,2026-M03
62,"Kiyim predmetlari va kiyim jihozlari, mashinada yoki qo'lda to'qilgan trikotajlaridan tashqari","Предметы одежды и принадлежности к одежде, кроме трикотажных машинного или ручного вязания","Articles of clothing and clothing accessories, other than knitted or crocheted","Кийим предметлари ва кийим жиҳозлари, машинада ёки қўлда тўқилган трикотажларидан ташқари",5903.7,11961.6,8472.6,10565.2,7677.9,8874.2,11038.5,16253.9,10163.8,10583.9,12064.2,10396.7,11184.2,8662.4,10686.7,10574.4,10204.5,11074.2,10921.9,12048.5,8826.0,8370.1,5274.7,6651.7,6064.0,7037.9,7584.4,9262.7,9093.8,8602.7,8582.1,10198.7,11165.1,8501.4,8592.7,8741.6,7584.7,9528.1,11088.3
52,Paxta,Хлопок,Cotton,Пахта,109393.3,131013.9,77341.3,130927.7,102184.7,119602.6,146597.6,102816.5,109193.8,113645.6,108341.7,117902.4,122519.9,134120.1,138430.8,127266.8,122171.7,139440.1,116924.9,114803.4,105615.4,90549.5,95286.7,104084.5,102487.0,84671.8,82884.1,92514.7,76354.4,81511.5,67525.5,54732.2,49900.7,48249.2,58957.1,67499.8,80578.5,93289.5,106445.9
45,Po'kak va undan tayyorlangan buyumlar,Пробка и изделия из нее,Cork and its products,Пўкак ва ундан тайёрланган буюмлар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Tamaki va sanoatda uning o'rnini bosuvchilar; yondirmasdan nafas olish uchun mo'ljallangan, tarkibida nikotin bo'lgan yoki bo'lmagan mahsulot; tarkibida nikotin bo'lgan va nikotinni inson organizmiga kiritish uchun mo'ljallangan boshqa mahsulotlar","Табак и промышленные заменители табака; продукция, содержащая или не содержащая никотин, предназначенная для вдыхания без горения; прочая продукция, содержащая никотин и предназначенная для поступления никотина в организм человека",Tobacco and industrial tobacco substitutes; products containing or not containing nicotine intended to be inhaled without burning; other products containing nicotine and intended for the intake of nicotine into the human body,"Тамаки ва саноатда унинг ўрнини босувчилар; ёндирмасдан нафас олиш учун мўлжалланган, таркибида никотин бўлган ёки бўлмаган маҳсулот; таркибида никотин бўлган ва никотинни инсон организмига киритиш учун мўлжалланган бошқа маҳсулотлар",2160.2,4640.8,11872.4,4098.9,3009.8,5344.8,6486.9,2540.1,5059.0,5952.9,6691.1,7966.4,8945.5,2982.3,4793.5,5453.6,5217.0,5092.6,10322.5,7130.2,12150.6,10147.6,6932.2,7867.6,6486.5,5283.7,8784.5,5586.8,11515.9,13013.3,8111.1,7115.8,8465.4,6050.2,10734.2,10022.4,4992.2,6867.5,6623.5
25,"Tuz; oltingugurt; tuproqlar va tosh; suvoq materiallari, ohak va sement","Соль; сера; земли и камень; штукатурные материалы, известь и цемент","Salt; sulphur; earths and stone; plastering materials, lime and cement","Туз; олтингугурт; тупроқлар ва тош; сувоқ материаллари, оҳак ва цемент",1796.3,2906.4,8674.4,3196.2,2711.6,3139.9,2363.7,2532.6,3976.2,2688.4,3802.8,3748.6,-223.5,2131.5,1738.0,3126.2,2634.7,4014.0,4429.8,6704.0,8451.8,6736.8,5182.6,8758.5,6564.8,2853.2,4671.8,6956.1,6884.8,9132.5,10252.3,9182.1,12061.0,11245.0,12992.7,11434.5,10129.9,12698.1,14967.9
35,Oqsil moddalari; modifikatsiyalangan kraxmallar; yelim; fermentlar,Белковые вещества; модифицированные крахмалы; клеи; ферменты,Albuminoidal substances; modified starches; glues; enzymes,Оқсил моддалари; модификацияланган крахмаллар; елим; ферментлар,222.3,206.8,4527.1,434.3,601.5,1191.8,814.5,1258.0,925.5,1420.6,460.9,702.5,885.7,649.2,537.5,925.5,251.9,621.6,588.8,1103.8,897.4,558.5,666.7,804.2,1208.6,1042.6,847.7,1268.1,2520.7,754.3,2653.0,882.4,1669.4,789.6,2574.9,874.6,360.4,470.0,514.1
36,"Portlovchi moddalar, pirotexnika vositalari, gugurtlar, pirofor qotishmalari, ba'zi yonuvchi moddalar",Взрывчатые вещества; пиротехнические изделия; спички; пирофорные сплавы; некоторые горючие вещества,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,"Портловчи моддалар, пиротехника воситалари, гугуртлар, пирофор қотишмалари, баъзи ёнувчи моддалар",2.2,70.6,52.8,49.7,0.1,24.8,2.3,0.1,0.8,0.8,32.1,0.7,0.8,26.0,0.9,1.0,0.0,47.5,0.4,0.1,55.0,43.3,1.2,20.4,46.7,24.4,1.9,0.3,26.9,38.6,1.4,0.8,21.6,37.1,6.2,14.4,33.8,35.4,78.7
85,"Elektr mashinalar va uskunalar, ularning qismlari; ovoz yozib oluvchi va ovozni qayta eshittiruvchi apparatura, televizion tasvir va tovushni yozib oluvchi va qayta tiklovchi apparatura, ularning qismlari va jihozlari","Электрические машины и оборудование, их части; звукозаписывающая  и звуковоспроизводящая аппаратура, аппаратура для записи  и воспроизведения телевизионного изображения и звука, их части и  принадлежности","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","Электр машиналар ва ускуналар, уларнинг қисмлари; овоз ёзиб олувчи ва овозни қайта эшиттирувчи аппаратура, телевизион тасвир ва товушни ёзиб олувчи ва қайта тикловчи аппаратура, уларнинг қисмлари ва жиҳозлари",17328.6,18862.1,21907.5,34170.6,27696.8,17997.7,17446.0,18439.6,43782.7,15501.3,17883.7,25218.7,25990.2,13413.9,18140.3,20108.3,19994.0,16438.3,40002.2,13840.5,14763.7,17947.6,17385.4,20904.9,23521.8,15734.5,14060.8,19447.9,14263.2,12287.2,14641.1,19959.4,22553.6,51803.8,22002.9,22114.8,34780.1,33413.6,22764.9
87,"Yer usti transport vositalari: temir yo'l yoki tramvay harakatlanuvchi tarkibidan tashqari, ularning qismlari va asbob-uskunalari","Средства наземного транспорта, кроме железнодорожного или трамвайного подвижного состава, и их части и принадлежности","Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof","Ер усти транспорт воситалари: темир йўл ёки трамвай ҳаракатланувчи таркибидан ташқари, уларнинг қисмлари ва асбоб-ускуналари",10150.2,35500.6,75210.8,40201.4,36189.9,58453.3,50669.5,31254.8,56131.7,38357.3,53639.5,49586.7,36567.0,18462.1,20643.9,58456.3,20924.2,21862.3,28380.5,31856.6,45522.2,44004.4,31473.5,54157.3,40481.8,6524.4,30662.7,39438.9,13690.2,11571.5,34222.0,24507.3,18637.8,40845.7,25774.7,36583.8,9228.9,8646.7,27039.1
88,"Uchish apparatlari, kosmik apparatlar va ularning qismlari","Летательные аппараты, космические аппараты, и их части","Aircraft, spacecraft, and parts thereof","Учиш аппаратлари, космик аппаратлар ва уларнинг қисмлари",997.5,1557.6,505.9,7.1,14.8,46.5,21.1,24.5,20101.6,0.0,45077.1,144.5,4000.6,0.0,916.5,1706.7,7812.4,97003.8,0.0,2.9,4322.5,5370.0,-6.7,689.5,272.5,39.5,-6.1,50595.6,7588.8,4573.8,13.4,93.0,38.1,269.0,51130.2,227.0,136.3,53638.3,894.3
