Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.62,100.53,100.96,100.62,101.32,99.59,99.66,100.48,100.56,100.58,100.67,100.92,100.6,100.5,100.6,100.5
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.73,100.64,101.6,100.79,99.29,98.96,99.01,100.59,100.81,100.9,100.95,101.54,100.8,100.9,101.3,101.0
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.64,96.26,97.7,99.64,99.85,100.07,99.54,98.77,99.47,97.76,95.32,98.02,98.8,98.4,99.6,99.2
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,100.0,92.75,98.39,99.87,100.0,100.0,100.05,100.0,100.0,99.83,100.59,100.28,100.4,100.5,100.4,101.1
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),100.78,102.29,109.69,101.98,100.88,100.34,101.92,100.1,101.93,101.41,100.17,100.53,101.0,100.7,101.8,102.8
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,100.29,102.68,109.71,101.8,100.66,100.68,102.33,102.07,101.54,101.91,100.6,100.38,101.7,101.1,101.0,102.7
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),99.44,100.64,102.3,100.15,98.03,100.96,100.78,102.13,101.01,99.9,98.23,100.5,101.1,100.7,100.0,98.7
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),101.4,100.0,100.0,98.72,100.0,100.0,100.0,100.0,102.32,102.43,100.65,100.0,100.9,100.0,100.2,100.2
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,82.49,88.59,100.1,95.96,97.29,106.18,96.21,102.13,106.77,104.33,102.37,103.22,100.4,100.5,102.2,95.7
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,101.03,100.67,101.99,102.93,103.45,101.04,100.82,101.89,100.96,100.89,100.02,100.66,100.3,100.1,100.5,100.5
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,101.62,100.16,100.17,103.53,103.06,100.17,101.11,100.66,100.69,100.79,100.3,99.76,100.4,100.2,101.0,101.3
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,102.58,101.46,100.25,101.74,101.45,100.27,98.61,98.84,98.54,99.47,103.53,101.97,102.4,103.4,107.6,105.6
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,99.27,131.29,104.42,99.74,73.48,53.94,60.24,84.46,116.56,162.16,185.32,122.56,95.5,113.6,111.1,98.5
01.107,Sabzi,Морковь,Carrot,Сабзи,104.29,102.51,115.38,107.03,114.28,111.5,98.35,93.6,107.59,94.44,74.73,91.69,102.2,101.6,99.9,101.9
01.110,Piyoz,Лук репчатый,Onion,Пиёз,103.41,99.57,102.5,112.26,99.4,99.18,98.17,97.44,94.12,95.55,99.23,101.05,101.0,99.8,98.2,99.3
01.113,Kartoshka,Картофель,Potato,Картошка,125.29,86.58,97.86,102.32,97.85,98.42,96.14,103.64,99.88,97.12,100.36,100.96,102.0,105.5,109.6,107.6
