Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,97.6,181.3,271.5,267.6,276.1,273.0,255.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,16.9,4.8,8.3,6.6,5.2,7.7,6.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,15.5,19.6,45.9,21.8,22.5,23.6,36.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,15.9,6.5,17.4,13.7,18.9,17.8,22.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.4,4.4,2.0,1.4,1.2,1.3,2.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,4.3,8.5,8.4,4.8,5.3,4.9,5.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.1,1.3,3.8,3.4,3.7,3.8,4.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,3.5,19.7,10.9,9.6,10.0,9.7,12.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,8.9,63.7,40.9,64.2,67.6,61.0,55.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,0.2,5.9,5.8,8.1,7.7,7.9,9.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.1,4.5,2.4,2.6,2.6,2.6,1.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,22.1,29.7,25.5,21.7,20.5,24.3,25.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,9.3,9.3,96.7,105.5,106.0,103.1,69.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.4,3.4,3.5,4.2,4.9,5.3,5.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0
