Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013-M01,2013-M02,2013-M03,2013-M04,2013-M05,2013-M06,2013-M07,2013-M08,2013-M09,2013-M10,2013-M11,2013-M12,2014-M01,2014-M02,2014-M03,2014-M04,2014-M05,2014-M06,2014-M07,2014-M08,2014-M09,2014-M10,2014-M11,2014-M12,2015-M01,2015-M02,2015-M03,2015-M04,2015-M05,2015-M06,2015-M07,2015-M08,2015-M09,2015-M10,2015-M11,2015-M12,2016-M01,2016-M02,2016-M03,2016-M04,2016-M05,2016-M06,2016-M07,2016-M08,2016-M09,2016-M10,2016-M11,2016-M12,2017-M01,2017-M02,2017-M03,2017-M04,2017-M05,2017-M06,2017-M07,2017-M08,2017-M09,2017-M10,2017-M11,2017-M12,2018-M01,2018-M02,2018-M03,2018-M04,2018-M05,2018-M06,2018-M07,2018-M08,2018-M09,2018-M10,2018-M11,2018-M12,2019-M01,2019-M02,2019-M03,2019-M04,2019-M05,2019-M06,2019-M07,2019-M08,2019-M09,2019-M10,2019-M11,2019-M12,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03,2026-M04
001,Guruch,Рис,Rice,Гуруч,2570.0,2640.0,2700.0,2707.0,2613.0,2680.0,2758.0,2981.0,2980.0,3037.0,3050.0,3050.0,3055.0,3017.0,3047.0,3067.0,3173.0,3179.0,3204.0,3440.0,3695.0,4190.0,4285.0,4712.0,4940.0,5082.0,5200.0,5243.0,5872.0,6025.0,6130.0,6125.0,5993.0,5075.0,4348.0,4215.0,3982.0,4037.0,4073.0,4087.0,4133.0,4192.0,4170.0,4260.0,4167.0,4247.0,4147.0,3827.0,3833.0,3830.0,3568.0,3488.0,3425.0,3375.0,3335.0,3375.0,3427.0,3380.0,3628.0,4993.0,5335.0,5320.0,5410.0,5460.0,5640.0,6367.0,6783.0,7083.0,7400.0,7650.0,7980.0,7967.0,8625.0,8625.0,8625.0,8625.0,8625.0,8625.0,9015.0,9843.0,10003.0,9695.0,8753.0,8535.0,8535.0,8535.0,8535.0,8535.0,8718.0,8800.0,8800.0,8855.0,8989.0,9136.0,9120.0,9120.0,9213.0,9304.0,9361.0,9397.0,9383.0,9376.0,9372.0,9391.0,9435.0,9443.0,9446.0,9437.0,10380.0,10410.0,10021.0,9160.0,8962.0,8780.0,8750.0,9582.0,10270.0,10708.0,10768.0,10860.0,13625.0,14131.0,15079.0,15977.0,16928.0,18295.0,18661.0,18809.0,19149.0,19417.0,19409.0,19506.0,19516.0,19293.0,19131.0,18989.0,18972.0,19003.0,19038.0,19030.0,19416.0,19197.0,18814.0,18731.0,18683.0,18666.0,18663.0,18742.0,18721.0,18688.0,18708.0,18708.0,18682.0,18346.0,16812.0,16498.0,15971.0,15702.0,15593.0,15385.0
003,Arpa,Ячмень,Barley,Арпа,890.0,1113.0,1060.0,1117.0,1067.0,1020.0,964.0,1038.0,1053.0,1079.0,1110.0,1133.0,1119.0,1096.0,1113.0,1125.0,1131.0,1140.0,1132.0,1152.0,1169.0,1204.0,1212.0,1227.0,1281.0,1304.0,1333.0,1367.0,1425.0,1388.0,1356.0,1367.0,1381.0,1378.0,1406.0,1479.0,1519.0,1519.0,1519.0,1513.0,1508.0,1483.0,1419.0,1367.0,1376.0,1343.0,1371.0,1424.0,1464.0,1505.0,1510.0,1548.0,1557.0,1571.0,1483.0,1512.0,1567.0,1617.0,1648.0,1710.0,1760.0,1876.0,1948.0,2000.0,1971.0,1971.0,2000.0,2057.0,2181.0,2224.0,2243.0,2281.0,2338.0,2350.0,2350.0,2333.0,2325.0,2325.0,2317.0,2308.0,2288.0,2288.0,2288.0,2288.0,2288.0,2330.0,2352.0,2362.0,2366.0,2373.0,2406.0,2436.0,2495.0,2577.0,2632.0,2632.0,2682.0,2723.0,2760.0,2800.0,3064.0,3181.0,3191.0,3198.0,3228.0,3288.0,3505.0,3600.0,3704.0,3763.0,3733.0,3706.0,3748.0,3158.0,3084.0,3217.0,3530.0,3665.0,3787.0,3946.0,4138.0,4141.0,4262.0,4476.0,4346.0,3863.0,3641.0,3612.0,3598.0,3637.0,3638.0,3633.0,3619.0,3576.0,3596.0,3596.0,3644.0,3554.0,3323.0,3272.0,3307.0,3314.0,3320.0,3294.0,3311.0,3348.0,3507.0,3638.0,3648.0,3636.0,3636.0,3716.0,3797.0,3826.0,3867.0,3992.0,4032.0,4073.0,4112.0,4242.0
0004,Bug'doy,Пшеница,Wheat,Буғдой,961.0,1213.0,1152.0,1226.0,1165.0,1109.0,1003.0,1017.0,1033.0,1035.0,1065.0,1109.0,1113.0,1119.0,1139.0,1148.0,1156.0,1161.0,1113.0,1094.0,1100.0,1137.0,1179.0,1265.0,1291.0,1291.0,1315.0,1370.0,1456.0,1433.0,1322.0,1325.0,1313.0,1348.0,1394.0,1419.0,1433.0,1478.0,1444.0,1448.0,1448.0,1446.0,1383.0,1369.0,1381.0,1381.0,1419.0,1460.0,1488.0,1500.0,1517.0,1552.0,1552.0,1556.0,1483.0,1504.0,1552.0,1598.0,1579.0,1633.0,1725.0,1813.0,1863.0,1850.0,1852.0,1875.0,1788.0,1846.0,1823.0,1846.0,1940.0,1975.0,2019.0,2054.0,2063.0,2063.0,2063.0,2063.0,1963.0,1902.0,1985.0,2013.0,2033.0,2096.0,2199.0,2303.0,2361.0,2529.0,2578.0,2578.0,2601.0,2636.0,2950.0,3026.0,3046.0,3052.0,3128.0,3134.0,3136.0,3145.0,3223.0,3250.0,3205.0,3202.0,3225.0,3296.0,3454.0,3531.0,3666.0,3699.0,3682.0,3665.0,3701.0,3797.0,3533.0,3618.0,3748.0,3826.0,3901.0,4014.0,4156.0,4169.0,4266.0,4284.0,4173.0,3725.0,3377.0,3264.0,3264.0,3354.0,3338.0,3327.0,3278.0,3260.0,3260.0,3298.0,3316.0,3183.0,2826.0,2779.0,2830.0,2855.0,2923.0,2912.0,2943.0,3016.0,3174.0,3340.0,3352.0,3334.0,3308.0,3336.0,3258.0,3254.0,3341.0,3485.0,3728.0,3840.0,3904.0,3978.0
005,Jo'hori,Кукуруза,Corn,Жўҳори,1141.0,1190.0,1142.0,1204.0,1150.0,1190.0,1185.0,1219.0,1240.0,1194.0,1202.0,1204.0,1185.0,1194.0,1238.0,1290.0,1360.0,1431.0,1544.0,1708.0,1729.0,1656.0,1556.0,1527.0,1527.0,1525.0,1535.0,1721.0,1740.0,1765.0,1906.0,1994.0,1815.0,1625.0,1654.0,1606.0,1611.0,1611.0,1639.0,1680.0,1748.0,1837.0,1883.0,1825.0,1750.0,1650.0,1681.0,1717.0,1675.0,1673.0,1721.0,1838.0,1783.0,1869.0,1915.0,1985.0,1942.0,1814.0,1831.0,1852.0,1947.0,1947.0,2011.0,2117.0,2139.0,2171.0,2317.0,2379.0,2642.0,2669.0,2640.0,2598.0,2725.0,2706.0,2706.0,2690.0,2681.0,2681.0,2681.0,2694.0,2769.0,2800.0,2800.0,2800.0,2800.0,2800.0,2824.0,2857.0,2868.0,2868.0,2868.0,2892.0,3099.0,3272.0,3284.0,3284.0,3364.0,3364.0,3374.0,3451.0,3657.0,3684.0,3684.0,3684.0,3684.0,3684.0,3777.0,3870.0,3952.0,3984.0,3995.0,4006.0,4030.0,4066.0,4118.0,4245.0,4284.0,4278.0,4312.0,4387.0,4256.0,4248.0,4315.0,4534.0,4454.0,4357.0,4335.0,4257.0,4176.0,4121.0,3943.0,3934.0,3895.0,3872.0,3881.0,4011.0,4004.0,3960.0,3886.0,3880.0,3844.0,3889.0,3934.0,3946.0,3952.0,3963.0,4141.0,4361.0,4404.0,4433.0,4796.0,5182.0,5170.0,4952.0,4960.0,5012.0,5016.0,4998.0,5023.0,5198.0
006,Kepak,Отруби,Bran,Кепак,729.0,758.0,747.0,738.0,742.0,692.0,699.0,752.0,773.0,800.0,793.0,817.0,819.0,793.0,795.0,807.0,803.0,814.0,811.0,786.0,808.0,873.0,880.0,890.0,886.0,900.0,908.0,903.0,914.0,914.0,921.0,921.0,924.0,931.0,955.0,954.0,939.0,961.0,974.0,980.0,1002.0,994.0,983.0,958.0,1002.0,1033.0,1019.0,1129.0,1133.0,1110.0,1124.0,1229.0,1257.0,1314.0,1276.0,1276.0,1260.0,1319.0,1338.0,1300.0,1421.0,1458.0,1465.0,1463.0,1429.0,1467.0,1454.0,1504.0,1508.0,1519.0,1548.0,1588.0,1700.0,1738.0,1743.0,1743.0,1743.0,1743.0,1743.0,1757.0,1786.0,1793.0,1793.0,1793.0,1800.0,1822.0,1822.0,1822.0,1870.0,1886.0,1886.0,1903.0,1880.0,1874.0,1874.0,1880.0,1900.0,1903.0,2007.0,2362.0,2581.0,2666.0,2659.0,2698.0,2771.0,2833.0,2883.0,2895.0,2828.0,2828.0,2826.0,2824.0,2820.0,2830.0,2832.0,2888.0,2992.0,3046.0,3080.0,3103.0,3138.0,3164.0,3235.0,3281.0,3133.0,3060.0,3044.0,3044.0,3036.0,3021.0,2979.0,2956.0,2970.0,2958.0,2960.0,2960.0,2960.0,2915.0,2797.0,2740.0,2707.0,2698.0,2754.0,2758.0,2740.0,2740.0,2867.0,3117.0,3120.0,3120.0,3120.0,3120.0,3103.0,3096.0,3141.0,3244.0,3384.0,3368.0,3389.0,3473.0
0008,Shrot,Шрот,Schroth,Шрот,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,2600.0,2500.0,2467.0,2450.0,2450.0,2450.0,2483.0,2550.0,2583.0,2617.0,2650.0,2663.0,2700.0,2700.0,2700.0,2700.0,2741.0,2810.0,2814.0,2841.0,2921.0,2970.0,2994.0,3070.0,3070.0,3072.0,3290.0,3494.0,3510.0,3510.0,3510.0,3510.0,3510.0,3580.0,3650.0,4187.0,4187.0,4035.0,3427.0,3427.0,3397.0,3377.0,3377.0,3393.0,3463.0,3480.0,3483.0,3459.0,3418.0,3579.0,4241.0,4450.0,4535.0,4530.0,4530.0,4530.0,4530.0,4550.0,4630.0,4630.0,4630.0,4630.0,4630.0,4630.0,4630.0,4614.0,4610.0,4638.0,4777.0,4537.0,4524.0,4513.0,4511.0,4676.0,4914.0,4933.0,4933.0,5074.0,5079.0,5101.0,5111.0,4868.0,4859.0,4892.0,4936.0,4951.0,4966.0
009,Shulxa,Шелуха,Husk,Шулха,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.0,2140.0,2160.0,2160.0,2160.0,2120.0,2133.0,2267.0,2393.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2384.0,2396.0,2379.0,2384.0,2391.0,2400.0,2400.0,2489.0,2495.0,2523.0,2656.0,2814.0,2843.0,2843.0,2843.0,2844.0,2845.0,3010.0,3065.0,3142.0,3142.0,3124.0,3059.0,3059.0,3014.0,3001.0,3011.0,3043.0,3116.0,3119.0,3195.0,3307.0,3344.0,3479.0,3687.0,3740.0,3844.0,3890.0,3912.0,3927.0,3949.0,3944.0,3962.0,3960.0,3931.0,3922.0,3928.0,3928.0,3960.0,3941.0,3936.0,3936.0,3970.0,4020.0,4024.0,4024.0,4024.0,4157.0,4393.0,4424.0,4440.0,4594.0,4668.0,4686.0,4696.0,4490.0,4488.0,4492.0,4556.0,4584.0,4614.0
010,Kombikorm,Комбикорм,Compound feed,Комбикорм,812.0,890.0,867.0,816.0,806.0,883.0,839.0,871.0,904.0,925.0,965.0,917.0,897.0,907.0,887.0,889.0,882.0,871.0,844.0,872.0,911.0,892.0,903.0,897.0,919.0,914.0,936.0,975.0,1033.0,972.0,1025.0,1053.0,1118.0,1150.0,1158.0,1167.0,1308.0,1213.0,1350.0,1396.0,1479.0,1464.0,1367.0,1367.0,1444.0,1456.0,1444.0,1483.0,1489.0,1456.0,1467.0,1583.0,1550.0,1583.0,1633.0,1744.0,1767.0,1772.0,1792.0,1842.0,1761.0,1844.0,1772.0,1753.0,1750.0,1833.0,1847.0,1953.0,2093.0,2113.0,2167.0,2180.0,1779.0,1786.0,1800.0,1811.0,1817.0,1817.0,1817.0,1872.0,1956.0,1978.0,1994.0,2006.0,2017.0,2017.0,2070.0,2070.0,2070.0,2070.0,2063.0,2034.0,1981.0,1950.0,1950.0,1961.0,2281.0,2093.0,2147.0,2241.0,2363.0,2400.0,2397.0,2397.0,2397.0,2397.0,2653.0,2653.0,2534.0,2579.0,2589.0,2638.0,2656.0,2667.0,2683.0,2707.0,2743.0,2789.0,2809.0,2809.0,2934.0,2931.0,3015.0,3202.0,3179.0,3155.0,3150.0,3150.0,3150.0,3121.0,3100.0,3100.0,3116.0,3113.0,3093.0,3093.0,3093.0,3037.0,2885.0,2780.0,2780.0,2831.0,3137.0,3070.0,3070.0,3070.0,3198.0,3315.0,3322.0,3322.0,3322.0,3322.0,3330.0,3334.0,3384.0,3534.0,3631.0,3688.0,3670.0,3760.0
011,Oliy navli bug'doy uni,Мука пшеничная высшего сорта,High-grade wheat flour,Олий навли буғдой уни,1428.0,1930.0,1667.0,1737.0,1746.0,1777.0,1501.0,1451.0,1483.0,1511.0,1568.0,1387.0,1473.0,1333.0,1340.0,1367.0,1350.0,1337.0,1284.0,1307.0,1313.0,1542.0,1892.0,1971.0,1971.0,1902.0,1943.0,2071.0,1964.0,1936.0,1889.0,1862.0,2011.0,2028.0,2064.0,2204.0,2204.0,2213.0,2217.0,2275.0,2346.0,2299.0,2338.0,2452.0,2419.0,2500.0,2600.0,2629.0,2750.0,2925.0,2796.0,2825.0,2838.0,2846.0,2883.0,2846.0,2900.0,3052.0,3072.0,3110.0,3133.0,3157.0,3232.0,3173.0,3307.0,3243.0,3047.0,3060.0,3007.0,3113.0,3257.0,3227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5329.0,5356.0,5507.0,5586.0,5643.0,6018.0,6023.0,6123.0,6372.0,8482.0,9033.0,9146.0,8699.0,8700.0,8630.0,8272.0,7962.0,7860.0,7698.0,7616.0,7884.0,8256.0,8219.0,8222.0,8049.0,8024.0,8024.0,8024.0,8031.0,8036.0,8044.0,8043.0,8076.0,8075.0,8074.0,8074.0,8076.0,8089.0,8131.0,8150.0,8142.0,8142.0,8146.0,8148.0,8143.0,8149.0,8173.0,8180.0,8212.0,8360.0,8656.0,8671.0
0012,1-navli bug'doy uni,Мука пшеничная первого сорта,First grade wheat flour,1-навли буғдой уни,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3792.0,3795.0,3822.0,3961.0,4055.0,4818.0,4960.0,5182.0,5439.0,6307.0,6571.0,6601.0,7420.0,7502.0,7424.0,6872.0,6592.0,6446.0,6246.0,6054.0,6172.0,6439.0,6402.0,6415.0,6109.0,6015.0,6010.0,6006.0,6003.0,6008.0,6011.0,6011.0,6027.0,6020.0,6013.0,6014.0,6010.0,6012.0,6015.0,6033.0,6043.0,6040.0,6043.0,6043.0,6039.0,6045.0,6069.0,6082.0,6026.0,6131.0,6149.0,6186.0
