Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2025-M01.1,2025-M02.1,2025-M03.1,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
634,Qatar,Катар,Qatar,Қатар,0.0,0.0,489.2,1137.6,2077.1,0.0,0.0,12.3,12.3,12.3,12.3,19.2,19.2,19.2,19.3,0.0,39.1,52.1,56.4,56.4,217.5,727.2,1567.8,2176.3,2671.5,3314.3,4320.4,537.5,973.3,1645.2,2295.0,2592.0,2856.0,3289.1,4026.2,4698.3,5068.2,6084.1,6455.1,951.1,1364.6,1744.9,2119.3,2859.7,3623.0,4362.9,4555.3,4555.4,4584.4,5108.7,5561.8,625.7,905.3,1549.1,2395.6,3629.8,4216.2,4583.2,4769.4,5436.7,6378.2,6913.2,7413.6,489.204,1137.6420000000003,2077.1
414,Quvayt,Кувейт,Kuwait,Қувайт,0.0,1.1,2.5,4.4,6.9,1.1,9.9,9.9,28.1,28.8,28.9,28.9,29.9,58.3,62.9,0.2,0.5,0.9,9.0,12.3,13.5,13.5,13.5,13.6,13.6,13.6,33.6,1.3,1.6,2.1,10.8,17.9,17.9,18.1,39.9,40.1,40.6,41.1,41.5,0.0,0.0,0.0,10.0,10.0,14.3,86.7,123.4,123.4,123.4,157.6,157.7,20.4,20.5,20.5,27.7,27.7,29.5,38.6,38.9,171.3,218.7,327.0,330.8,2.4644228,4.4167128,6.9
462,Maldiv orollari Respublikasi,Мальдивские Острова,Maldives,Малдив ороллари Республикаси,3.4,6.4,1472.9,2135.6,2285.0,6.9,7.1,7.1,7.2,7.4,7.8,7.9,7.9,8.1,8.4,1.9,2.6,2.6,2.7,2.7,3.0,3.0,3.0,3.0,3.0,3.0,4.6,2.2,2.8,4.3,4.4,4.4,58.9,96.0,96.3,96.4,97.4,97.5,100.9,0.2,0.3,0.4,0.4,0.4,41.2,60.7,105.6,105.7,186.4,233.0,233.5,244.3,244.6,323.8,328.6,334.3,450.0,1226.4,2165.9,2428.3,2702.1,3283.5,4567.4,1472.9,2135.6000000000004,2285.0
586,Pokiston,Пакистан,Pakistan,Покистон,2444.5,5538.7,7332.9,16967.9,25223.3,10873.8,17141.0,21741.4,23999.7,27018.9,29706.9,31361.4,35603.3,43012.4,51499.8,8388.3,22618.7,39098.6,49241.6,55563.5,62132.4,70085.4,76581.9,82472.4,90444.0,101841.9,112213.9,9005.1,23807.8,45365.3,59664.1,70866.2,77892.9,86219.5,91999.8,97132.9,102519.6,109566.4,118057.2,12476.0,25366.2,38507.4,46325.2,55597.8,63775.2,69607.9,75847.1,82853.1,90133.6,96379.6,104985.9,8498.4,23258.5,38473.4,53389.1,67548.2,79960.0,89214.5,95565.6,100561.5,107941.3,112606.6,120853.2,7332.883610000002,16967.93979000001,25223.3
804,Ukraina,Украина,Ukraine,Украина,29383.5,57808.4,29889.6,56740.5,78104.7,89841.0,125699.6,161139.8,193968.6,232108.3,266205.7,309239.1,364165.6,419987.1,472619.9,35232.3,77872.1,104036.1,112218.8,117347.0,129588.9,143469.6,156297.2,181514.9,192553.8,211273.8,229185.9,14792.7,26253.8,37198.3,50993.8,63730.7,72041.7,84767.2,97871.3,107692.6,115574.0,130990.9,144686.1,13909.6,25963.7,36083.7,46620.4,55415.7,69825.7,83392.3,92134.0,101220.3,114704.3,128972.9,153564.4,24762.2,37289.3,50931.3,68767.2,91667.9,115097.0,140598.5,157047.4,176759.2,196702.5,228130.4,251494.9,29889.61112819998,56740.46842489995,78104.7
756,Shveytsariya,Швейцария,Switzerland,Швейцария,6672.1,17507.2,11559.7,27368.7,48867.2,24390.5,33749.3,41241.9,49812.0,66113.3,111952.3,126136.3,131884.6,139784.0,163797.1,7051.9,20366.5,41443.4,53469.2,61337.9,81873.7,143131.2,154615.4,169851.8,185971.2,205190.6,223124.5,14378.8,127429.5,143369.7,168769.5,183164.7,176663.1,207086.1,230772.3,246758.4,275660.7,287443.8,318257.7,14787.3,48823.9,65319.1,82691.5,97013.6,132040.3,160945.0,181068.3,191583.8,206577.2,218132.2,242023.4,12411.9,20807.7,28938.7,41019.7,61473.5,83572.5,91669.5,135366.6,231839.4,267667.4,487023.1,553031.4,11559.720007499995,27368.678366700024,48867.2
203,Chexiya,Чехия,Czech Republic,Чехия,13047.1,20066.4,8273.9,25099.6,34603.6,38777.0,52929.3,65298.7,82654.6,93390.6,107579.0,121467.0,136859.6,158622.2,174158.7,9300.0,21297.4,29196.8,39345.1,48172.6,57441.1,67768.0,80907.4,95043.5,108911.4,123773.2,155529.9,14918.7,40624.7,83982.3,100152.9,127171.5,152949.3,177111.0,193010.3,241055.0,266926.9,274493.3,297654.0,59722.5,76549.3,93252.0,138319.9,175535.5,193185.6,230224.3,286788.7,309785.8,337079.6,357178.7,380177.4,13631.4,24518.5,37682.3,59822.5,73331.6,87123.6,98396.2,114563.1,124732.7,133662.2,144239.1,162392.6,8273.9256615,25099.58408679996,34603.6
702,Singapur,Сингапур,Singapore,Сингапур,2554.7,4739.7,6750.3,19292.7,25555.3,7176.9,9790.2,29548.7,31794.5,47085.2,50128.0,52339.5,66588.5,69793.9,75238.3,1351.9,4666.4,11217.4,16781.0,22979.7,25136.8,31400.3,23574.2,26261.3,29836.1,32031.6,40196.3,62366.2,95270.7,97666.8,99571.7,44558.3,47113.1,53219.7,56707.5,65361.5,68419.0,111378.0,136384.3,2260.2,8276.7,12816.0,16642.8,64068.4,69591.6,74915.2,81832.8,100785.9,118270.4,121908.8,161344.0,2301.7,6183.8,10209.8,14093.3,56336.0,61117.8,66695.7,72102.0,94225.2,104195.5,117837.7,144484.8,6750.305953600001,19292.693566,25555.3
360,Indoneziya,Индонезия,Indonesia,Индонезия,763.6,1785.3,11285.0,26523.0,43871.9,3269.7,4770.7,7577.4,9830.1,12274.3,13176.7,13885.9,14718.8,15672.6,16594.2,1098.2,3930.2,6206.3,9286.5,11460.8,12916.9,17109.9,21116.2,29865.1,39797.3,53629.3,63721.5,8270.9,15981.0,22835.7,27616.6,34202.2,38229.8,42023.8,47488.1,51655.7,58689.0,63104.6,71139.3,4460.8,7081.3,9616.1,14024.9,17914.0,22651.7,28389.8,34410.6,40573.4,48914.3,57498.7,68505.3,9874.9,19654.3,27682.9,37567.2,47209.6,55798.0,64941.2,71908.8,89477.6,102728.7,119896.1,144607.4,11285.019510000004,26522.96424999997,43871.9
100,Bolgariya,Болгария,Bulgaria,Болгария,2525.5,4337.5,3114.9,6668.2,9825.3,7280.2,10785.2,13235.8,17346.9,20812.7,26063.2,29396.8,35911.5,39320.9,44400.6,5737.9,11327.0,13350.5,17592.0,21695.8,27505.7,31663.0,37979.9,42749.5,47213.8,53465.9,59573.3,3295.1,11318.8,13320.0,15852.0,18414.2,22382.1,25761.2,35477.8,40310.1,44398.0,47783.3,54902.9,4937.4,8434.8,14836.1,17356.6,18889.0,23257.7,26798.5,31673.8,38794.8,44055.8,49166.1,53458.6,4717.7,7416.1,10162.3,13643.9,17901.6,22417.7,27474.8,30722.4,33495.4,35644.8,38137.2,45446.2,3114.9334739999995,6668.1850092,9825.3
