Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,23280.0,24156.4,25690.4,29004.9,32480.2,38587.0,42231.0,48378.6,55926.3,62121.8,74512.1,82544.1,89326.4,95469.3,101863.0,109112.9,114910.3,117649.6,121599.5,124141.2,113198.2,127871.6,131012.4,134504.7,139988.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,605.3,635.0,568.1,614.1,666.1,786.3,828.3,942.0,1226.2,1473.4,2185.4,2472.9,2695.4,2860.0,3088.4,3412.4,3552.1,3640.7,3748.3,3846.6,3611.2,3985.4,4209.3,4391.5,4600.3
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,987.8,1005.2,1066.2,1226.4,1368.8,1542.5,1746.9,2036.6,2438.0,2923.3,7027.3,7877.9,8774.8,9507.2,10204.7,10707.4,11295.6,11613.0,12143.9,12436.9,11399.0,12469.7,12737.6,12872.7,13684.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,961.4,1015.7,1074.7,1230.6,1364.8,1673.9,1906.6,2063.5,2136.8,2462.5,5829.4,6525.3,7139.3,7657.4,8301.8,8911.5,9438.9,9596.5,10100.9,10200.6,9715.3,9835.9,9978.1,10132.8,10347.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,395.8,408.1,487.5,588.2,676.0,780.7,829.3,935.7,1213.8,1365.2,1483.4,1659.1,1754.7,1807.6,1877.1,2198.7,2200.6,2265.6,2328.3,2472.5,2356.0,2725.7,2575.9,2622.1,2658.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1583.0,1631.9,1714.4,1750.0,1690.1,2006.4,2271.6,2380.0,2632.6,3128.9,5228.0,6206.9,6621.6,7015.6,7547.3,8058.2,8449.2,8672.6,8998.9,9218.3,8681.0,9679.7,10337.1,10480.6,11021.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,954.5,992.1,1100.6,1253.4,1113.3,1146.3,1296.7,1409.9,1642.1,1947.2,2242.2,2730.6,3119.3,3570.6,3666.5,3748.2,3798.3,3944.8,4011.6,4503.3,3943.4,4134.8,4279.4,4290.7,4355.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,907.9,933.8,969.1,1043.1,1080.2,1307.1,1408.2,1783.5,2544.0,2965.4,5288.7,5919.4,6163.9,6898.2,7262.3,7520.9,8044.0,8407.8,8610.3,8755.6,7901.5,9151.0,8922.3,9390.7,9946.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1210.6,1246.5,1261.5,1369.0,1435.8,1775.2,1961.3,2219.5,2160.4,2567.7,8351.2,9066.2,9863.5,10802.1,11705.1,13131.2,13885.0,13886.8,14514.1,14862.4,13251.7,13974.6,14014.7,14839.7,16201.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1094.2,1142.8,1250.0,1463.1,1571.6,1877.7,2081.3,2724.5,3335.7,3515.7,3464.4,3758.7,4086.9,4502.5,4747.8,5100.4,5399.9,5663.0,5882.1,5728.3,5145.4,6094.4,6447.7,6737.6,6958.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,395.8,415.2,413.9,479.1,534.5,698.6,728.1,887.2,1157.9,1447.8,1600.3,1729.6,1768.9,1795.0,1946.0,1996.7,2154.1,2239.4,2286.6,2370.5,2233.1,2593.5,2624.1,2733.8,2805.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,4330.1,4487.1,5064.1,5663.0,6716.1,8573.0,9164.9,10748.6,12465.7,13381.4,11179.4,12353.6,13074.2,13956.7,14589.4,15375.4,16184.8,16724.1,17011.6,17407.3,15382.2,18391.9,19033.5,19165.3,20108.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,2304.7,2393.1,2597.3,2966.2,3245.2,3442.0,3742.2,4293.2,5107.2,6278.0,8426.4,9019.1,9800.6,10580.6,11484.7,12520.8,13280.1,13617.9,13911.5,14024.9,12870.5,15368.2,15508.1,15960.6,16110.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,884.6,911.1,1004.1,1153.2,1368.7,1702.3,1814.6,2102.3,2539.3,2780.1,4737.9,5112.8,5400.5,5737.9,6092.7,6541.4,6954.9,7122.1,7319.4,7556.5,6997.0,8086.1,8412.5,8676.4,8984.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,6664.3,6938.8,7118.9,8205.5,9649.2,11275.0,12451.0,13852.1,15326.5,15885.3,7468.1,8112.0,9062.8,8778.0,9349.2,9889.9,10272.8,10255.3,10732.0,10757.5,9710.9,11380.7,11932.1,12210.2,12204.5
