Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,701.2,658.7,627.9,596.3,603.2,638.6,689.8,745.2,811.2,959.3,652.5,708.4,732.7,801.3,868.9,943.3,1002.8,1013.1,1102.2,1177.7,1238.2,1282.0,1284.1,1322.0,1370.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,50.4,34.7,28.2,21.8,21.4,23.4,23.5,25.3,27.5,31.0,13.4,14.3,15.5,19.4,19.2,20.4,23.7,23.8,26.4,31.1,32.4,33.3,36.7,38.3,39.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,33.8,33.5,19.4,19.9,20.3,24.5,25.1,27.4,31.3,37.5,24.2,26.2,29.0,31.6,36.0,37.8,42.6,40.2,40.8,39.9,42.6,44.0,49.3,50.9,54.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,28.1,26.8,25.6,18.6,17.3,19.6,22.6,25.2,29.2,37.2,41.4,44.3,44.4,48.9,57.1,63.1,65.3,67.0,73.6,70.1,65.7,64.2,67.7,68.3,70.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,17.7,17.5,19.7,16.8,11.1,12.8,25.1,30.5,19.7,21.0,10.8,11.9,12.1,18.1,19.8,23.0,27.8,30.6,34.3,38.5,35.6,34.2,35.5,35.9,38.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,35.3,34.6,29.8,23.6,20.3,21.0,20.6,21.6,24.8,30.1,21.8,29.8,29.1,31.2,33.9,36.0,39.7,40.3,41.5,42.8,44.5,42.3,45.9,48.8,51.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,174.8,178.7,212.4,204.6,215.6,198.7,192.5,218.7,236.8,318.6,259.1,273.5,265.6,272.0,273.9,307.7,308.7,312.2,318.1,320.5,340.5,320.9,379.9,382.9,386.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,39.7,31.1,32.4,29.7,25.2,21.7,22.4,23.7,31.2,33.5,10.7,12.4,13.9,13.2,15.7,16.4,19.6,20.2,27.3,25.4,26.7,29.7,31.6,33.2,34.1
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,46.1,38.2,20.8,21.4,28.3,29.8,33.6,36.3,38.0,45.8,28.0,30.5,34.9,37.5,43.1,40.0,41.9,43.4,47.5,51.1,53.5,55.2,57.3,60.1,63.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,35.2,33.5,31.7,30.5,26.8,27.2,29.5,33.5,36.3,44.8,22.1,25.4,28.7,32.2,41.7,50.8,57.6,58.9,61.1,69.1,72.2,68.3,71.7,82.7,82.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,20.1,17.0,16.1,15.3,12.2,12.6,12.7,13.2,12.9,13.4,5.5,6.9,7.1,8.7,8.5,9.7,11.8,13.6,15.2,17.7,19.2,18.9,19.5,20.1,19.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,80.6,88.7,85.5,91.2,98.5,108.2,115.9,127.1,146.7,158.6,94.1,107.3,126.2,120.8,129.1,125.5,135.4,128.7,169.4,214.5,228.5,295.5,253.2,261.7,268.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,49.8,44.1,43.5,44.9,48.9,54.3,54.4,46.6,55.5,67.0,32.6,34.1,35.9,45.4,51.8,59.3,65.1,63.4,64.2,63.5,59.3,56.9,61.6,63.6,70.1
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,35.4,33.7,29.6,25.9,25.0,27.3,27.7,29.1,30.6,35.6,18.5,18.7,19.4,24.4,27.9,30.5,34.1,34.5,36.7,38.5,36.6,35.8,37.8,38.9,39.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,54.2,46.6,33.2,32.1,32.3,57.4,84.2,86.9,90.6,85.2,70.1,73.1,71.0,97.7,111.2,123.1,129.5,136.3,146.1,155.0,180.9,182.8,136.4,136.6,152.2
