Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,42114.0,42222.0,42318.0,42257.0,42141.0,41561.0,41588.0,41623.0,41629.0,41609.0,41950.0,41960.0,41960.0,41958.0,41990.0,42013.0,42035.0,42046.0,42052.0,42073.0,42290.0,42299.0,42307.0,42319.0,41888.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,4249.0,4252.0,4252.0,4252.0,4244.0,4140.0,4143.0,4169.0,4169.0,4169.0,4174.0,4174.0,4173.0,4173.0,4173.0,4187.0,4187.0,4187.0,4187.0,4189.0,4230.0,4230.0,4232.0,4232.0,4157.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,2445.0,2445.0,2451.0,2445.0,2444.0,2448.0,2450.0,2452.0,2453.0,2453.0,2455.0,2455.0,2455.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2457.0,2422.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,3715.0,3786.0,3815.0,3792.0,3789.0,3796.0,3805.0,3805.0,3805.0,3805.0,3961.0,3961.0,3961.0,3963.0,3963.0,3965.0,3965.0,3969.0,3969.0,3880.0,3886.0,3893.0,3893.0,3905.0,3901.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,2479.0,2479.0,2479.0,2479.0,2479.0,2482.0,2482.0,2482.0,2482.0,2482.0,2532.0,2539.0,2539.0,2539.0,2539.0,2539.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2552.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,3538.0,3538.0,3538.0,3538.0,3409.0,3454.0,3454.0,3454.0,3454.0,3454.0,3401.0,3401.0,3401.0,3395.0,3395.0,3396.0,3396.0,3396.0,3402.0,3420.0,3487.0,3487.0,3487.0,3487.0,3467.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,4102.0,4111.0,4128.0,4111.0,4128.0,3940.0,3940.0,3940.0,3942.0,3942.0,3827.0,3827.0,3827.0,3809.0,3830.0,3830.0,3841.0,3841.0,3841.0,3930.0,3953.0,3953.0,3953.0,3953.0,4004.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,3264.0,3269.0,3292.0,3281.0,3287.0,3146.0,3141.0,3141.0,3141.0,3141.0,3165.0,3167.0,3167.0,3168.0,3168.0,3168.0,3168.0,3168.0,3168.0,3169.0,3176.0,3176.0,3185.0,3185.0,3176.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,4076.0,4076.0,4080.0,4079.0,4069.0,4077.0,4079.0,4079.0,4079.0,4079.0,4048.0,4049.0,4049.0,4063.0,4072.0,4073.0,4081.0,4084.0,4084.0,4084.0,4084.0,4084.0,4084.0,4084.0,4059.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2726.0,2726.0,2728.0,2728.0,2731.0,2694.0,2706.0,2711.0,2715.0,2715.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2827.0,2709.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1419.0,1419.0,1419.0,1419.0,1447.0,1419.0,1419.0,1419.0,1419.0,1419.0,1447.0,1447.0,1457.0,1457.0,1457.0,1457.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1361.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,3862.0,3879.0,3879.0,3879.0,3888.0,3830.0,3830.0,3832.0,3831.0,3831.0,3957.0,3957.0,3947.0,3949.0,3949.0,3954.0,3964.0,3964.0,3964.0,3964.0,4013.0,4015.0,4015.0,4015.0,3918.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,4022.0,4024.0,4039.0,4036.0,4039.0,3947.0,3949.0,3949.0,3949.0,3949.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4001.0,4014.0,4014.0,4011.0,4011.0,3985.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,2217.0,2218.0,2218.0,2218.0,2187.0,2188.0,2190.0,2190.0,2190.0,2170.0,2155.0,2155.0,2156.0,2157.0,2159.0,2159.0,2161.0,2165.0,2165.0,2165.0,2176.0,2176.0,2176.0,2176.0,2177.0
