Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,60.9,58.6,47.4,43.7,45.4,42.5,39.7,43.4,50.0,53.1,47.5,42.9,44.0,42.1,42.4,43.8,45.6,52.7,58.0,70.7,59.2,62.0,59.4,68.2,76.9
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,67.3,56.2,45.5,43.0,53.4,59.0,42.5,16.2,17.8,30.0,42.7,38.7,51.5,44.7,62.4,72.2,64.8,37.2,62.1,65.7,60.9,60.1,62.0,70.8,80.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,50.9,56.5,54.8,65.5,40.4,40.8,39.9,38.2,43.1,25.6,22.2,26.6,28.1,28.7,31.8,33.2,32.4,34.4,52.2,61.8,52.4,62.6,63.9,76.2,83.7
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,54.6,29.1,25.4,28.6,36.9,20.8,19.6,66.0,61.2,83.2,70.3,65.6,64.7,62.5,58.9,48.2,60.5,79.4,64.5,71.1,61.7,69.0,67.4,78.6,86.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,73.2,62.7,64.5,58.6,55.4,31.5,53.9,54.2,59.8,53.6,29.8,28.8,33.2,45.7,41.2,41.6,37.1,44.6,55.7,77.5,79.1,67.8,66.6,83.0,82.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,57.1,56.8,42.4,27.6,26.4,23.2,26.8,36.2,56.1,49.0,36.3,31.4,42.1,42.8,36.8,39.0,46.5,60.9,66.4,77.8,78.4,67.3,61.7,68.3,78.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,62.4,61.9,17.5,37.8,19.1,37.3,15.1,25.9,22.4,24.3,58.1,44.3,46.4,35.8,27.1,39.2,50.0,53.5,62.9,84.3,74.2,71.4,61.2,72.1,85.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,56.0,55.0,57.0,47.6,49.2,49.5,52.1,50.3,47.6,35.4,27.9,27.0,30.1,36.7,42.3,44.5,49.1,50.1,70.3,70.6,58.1,63.3,61.6,60.099999999999994,86.3
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,39.5,43.0,39.2,48.3,45.4,49.7,48.3,44.9,41.5,43.1,22.1,24.7,27.0,27.3,29.5,26.9,23.7,31.6,42.5,61.5,47.0,59.0,67.5,63.8,71.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,62.3,43.4,36.3,35.5,24.6,32.5,39.1,37.5,55.8,53.3,44.0,32.5,36.6,42.4,37.9,38.8,41.3,50.0,65.1,84.3,76.3,70.6,67.0,81.3,74.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,60.7,56.5,32.0,43.0,62.7,51.0,55.0,53.1,72.7,53.6,44.1,42.5,52.0,57.7,55.7,58.8,58.8,61.3,65.1,79.6,70.1,80.4,89.2,87.0,82.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,63.5,55.2,49.1,35.2,41.8,36.2,39.6,35.2,41.2,49.0,47.2,51.8,37.8,42.5,48.8,46.4,41.4,48.6,49.0,61.4,48.4,54.6,53.5,69.1,78.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,59.6,68.3,61.5,51.2,38.7,37.6,41.8,43.0,52.1,49.9,38.4,43.2,50.7,44.7,37.1,36.2,38.2,32.1,53.9,65.3,56.7,58.3,62.0,69.3,72.7
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,53.5,53.4,61.0,47.8,32.5,47.6,58.3,49.8,56.3,47.8,36.6,44.5,36.7,41.6,36.9,32.5,29.5,35.5,50.9,67.2,58.8,54.2,51.7,57.6,68.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,69.8,70.2,53.0,58.5,65.2,62.5,58.7,57.6,60.8,52.0,58.6,51.3,48.4,37.1,34.6,35.6,43.9,47.2,50.3,63.4,46.0,55.3,44.9,53.4,60.7
