Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021,2022,2023,2024,2025
1,Yig‘ma indeks,Сводный индекс,Cumulative index,Йиғма индекс,110.0,112.3,108.8,109.8,107.3
1.02,Oziq-ovqat mahsulotlari,Продукты питания,Food products,Озиқ-овқат маҳсулотлари,113.0,115.6,109.7,102.4,105.5
1.03,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,107.8,110.7,107.7,107.7,105.1
1.04,Xizmatlar,Услуги,Services,Хизматлар,107.7,108.4,108.7,126.7,113.9
01,Oziq-ovqat mahsulotlari va spirtsiz ichimliklar,Продукты питания и безалкогольные напитки,Food and non-alcoholic drinks,Озиқ-овқат маҳсулотлари ва спиртсиз ичимликлар,113.0,115.4,109.2,102.0,105.4
02,"Spirtli ichimliklar, tamaki mahsulotlari","Алкогольные напитки, табачные изделия","Alcoholic drinks, tobacco products","Спиртли ичимликлар, тамаки маҳсулотлари",110.9,110.7,110.4,110.8,106.1
03,Kiyim va poyafzal,Одежда и обувь,Clothes and footwear,Кийим ва пояфзал,105.5,109.4,106.2,105.1,102.7
04,"Turar joy xizmatlari, suv, elektr, gaz va boshqa yonilg'i turlari","Жилищные услуги, вода, электричество, газ и другие виды топлива","Housing services, water, electricity, gas and other fuels","Турар жой хизматлари, сув, електр, газ ва бошқа ёнилғи турлари",104.9,105.1,106.4,138.1,117.1
05,"Uy-ro'zg'or asboblari, maishiy texnika va turar joylarga kundalik xizmat ko'rsatish","Предметы домащнего обихода, бытовая техника и текущее обслуживание жилья","Household items, appliances and routine home maintenance","Уй-рўзғор асбоблари, маиший техника ва турар жойларга кундалик хизмат кўрсатиш",107.5,112.9,107.6,105.5,102.3
06,Sog'liqni saqlash,Здравоохранение,Health care,Соғлиқни сақлаш,108.5,116.7,109.7,120.7,105.6
07,Transport,Транспорт,Transport,Транспорт,113.4,109.7,115.1,110.8,112.0
08,Axborot va aloqa,Информация и связь,Information and communication,Aхборот ва алоқа,102.9,101.7,99.8,100.7,108.9
09,"Dam olish, sport va madaniyat","Отдых, Спорт и культура","Recreation, sports and culture","Дам олиш, спорт ва маданият",109.1,114.4,110.1,108.7,105.7
10,Ta'lim sohasidagi xizmatlar,Услуги в области образования,Services in the field of education,Таълим соҳасидаги хизматлар,111.6,104.1,102.5,114.0,105.1
11,Restoranlar va mehmonxonalar xizmatlari,Рестораны и гостиничное обслуживание,Restaurants and hotel services,Ресторанлар ва меҳмонхоналар хизматлари,114.7,123.6,119.6,112.2,108.6
12,Sug'urtalash va moliyaviy xizmatlar,Страхование и финансовые услуги,Insurance and financial services,Суғурталаш ва молиявий хизматлар,100.4,104.3,103.8,102.2,99.7
13,"Maishiy tovarlar va xizmatlar, ijtimoiy himoya va turli tovarlar va xizmatlar","Бытовые товары и услуги, социальная защита и разные товары и услуги","Household goods and services, social protection and miscellaneous goods and services","Маиший товарлар ва хизматлар, ижтимоий ҳимоя ва турли товарлар ва хизматлар",110.8,114.0,110.5,110.0,108.2
