Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,65.5,59.8,67.7,79.1,79.3,77.1,75.1,47.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,12.2,21.1,22.2,28.4,26.2,26.4,24.2,17.8
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.5,1.9,2.5,2.5,2.2,2.0,2.1,1.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,4.4,6.9,7.3,7.3,8.7,8.1,8.3,2.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,3.9,2.3,1.5,1.9,1.2,1.0,1.0,0.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1.3,2.2,3.4,2.7,2.5,2.0,2.0,1.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,6.3,4.9,5.1,6.1,6.2,6.3,6.3,3.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,18.7,6.9,11.7,15.7,17.0,15.2,15.2,3.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,12.5,6.6,5.3,5.8,5.8,5.8,5.8,4.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1.1,0.8,1.2,0.8,0.9,0.9,1.0,1.1
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,3.3,3.9,5.4,6.4,7.0,7.8,7.8,7.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1.3,2.3,2.1,1.5,1.6,1.6,1.4,2.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
