Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,62.4,64.9,65.8,66.8,67.9,69.1,70.3,71.5,72.7,74.1,75.5,77.0,78.6,80.2,82.0,83.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,9.8,10.1,10.2,10.3,10.4,10.6,10.8,10.9,11.1,11.2,11.4,11.5,11.7,11.9,12.0,12.2
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,1292.9,1292.3,1301.8,1313.6,1341.8,1366.8,1380.5,1397.3,1413.2,1431.4,1452.7,1471.8,1495.5,1514.3,1535.1,1566.8
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,160.3,168.9,171.0,173.3,175.6,178.6,182.1,185.0,187.8,191.5,195.3,197.5,200.8,204.3,207.7,211.4
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,40.3,41.1,41.6,42.4,43.1,44.0,44.9,45.7,46.6,47.5,48.5,49.2,50.0,50.9,51.9,52.9
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.6,10.7,10.8,10.8,10.7
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,7.7,8.2,8.3,8.4,8.4,8.5,8.6,8.7,8.8,8.9,9.0,9.0,9.1,9.2,9.2,9.3
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,36.0,37.4,37.5,37.9,38.4,38.8,39.4,39.9,40.2,40.5,78.8,79.6,79.1,80.3,80.9,82.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,59.2,61.4,61.8,62.6,63.4,64.3,65.3,66.4,67.2,68.0,68.9,69.9,70.8,71.4,72.3,73.4
