Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,31.2,66.1,102.3,139.5,32.1,67.2,105.0,144.8,33.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1.0,2.1,3.2,4.4,1.0,2.2,3.5,4.8,1.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,3.2,6.7,10.2,13.7,3.3,6.7,10.5,14.3,3.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2.3,4.9,7.6,10.4,2.4,4.9,7.6,10.5,2.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.6,1.2,1.9,2.7,0.6,1.2,1.9,2.7,0.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,2.4,5.1,7.9,10.9,2.5,5.2,8.2,11.4,2.6
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1.0,2.1,3.2,4.4,1.0,2.1,3.2,4.4,1.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2.2,4.8,7.3,9.9,2.3,5.0,7.8,10.6,2.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,3.5,7.7,11.9,16.3,3.6,7.6,11.9,16.7,3.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1.5,3.2,5.0,6.8,1.5,3.2,5.1,7.1,1.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.6,1.3,2.0,2.8,0.7,1.4,2.1,2.9,0.7
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,4.5,9.4,14.6,19.8,4.6,9.6,14.9,20.6,4.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,3.7,7.7,12.0,16.3,3.7,7.7,12.0,16.3,3.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,2.0,4.2,6.5,8.9,2.0,4.3,6.7,9.2,2.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,2.7,5.7,9.0,12.2,2.9,6.1,9.6,13.3,3.1
