Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,63.6,73.6,84.2,85.1,83.6,80.7,77.3,63.8
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,27.2,25.7,26.6,28.3,25.1,23.2,21.9,15.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.9,0.4,1.2,1.4,1.4,1.3,1.3,0.9
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.3,0.4,0.6,0.6,0.6,0.6,0.6,0.4
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.9,2.0,1.4,1.6,1.5,1.3,1.3,0.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1.3,2.2,3.1,2.8,3.5,3.1,3.0,2.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,8.2,12.1,12.7,12.6,12.2,12.4,13.1,10.6
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1.5,3.3,5.6,5.7,6.3,5.6,5.5,4.1
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,5.4,10.7,11.6,9.5,11.5,12.3,11.0,11.2
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.6,0.2,0.8,0.4,0.2,0.3,0.3,0.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.3,1.2,1.4,1.5,1.3,1.3,1.1,1.2
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,17.0,15.3,19.2,20.6,19.9,19.2,18.1,15.8
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1
