Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,4969.1,10806.4,16856.0,23005.6,5230.6,11873.4,19030.5,26110.3,5766.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,212.9,433.5,673.8,929.3,217.7,464.7,719.6,970.2,218.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,255.6,538.7,851.3,1147.8,261.1,564.6,890.8,1187.3,279.5
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,576.4,1293.4,2024.1,2740.0,599.2,1326.6,2111.2,2849.6,695.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,259.5,536.2,830.5,1109.0,264.9,569.7,881.7,1210.5,275.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,360.0,651.3,1006.9,1481.8,339.8,686.5,1106.3,1584.8,371.6
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,493.0,1003.8,1530.5,2062.5,504.3,1042.1,1597.7,2157.7,505.7
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,198.3,603.4,1020.8,1445.0,211.3,650.0,1114.3,1682.6,234.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,382.0,825.2,1291.7,1774.2,408.9,926.2,1556.9,2138.7,465.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,289.0,638.3,981.7,1332.6,315.9,709.6,1126.6,1528.0,350.0
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,80.8,170.2,261.9,357.3,84.9,194.6,331.3,462.8,95.1
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,489.0,1044.5,1653.9,2260.5,516.7,1190.3,1967.7,2665.8,590.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,491.3,1045.3,1581.9,2118.6,531.9,1149.6,1799.0,2403.9,590.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,258.4,525.3,802.5,1100.4,273.3,596.2,948.7,1303.3,299.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,622.9,1497.3,2344.5,3146.6,700.7,1802.7,2878.7,3965.1,794.1
