Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.71,100.26,100.62,101.64,102.81,99.84,99.67,100.63,101.22,100.77,100.71,100.92,100.78,100.51,101.15,100.7,101.35,100.37,99.66,100.38,100.55,100.54,100.61,100.76,100.6,100.5,100.7,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.63,100.27,100.8,100.48,98.12,97.85,98.5,100.67,101.48,101.07,100.98,101.69,100.82,100.49,101.59,100.76,99.26,98.57,98.92,100.66,100.88,100.91,101.06,101.44,100.8,100.9,101.2,100.9
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,100.81,99.61,101.3,101.17,100.79,101.67,101.76,100.89,102.1,96.83,96.26,96.83,98.94,95.04,97.4,99.57,100.09,101.02,99.82,99.96,99.22,97.75,94.97,98.19,99.4,99.3,100.0,99.0
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,100.37,99.62,100.82,99.22,100.8,100.75,100.94,100.69,101.07,95.89,95.82,98.61,99.45,94.01,97.45,99.4,99.96,99.52,100.32,100.17,98.61,97.29,96.0,98.09,99.3,99.4,100.1,99.4
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,99.71,100.0,100.0,100.0,100.0,102.28,101.0,99.55,100.0,98.46,93.41,98.64,100.2,96.43,98.71,99.72,100.0,100.0,99.43,99.99,99.36,95.86,98.05,99.24,98.5,100.0,100.0,99.0
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,101.44,100.0,100.39,100.5,99.03,99.52,100.0,100.0,100.18,100.6,99.0,100.75,99.9,100.04,99.56,100.92,100.0,99.86,100.0,100.34,100.78,101.55,100.36,100.66,100.0,100.0,100.9,101.0
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),99.42,99.43,99.19,100.1,99.66,100.0,97.25,99.76,99.75,100.83,97.96,100.1,99.89,99.84,100.55,99.92,100.63,100.38,100.11,100.26,100.72,99.21,99.97,100.01,100.3,100.5,100.0,100.0
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,100.0,101.5,100.04,99.32,100.79,100.41,101.11,100.09,101.36,99.89,100.14,98.43,100.22,98.91,99.97,100.22,101.0,100.0,100.29,100.21,101.04,101.21,100.01,100.8,99.7,100.5,100.4,100.7
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,99.42,99.98,100.03,98.21,100.61,100.4,102.43,100.03,102.74,100.37,100.16,100.0,99.9,100.63,96.7,100.34,99.6,99.8,100.05,100.97,101.94,100.77,101.13,100.5,100.5,100.0,100.0,100.2
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",99.22,100.3,99.76,100.26,100.0,100.28,100.07,99.75,102.79,101.73,100.15,100.13,99.93,99.83,101.09,100.1,100.65,98.91,99.23,99.8,100.51,101.09,99.92,101.13,100.1,100.1,101.2,100.1
01.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,99.43,99.33,100.93,99.53,101.58,100.89,99.58,99.78,100.82,100.41,100.35,100.69,100.14,96.13,99.87,101.52,100.51,100.0,100.01,100.53,100.55,98.66,100.87,100.87,100.1,100.3,100.4,101.5
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.32,99.7,100.74,100.55,98.38,100.0,100.0,98.69,101.44,100.0,98.89,98.33,100.05,93.09,97.7,100.53,100.0,100.55,100.27,100.07,100.35,100.74,100.74,100.0,100.2,100.3,100.5,101.0
01.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,100.0,100.13,100.0,99.62,101.53,99.22,100.3,100.0,100.1,101.21,101.71,100.07,100.14,99.92,99.84,100.0,99.84,101.04,99.38,99.72,100.6,100.03,100.16,100.45,100.3,99.8,100.0,100.5
01.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,100.0,100.38,100.0,98.34,100.0,100.0,100.0,100.0,100.0,102.08,100.0,100.0,100.0,100.0,100.35,100.0,100.49,100.0,100.0,100.0,98.91,100.0,100.0,100.34,100.0,100.0,100.1,100.1
01.13,Obinon,Лепешки,Flatbreads,Обинон,100.0,100.0,100.0,103.48,99.97,99.96,100.1,100.0,100.0,100.0,100.0,100.0,100.42,100.0,99.91,99.78,100.0,100.0,100.0,100.0,100.06,101.02,100.0,100.0,100.0,100.0,100.5,100.9
01.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,100.0,100.0,98.7,98.22,100.0,100.0,100.0,100.0,100.39,103.82,100.0,100.0,100.0,100.0,100.0,99.96,100.1,100.0,100.04,99.98,100.61,99.96,99.99,100.72,100.2,101.0,101.3,99.5
01.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",100.0,100.58,100.14,108.68,100.69,99.94,99.8,100.13,100.5,98.07,98.0,100.01,101.75,100.39,100.81,100.0,99.54,100.43,99.41,100.82,100.08,100.33,99.97,100.4,100.1,100.1,101.9,101.6
01.16,"Suxari (qoq non), qarsillama non, galeta","Сухари, хрустящие хлебцы, галеты","Rusks, crispbread, crackers","Сухари (қоқ нон), қарсиллама нон, галета",100.0,100.32,100.33,100.72,100.16,99.89,100.08,99.85,101.45,100.09,100.43,100.08,100.76,100.44,100.82,100.41,99.62,100.01,99.22,99.99,100.11,100.09,100.74,100.92,100.4,100.5,100.0,100.1
01.16.1,"Pirojki, ponchik (goʻshtli pirojkidan tashqari)","Пирожки, пончики (кроме пирожков с мясом)",Pirozhki and doughnuts (excluding meat pirozhki),"Пирожки, пончик (гўштли пирожкидан ташқари)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.8,100.0,100.0,102.9
01.17,Pechenye,Печенье,Cookies,Печене,99.56,101.41,99.4,100.53,99.5,100.73,99.96,100.2,101.51,100.22,102.54,99.43,100.36,99.61,100.1,100.54,100.72,100.3,99.37,100.12,100.15,99.7,100.11,100.04,100.2,100.0,100.3,100.4
01.18,Vafli,Вафли,Wafers,Вафли,100.0,99.95,100.0,100.27,100.58,99.99,99.89,100.0,100.75,101.66,100.0,101.71,101.21,100.33,100.25,99.71,100.82,99.61,100.08,100.08,100.45,101.28,99.99,100.25,100.9,100.3,100.3,100.2
