Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1000,Yig‘ma indeks,Сводный индекс,Composite index,Йиғма индекс,114.8,117.5,131.8,143.2,114.9,109.3,116.8,112.5,117.9,111.9
B,Tog`-kon sаnoаti vа ochiq konlаrni ishlаsh,Горнодобывающая промышленность и разработка карьеров,Mining and quarrying,Тоғ-кон саноати ва очиқ конларни ишлаш,106.5,109.6,124.3,217.2,119.6,98.7,126.3,118.8,115.9,105.3
C,Ishlab chiqarish sanoati,Обрабатывающая промышленность,Manufacturing industry,Ишлаб чиқариш саноати,115.9,119.4,132.1,134.5,112.5,111.4,117.1,122.4,111.4,112.1
D,"Elektr, gаz, bug` bilаn tа'minlаsh vа hаvoni konditsiyalаsh","Электроснабжение, подача газа, пара и кондиционирование воздуха","Electricity, gas, steam and air conditioning","Электр, газ, буғ билан таъминлаш ва ҳавони кондициялаш",116.6,109.0,128.1,153.8,115.7,100.0,101.4,122.5,159.0,115.8
E,"Suv bilаn tа'minlаsh; kаnаlizаtsiya tizimi, chiqindilаrni yig`ish vа utilizаtsiya qilish","Водоснабжение; канализация, сбор и утилизация отходов","Water supply; sewerage, waste collection and disposal","Сув билан таъминлаш; канализация тизими, чиқиндиларни йиғиш ва утилизация қилиш",106.4,119.2,185.8,117.0,113.4,157.9,108.5,110.2,190.0,120.5
10,Oziq-ovqat mahsulotlari ishlab chiqarish,Производство пищевых продуктов,Manufacturing of food products,Озиқ-овқат маҳсулотлари ишлаб чиқариш,114.6,107.1,114.2,124.4,115.9,106.6,124.0,117.2,107.2,102.2
11,Ichimliklar ishlab chiqarish,Производство напитков,Manufacture of beverages,Ичимликлар ишлаб чиқариш,125.4,116.4,118.1,115.2,115.0,113.8,119.0,108.4,114.8,111.4
13,To'qimachilik mahsulotlari ishlab chiqarish,Производство текстильных изделий,Manufacture of textiles,Тўқимачилик маҳсулотлари ишлаб чиқариш,117.1,123.0,142.3,123.5,108.6,114.3,126.6,93.0,100.8,103.8
19,Koks va neftni qayta ishlash mahsulotlari ishlab  chiqarish,Производство химической продукции,Manufacture of chemical products,Кокс ва нефтни қайта ишлаш маҳсулотлари ишлаб  чиқариш,103.9,120.6,136.9,233.7,121.7,145.5,113.2,114.0,110.5,112.5
20,Kimyo mahsulotlari ishlab chiqarish,Производство кокса и продуктов нефтепереработки,Manufacture of coke and refined petroleum products,Кимё маҳсулотлари ишлаб чиқариш,112.2,115.8,135.5,163.7,97.7,123.4,122.0,107.3,103.6,117.1
23,Boshqa nometall mineral mahsulotlar ishlab chiqarish,Производство прочей неметаллической минеральной продукции,Manufacture of other non-metallic mineral products,Бошқа нометалл минерал маҳсулотлар ишлаб чиқариш,124.5,107.9,130.7,111.2,110.9,106.7,111.9,101.0,105.8,105.9
24,Metallurgiya sanoati,Металлургическая промышленность,Metallurgical industry,Металлургия саноати,115.6,152.3,156.6,186.4,131.5,113.2,107.2,106.8,119.6,133.2
25,Mashina va uskunalardan tashqari tayyor metall buyumlar ishlab chiqarish,"Производство готовых металлических изделий, кроме машин и оборудования","Manufacture of fabricated metal products, except machinery and equipment",Машина ва ускуналардан ташқари тайёр металл буюмлар ишлаб чиқариш,114.9,113.7,155.5,117.6,104.4,111.3,115.3,109.9,111.8,103.8
27,Elektr uskunalar ishlab chiqarish,Производство электрического оборудования,Manufacture of electrical equipment,Электр ускуналар ишлаб чиқариш,131.6,118.8,122.4,98.6,104.7,118.8,118.1,108.3,110.6,102.3
29,"Avtotransport vositalari, treylerlar va yarim pritseplar ishlab chiqarish","Производство автотранспортных средств, трейлеров и полуприцепов","Manufacture of motor vehicles, trailers and semi-trailers","Автотранспорт воситалари, трейлерлар ва ярим прицеплар ишлаб чиқариш",115.9,142.6,143.4,102.6,104.6,102.4,114.2,114.9,111.1,99.3
7,Metall rudalarni qazib olish,Добыча металлических руд,Mining of metal ores,Металл рудаларни қазиб олиш,104.3,98.3,100.3,0.0,0.0,125.1,180.9,110.2,128.0,114.5
