Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,74.3,75.1,75.6,76.7,77.6,77.9,78.2,78.0,76.3,76.2,74.5,74.5,73.9,74.0,74.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,71.1,72.3,71.0,73.7,74.8,74.5,75.1,75.1,75.6,74.9,74.2,74.2,74.1,74.5,75.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,81.0,82.4,82.8,83.3,83.7,83.8,84.4,84.2,81.7,82.1,80.8,80.7,80.2,80.7,81.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,76.5,76.8,77.3,78.5,78.8,78.5,78.5,78.5,76.5,76.1,74.9,74.2,74.3,74.5,74.5
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,78.3,79.1,80.3,81.0,81.4,81.7,81.8,80.9,79.0,79.7,78.4,78.8,77.3,77.1,77.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,74.8,76.1,77.0,77.9,78.7,79.6,79.9,80.0,79.0,78.5,78.1,78.5,78.2,78.1,78.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,55.8,56.0,58.8,59.4,60.2,60.3,60.3,59.3,56.2,55.0,51.9,52.3,51.1,52.1,52.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,78.7,80.2,80.7,81.7,83.0,83.3,83.3,83.5,83.0,82.8,81.6,82.2,81.0,80.9,81.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,82.0,82.3,81.8,83.2,83.7,84.1,84.5,84.5,83.1,82.8,81.7,81.5,80.9,81.1,81.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,75.0,76.3,77.5,79.0,79.9,80.3,80.9,80.9,79.4,79.6,78.2,78.4,76.9,76.8,77.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,77.5,78.5,77.5,79.0,79.4,79.4,79.4,78.8,77.4,76.4,74.5,74.4,72.9,71.9,73.6
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,72.7,73.4,74.2,75.3,76.3,76.8,76.9,75.1,73.2,72.8,70.8,69.8,70.0,70.6,71.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,77.0,76.3,77.3,78.9,80.0,80.3,80.5,80.6,78.9,79.4,78.4,78.5,78.7,79.1,80.4
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,78.4,79.6,79.1,78.5,82.1,82.4,82.8,82.2,80.6,80.4,79.3,79.1,78.1,78.5,79.3
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,56.8,57.1,57.3,57.5,57.6,57.0,56.6,56.7,53.1,53.7,49.7,50.2,50.0,49.4,48.4
