Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,8339.1,9626.8,11168.0,13321.7,16386.2,19981.0,22987.2,26723.6,30061.0,32138.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,501.3,526.4,606.8,767.9,922.3,1071.9,1234.2,1346.6,1505.1,1640.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,621.5,731.1,842.0,991.3,1236.5,1484.2,1790.6,2019.8,2292.7,2448.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,430.9,482.6,547.3,694.0,855.2,1011.2,1204.5,1383.0,1519.4,1677.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,270.9,304.4,371.3,468.2,569.1,667.2,794.1,895.9,1006.9,1129.7
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,489.3,578.5,702.5,877.8,1162.4,1440.9,1696.2,1905.5,2133.3,2377.7
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,276.2,312.7,350.4,442.5,553.8,647.1,761.8,876.4,946.3,1047.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,523.5,621.4,749.8,961.5,1198.3,1379.5,1637.0,1863.9,2036.9,2278.1
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,758.2,865.0,1018.7,1225.7,1505.9,1795.4,2132.5,2407.4,2706.1,3055.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,372.2,433.5,551.5,721.4,958.6,1151.5,1323.5,1538.2,1702.1,1871.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,212.4,229.8,284.6,349.1,441.4,505.7,595.4,673.0,749.3,794.8
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,273.6,353.1,352.3,506.7,1007.7,1255.2,1483.8,1688.8,1954.1,2122.1
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,751.9,881.4,1048.0,1245.5,1552.3,1937.4,2872.3,3411.7,3752.3,3633.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,391.8,448.5,573.3,710.2,872.1,1012.9,1185.9,1328.4,1482.3,1628.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,2465.3,2858.3,3169.7,3359.9,3550.6,4620.9,4275.4,5385.0,6274.1,6433.1
