Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,20666.1,21265.4,22504.5,21954.5,23846.7,25971.3,29022.4,31981.9,34304.8,36251.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1202.7,1201.9,1295.8,1262.7,1332.2,1377.7,1427.4,1499.3,1599.2,1687.4
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1747.3,1806.3,1904.3,1829.8,2003.4,2166.9,2498.4,2696.3,2858.6,2865.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1182.9,1210.5,1253.5,1247.6,1350.5,1404.8,1488.8,1547.6,1626.9,1720.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,727.7,746.6,777.9,782.8,838.3,917.1,958.5,1027.1,1112.9,1276.5
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1566.0,1581.4,1687.4,1692.3,1857.8,1996.8,2068.2,2207.2,2403.5,2593.6
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,738.9,754.3,776.7,785.2,850.8,915.4,944.3,1027.5,1087.8,1150.5
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1484.0,1546.5,1671.4,1651.4,1831.1,1941.2,2212.3,2386.3,2536.2,2730.9
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1972.6,2023.4,2109.3,2095.9,2263.3,2449.7,2774.2,2993.5,3204.0,3377.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1201.8,1234.2,1327.0,1313.7,1457.5,1515.6,1608.4,1762.2,1902.9,2027.3
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,523.6,524.3,589.7,554.6,593.3,614.6,705.1,729.7,809.0,878.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,560.2,589.8,607.6,662.5,1191.6,1405.1,1672.0,1779.7,1997.5,2106.7
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,2159.4,2229.6,2333.8,2333.8,2578.3,2858.9,3026.2,3230.7,3459.9,3642.9
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1064.6,1084.3,1180.1,1144.1,1227.3,1281.5,1315.2,1402.9,1575.2,1687.5
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,4534.4,4732.3,4990.0,4598.1,4471.3,5126.0,6323.4,7691.9,8131.0,8506.8
