Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
999740,Iste‘mol tovarlari,Потребительские товары,Consumer products,Истеъмол товарлари,111.5,106.5,107.9,109.4,109.4,109.7,106.0,106.7,114.7,110.3,105.7,113.9,120.7
999831,Vino-aroq mahsulotlari va pivo,Вино-водочные товары и пиво,Wine-vodka products and beer,Вино-ароқ маҳсулотлари ва пиво,109.7,103.7,102.1,108.7,105.4,102.6,106.5,101.8,99.9,107.9,101.8,98.3,105.6
999788,Nooziq-ovqat mahsulotlari,Непродовольственные товары,Non-food products,Ноозиқ-овқат маҳсулотлари,112.9,105.5,108.1,112.9,110.0,103.9,101.1,116.7,127.9,107.0,104.9,113.1,128.1
999786,Oziq-ovqat mahsulotlari,Продовольственные товары,Food products,Озиқ-овқат маҳсулотлари,109.5,108.3,108.1,104.8,109.0,118.6,112.0,94.8,92.9,118.2,107.6,116.4,113.0
