Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.69,100.63,100.68,101.57,102.76,99.9,99.91,100.55,101.29,100.72,101.38,101.15,100.69,100.63,100.88,100.66,101.35,99.56,99.66,100.43,100.55,100.56,101.0,100.95,100.7,100.6,100.7,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.89,100.22,100.9,100.74,98.38,98.73,98.44,100.56,101.46,100.72,101.01,101.69,100.93,100.65,101.46,100.75,99.21,98.74,98.92,100.61,100.93,100.94,101.08,101.57,100.8,101.1,101.3,101.0
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,99.32,99.93,101.55,103.27,102.12,101.04,101.07,101.08,101.07,96.72,95.69,96.43,99.14,94.35,98.27,100.08,99.83,99.91,99.37,100.07,99.56,97.51,94.65,98.06,98.7,99.1,99.6,99.5
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,100.03,100.08,101.36,101.42,100.43,99.88,99.84,100.73,101.4,96.79,93.41,97.62,98.1,96.29,96.74,99.5,99.78,100.26,98.98,99.71,99.58,96.87,94.58,98.5,99.4,99.7,99.6,99.7
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,100.15,100.0,100.0,102.59,100.27,100.01,100.0,101.88,100.58,95.54,95.0,98.01,98.36,96.64,98.26,99.57,98.93,99.3,95.65,99.55,99.67,99.06,98.05,99.15,99.1,100.0,100.3,97.8
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,100.31,99.43,100.63,102.57,99.83,98.64,101.36,100.0,101.69,100.02,97.0,99.71,99.86,99.27,100.28,101.68,100.7,100.75,99.24,100.33,100.1,100.05,100.2,100.0,100.0,100.8,100.0,100.6
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),96.05,100.23,98.9,100.53,98.93,95.66,99.38,101.47,98.15,98.42,100.62,97.72,101.28,99.03,100.21,101.01,100.41,100.55,98.74,100.95,100.65,100.82,99.32,100.57,100.7,100.5,101.6,100.2
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,100.0,100.78,100.03,99.74,100.53,99.11,99.72,100.37,102.09,100.92,100.91,98.29,100.85,99.51,100.19,101.09,101.9,100.38,99.71,100.89,101.48,100.44,100.2,99.26,100.3,100.6,101.2,100.2
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,99.73,100.94,99.79,100.27,100.89,100.23,101.94,101.13,101.79,101.94,96.0,99.95,102.32,100.03,97.73,100.65,99.95,101.42,100.04,100.94,100.98,100.24,99.61,101.38,100.3,101.4,101.0,100.5
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",100.31,100.01,100.13,99.96,100.88,100.58,98.31,101.13,104.48,99.81,99.0,98.96,103.74,98.95,100.32,100.41,99.63,100.18,101.37,99.17,100.24,100.54,99.99,99.65,101.5,101.3,101.0,100.9
01.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,99.97,99.72,101.22,99.89,101.2,100.4,99.51,99.86,101.44,100.52,100.0,100.09,100.78,94.44,99.97,101.5,100.85,100.39,99.67,100.54,99.51,99.95,100.36,100.82,100.6,100.6,100.7,101.2
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,100.17,99.84,101.0,100.47,98.34,100.19,99.12,99.9,99.85,99.97,97.93,98.37,99.61,92.23,98.42,100.72,100.0,99.41,99.93,99.71,99.97,100.72,100.25,100.21,100.7,100.5,100.6,101.3
01.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,100.1,100.06,100.0,106.71,102.83,99.72,100.15,100.0,99.98,100.85,100.0,100.03,100.08,99.96,100.2,100.0,99.89,100.59,99.65,99.88,100.33,100.65,100.04,100.33,100.4,100.7,100.2,100.1
01.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,100.0,100.0,100.0,106.77,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
01.13,Obinon,Лепешки,Flatbreads,Обинон,100.0,100.34,100.67,100.71,100.22,99.71,100.61,100.08,100.0,101.06,100.38,100.0,100.94,100.0,100.19,100.0,100.0,100.32,100.0,100.0,100.0,100.84,100.0,100.0,100.0,100.1,100.5,101.2
01.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,100.0,100.25,100.0,100.37,100.91,100.89,100.0,100.0,101.1,100.48,100.22,100.0,100.21,100.56,100.46,99.98,100.52,100.43,100.02,99.59,99.87,99.99,100.0,100.31,100.2,100.6,99.9,100.1
01.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",100.0,100.2,100.29,100.93,100.81,99.82,100.04,100.77,101.11,100.12,100.17,99.8,99.98,100.01,100.38,98.95,100.84,100.0,99.67,100.32,101.15,101.07,99.96,100.31,100.5,100.0,101.1,99.2
01.16,"Suxari (qoq non), qarsillama non, galeta","Сухари, хрустящие хлебцы, галеты","Rusks, crispbread, crackers","Сухари (қоқ нон), қарсиллама нон, галета",100.0,101.12,100.26,100.3,99.36,100.7,100.76,100.3,100.49,100.23,100.45,100.21,100.93,100.32,101.39,101.76,100.53,100.07,99.72,100.13,100.02,100.13,101.04,100.45,100.3,100.4,100.2,99.8
01.16.1,"Pirojki, ponchik (goʻshtli pirojkidan tashqari)","Пирожки, пончики (кроме пирожков с мясом)",Pirozhki and doughnuts (excluding meat pirozhki),"Пирожки, пончик (гўштли пирожкидан ташқари)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.1,102.5,100.0,103.2
01.17,Pechenye,Печенье,Cookies,Печене,100.0,101.23,99.99,100.16,99.83,100.62,100.03,100.54,101.23,100.34,100.47,99.97,100.45,99.61,100.47,100.54,100.05,100.22,99.91,100.47,100.3,100.13,100.01,100.18,100.0,100.3,100.7,100.6
01.18,Vafli,Вафли,Wafers,Вафли,100.0,100.71,100.37,100.83,98.97,101.64,101.14,100.56,101.13,100.67,102.2,98.46,100.42,100.83,100.91,100.03,99.66,100.91,100.11,100.95,100.1,100.39,100.16,100.84,100.1,100.3,100.8,101.3
01.19,Pryaniklar,Пряники,Gingerbread,Пряниклар,100.0,100.51,100.89,100.21,99.87,100.05,100.37,101.43,100.08,100.21,103.0,100.57,101.07,99.47,98.85,100.0,101.24,101.66,100.0,100.0,100.32,100.49,101.11,100.16,100.0,100.2,100.0,100.3
