Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,0.2,2.5,3.1,2.4,2.0,1.8,1.85822
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.02,0.1,0.02,0.02,0.02,0.02,0.029
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,0.0,0.0,0.0,0.0,0.0,0.1,0.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.0,0.003,0.004,0.1,0.1,0.03,0.27142
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.003,0.0,0.003,0.001,0.001,0.004,0.114
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.03,0.04,0.1,0.1,0.1,0.1,0.06
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.0,0.03,0.2,0.1,0.01,0.0,0.006
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,0.01,0.1,0.5,0.1,0.1,0.1,0.068
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,0.03,0.6,0.1,0.1,0.1,0.1,0.085
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,0.001,1.1,2.0,1.8,1.4,1.3,0.909
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.03,0.02,0.1,0.1,0.1,0.1,0.0476
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.05,0.2,0.02,0.1,0.2,0.1,0.2682
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,0.1,0.2,0.01,0.0,0.0,0.001,0.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.0,0.1,0.03,0.02,0.004,0.0,0.0
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0
