Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-M01,2026-M02,2026-M03,2026-M04
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.69,100.63,100.88,100.66,101.35,99.56,99.66,100.43,100.55,100.56,101.0,100.95,100.7,100.6,100.7,100.6
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.93,100.65,101.46,100.75,99.21,98.74,98.92,100.61,100.93,100.94,101.08,101.57,100.8,101.1,101.3,101.0
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.1,96.29,96.74,99.51,99.78,100.26,98.98,99.71,99.58,96.87,94.58,98.5,99.4,99.7,99.6,99.7
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.61,92.23,98.41,100.72,100.0,99.41,99.93,99.71,99.97,100.72,100.25,100.21,100.7,100.5,100.6,101.3
01.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),100.29,102.91,109.31,101.31,100.94,101.24,102.62,100.02,101.97,101.42,100.18,100.37,101.0,102.9,102.1,103.0
01.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,100.34,102.93,109.55,102.0,101.21,101.03,102.19,100.07,101.69,101.64,100.76,100.33,101.6,103.2,101.6,103.2
01.38,Parranda goʻshti (butun tana),Мясо птицы (тушка),Poultry meat (whole carcass),Парранда гўшти (бутун тана),99.85,100.32,100.81,99.57,99.7,102.3,101.19,101.84,101.4,98.55,98.08,100.72,101.2,101.4,100.1,97.9
01.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),100.11,100.0,100.99,99.84,100.5,100.43,100.54,100.0,100.0,100.96,100.8,100.8,101.3,100.1,100.0,99.6
01.71,Tovuq tuxumlari,Яйца куриные,Chicken eggs,Товуқ тухумлари,83.9,87.9,100.18,95.6,98.32,106.48,97.71,103.13,106.78,103.63,102.09,102.83,100.5,100.3,101.7,97.4
01.72,Paxta moyi,Масло хлопковое,Cottonseed oil,Пахта мойи,100.77,100.0,101.8,102.52,105.34,100.97,100.39,101.81,100.34,101.06,98.64,100.7,100.5,100.2,100.4,100.2
01.73,Kungaboqar moyi,Масло подсолнечное,Sunflower oil,Кунгабоқар мойи,101.33,100.06,100.1,104.28,104.65,99.92,101.78,99.82,100.32,100.55,99.78,99.27,100.2,100.2,101.0,100.5
01.82,Olmalar,"Яблоки, свежие","Apples, fresh",Олмалар,103.56,101.06,101.23,101.73,101.79,100.15,97.34,99.14,99.35,99.85,104.39,102.08,102.6,104.0,107.6,104.0
01.102,Yangi uzilgan pomidorlar,Помидоры свежие,Fresh tomatoes,Янги узилган помидорлар,96.86,128.89,104.38,97.4,74.24,57.31,59.85,84.3,117.76,151.06,170.96,122.15,97.6,111.5,114.3,98.4
01.107,Sabzi,Морковь,Carrot,Сабзи,102.62,101.68,118.54,108.47,116.02,111.19,94.64,95.96,107.23,95.63,73.59,91.7,102.0,102.1,98.9,102.8
01.110,Piyoz,Лук репчатый,Onion,Пиёз,102.76,99.62,102.78,114.3,98.89,98.35,98.72,99.63,97.03,93.92,96.63,100.48,101.0,98.9,98.2,97.0
01.113,Kartoshka,Картофель,Potato,Картошка,128.93,86.15,94.5,103.1,98.38,98.87,97.1,102.66,99.13,98.11,100.58,100.5,101.9,105.1,107.9,106.3
01.123,Shakar,Сахар-песок,Sugar,Шакар,99.38,99.57,99.26,100.51,103.21,100.3,100.05,99.71,100.26,96.82,96.66,98.59,100.9,103.2,101.3,101.6
1.03,NOOZIQ-OVQAT MAHSULOTLARI,НЕПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,NON-FOOD PRODUCTS,НООЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.39,100.25,100.14,100.54,101.81,100.22,100.33,100.38,100.28,100.42,100.5,100.3,100.4,100.2,100.3,100.4
02.115,Sement,Цемент,Cement,Цемент,99.33,100.0,100.0,100.18,102.11,100.97,100.27,100.82,102.68,100.99,101.15,100.91,100.5,100.0,101.1,101.2
02.172,Xoʻjalik sovuni,Мыло хозяйственное,Household soap,Хўжалик совуни,100.55,100.39,100.7,100.86,99.15,99.54,100.3,100.11,99.7,100.91,99.62,100.87,100.0,100.0,100.6,101.2
02.173,"Kir yuvish kukuni yoki aralashmasi, oqartiruvchi modda va kir yuvish uchun boshqa vositalar","Стиральный порошок или смесь, отбеливатели и прочие средства для стирки","Washing powders or mixtures, bleaches, and other washing agents","Кир ювиш кукуни ёки аралашмаси, оқартирувчи модда ва кир ювиш учун бошқа воситалар",100.35,101.05,100.23,100.52,100.11,99.62,100.33,99.86,99.67,100.49,99.98,99.29,100.7,100.9,100.3,101.1
02.180,Vitaminlar,Витамины,Vitamins,Витаминлар,100.53,100.0,100.22,100.35,100.78,100.9,100.6,100.37,99.94,100.39,100.46,100.02,100.1,99.9,101.0,100.1
02.181,Antibiotiklar,Антибиотики,Antibiotics,Антибиотиклар,100.43,100.99,99.54,101.54,100.71,100.92,100.0,100.2,99.54,100.03,100.86,100.27,100.0,101.0,100.8,100.3
02.183,Tomir kengaytiruvchi preparatlar,Сосудорасширяющие препараты,Vasodilating drugs,Томир кенгайтирувчи препаратлар,100.0,101.19,100.0,100.0,99.9,101.65,100.7,100.0,99.88,100.59,100.1,99.8,100.0,101.0,100.7,99.7
02.184,Shamollashga qarshi dori vositalari,Противовоспалительные лекарственные средства,Anti-inflammatory drugs,Шамоллашга қарши дори воситалари,100.0,100.49,100.63,100.37,100.4,100.58,101.3,100.01,100.39,100.5,100.01,100.09,99.9,100.6,100.3,99.5
02.196,Benzin,Бензин,Gasoline,Бензин,101.02,100.05,100.03,99.71,99.45,99.67,100.4,103.38,101.76,101.44,102.27,101.54,100.4,99.2,98.6,101.9
02.197,Shaxsiy transport vositalari uchun propan,Пропан для личных транспортных средств,Propane for personal vehicles,Шахсий транспорт воситалари учун пропан,88.8,106.19,96.7,93.94,95.7,98.65,104.59,100.0,100.0,102.77,107.67,100.65,108.4,101.4,98.6,97.6
02.198,Shaxsiy transport vositalari uchun metan,Метан для личных транспортных средств,Methane for personal vehicl,Шахсий транспорт воситалари учун метан,100.0,100.0,99.86,104.23,126.72,100.01,100.16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.3
1.04,XIZMATLAR,УСЛУГИ,SERVICES,ХИЗМАТЛАР,100.63,100.99,100.71,100.64,104.3,100.14,100.11,100.22,100.23,100.14,101.39,100.66,100.9,100.4,100.2,100.4
03.10,Sovuq suv va kanalizatsiya uchun haq toʻlash,Холодное водоснабжение и канализация,Cold water supply and sewerage fee,Совуқ сув ва канализация учун ҳақ тўлаш,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.11,Maishiy chiqindi uchun haq toʻlash,Плата за вывоз мусора,Garbage collection fee,Маиший чиқинди учун ҳақ тўлаш,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.13,Elektr energiyasi uchun haq toʻlash,Плата за электроэнергию,Electricity fee,Электр энергияси учун ҳақ тўлаш,100.0,100.0,100.0,100.0,118.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.14,Tarmoq gaz uchun haq toʻlash,Плата за газ сетевой,Network gas fee,Тармоқ газ учун ҳақ тўлаш,100.0,100.0,100.0,100.0,139.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
03.15,Suyultirilgan gaz uchun haq toʻlash,Плата за газ сжиженный,Liquefied gas fee,Суюлтирилган газ учун ҳақ тўлаш,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03.16,Issiq suv taʼminoti uchun xaq toʻlash,Оплата снабжения горячей водой,Hot water supply fee,Иссиқ сув таъминоти учун хақ тўлаш,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115.0,100.0,100.0,100.0,100.0,100.0
03.17,Markaziy isitish uchun haq toʻlash,Оплата центрального отопления,Central heating fee,Марказий иситиш учун ҳақ тўлаш,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115.0,100.0,100.0,100.0,100.0,100.0
