Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,64.3,65.3,67.9,65.0,68.7,71.3,72.8,75.6,79.2,80.8
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,66.2,65.4,69.6,66.6,68.6,69.9,70.2,71.9,73.9,75.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,59.7,60.7,62.9,59.3,63.6,67.3,67.9,70.9,71.9,69.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,63.9,64.4,65.6,64.5,68.0,70.1,72.1,73.5,74.5,75.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,56.7,57.2,58.3,57.3,59.3,63.6,64.4,66.9,69.2,73.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,51.1,50.6,52.7,51.8,55.8,59.0,60.3,61.7,63.4,66.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,76.3,76.9,77.9,76.3,80.9,86.4,86.6,89.3,90.5,90.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,56.6,58.1,61.6,59.5,64.5,67.1,68.7,71.3,70.8,74.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,54.9,55.3,56.6,54.9,57.7,61.1,62.7,64.8,66.2,67.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,49.6,49.9,52.6,50.7,54.9,55.9,56.9,60.5,62.3,63.7
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,66.1,65.2,72.0,66.5,68.9,70.1,72.2,75.9,79.9,81.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,19.1,19.7,20.3,22.0,38.4,45.0,50.9,54.2,60.5,61.8
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,60.6,61.7,63.6,62.5,67.7,74.0,73.4,77.8,81.6,83.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,60.4,60.8,65.0,61.9,64.9,66.7,67.0,69.4,71.8,74.3
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,182.2,190.1,197.2,178.2,166.8,155.5,154.9,157.6,176.5,178.3
