Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,54.5,104.3,99.1,99.8,77.5,105.2,110.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,3.5,1.2,1.0,1.2,1.3,1.0,0.4
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,46.3,79.4,69.1,69.3,63.5,71.0,70.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.1,0.008,0.3,0.1,0.0,3.1,0.2
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,0.0,1.9,0.6,7.1,4.7,19.3,23.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,0.5,11.4,8.0,9.6,7.5,9.0,10.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,0.032,0.006,0.0,0.1,0.0,0.0,0.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,0.003,0.3,0.3,0.0,0.0,0.0,0.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,3.0,9.3,19.8,12.3,0.4,1.8,5.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,0.002,0.6,0.0,0.1,0.0,0.0,0.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1.0,0.1,0.02,0.0,0.0,0.0,0.0
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,0.0,0.1,0.018,0.0,0.0,0.0,0.1
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0
