Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M1,2026-M2,2026-M03
7,Mashinalar va transport asbob-uskunalari,Машины и транспортное оборудование,Machines and transport equipment,Машиналар ва транспорт асбоб-ускуналари,33.5,89.4,156.3,206.6,254.6,323.9,386.0,430.6,491.4,557.1,616.2,693.6,32.2,72.8,132.6,216.5,281.8,389.2,479.8,581.4,669.1,770.3,875.0,973.7,54.6,142.1,260.2,376.6,492.5,599.7,682.8,844.0,943.2,1096.1,1208.9,1305.2,61.7,126.2,245.8,317.9,497.5,593.8,680.2,785.0,884.7,983.3,1102.0,1202.2,38.2,116.3,264.8,336.2,388.2,476.8,562.3,630.9,764.1,893.1,987.7,1161.5,80.5,210.7,301.8
8,Turli xil tayyor buyumlar,Различные готовые изделия,Various finished products,Турли хил тайёр буюмлар,52.8,110.8,173.2,234.8,300.4,367.4,438.9,512.0,573.4,640.9,708.2,785.6,67.3,143.5,210.5,302.9,390.0,504.3,582.2,677.4,771.6,872.7,991.1,1106.1,76.2,191.3,285.4,372.0,489.6,624.9,733.0,846.7,922.0,1000.5,1100.6,1195.6,89.2,180.4,268.6,365.3,467.9,561.6,661.9,757.8,840.0,925.0,1012.8,1105.7,83.5,180.2,287.7,409.0,531.4,698.4,872.6,1114.2,1264.3,1419.7,1548.1,1696.0,121.0,303.1,535.6
9,Boshqa tovarlar,"Товары и операции, не включенные в другие категории МСТК",Other goods,Бошқа товарлар,0.2,0.5,0.8,190.6,1386.2,1577.7,1577.8,1578.0,1580.0,2556.1,4303.7,4303.9,586.9,2362.4,2971.7,2972.9,2974.1,2975.9,2978.3,2981.0,2983.2,2986.1,3546.2,4132.3,1184.1,1187.1,2419.3,3073.9,4391.8,4395.0,5660.4,5664.5,5668.1,6905.1,8190.6,8192.6,2.1,1322.4,2672.3,3433.0,4218.0,4221.9,4225.9,5022.3,5831.9,6696.5,6698.9,7555.1,46.9,1795.1,3656.4,5571.4,6602.5,6620.3,7734.2,8461.6,9942.1,9949.6,9956.9,10092.5,5.6,12.2,49.5
99,Xizmatlar,Услуги,Services,Хизматлар,167.6,289.3,469.5,654.6,882.4,1139.3,1382.6,1639.4,1871.8,2102.7,2332.6,2581.7,194.1,382.8,632.2,931.2,1265.5,1616.4,2001.3,2411.3,2826.8,3276.8,4036.9,4456.7,273.3,561.9,1039.3,1478.6,1774.3,2285.1,2936.0,3428.3,3868.4,4420.0,4823.5,5640.4,403.6,728.8,1255.2,1837.1,2456.8,3145.5,3721.3,4440.1,5140.1,5837.1,6577.7,7204.4,492.1,1176.6,1835.2,2505.3,3247.6,4056.4,4846.9,5707.9,6762.1,7754.1,8478.3,9760.4,742.1,1449.1,2326.8
1,Ichimliklar va tamaki,Напитки и табак,Beverages and tobacco,Ичимликлар ва тамаки,1.1,2.8,6.8,8.7,10.7,14.1,17.4,20.5,23.4,26.7,30.6,36.0,2.8,6.8,10.2,21.9,33.9,48.1,58.1,69.3,77.5,84.6,99.2,111.0,5.9,16.5,28.1,38.8,51.0,65.3,72.4,80.7,89.6,99.8,111.8,123.0,5.8,14.9,24.9,34.9,43.6,58.2,70.0,87.8,102.6,114.5,127.1,138.5,10.7,24.6,36.6,55.4,75.7,92.0,110.6,127.7,139.0,160.2,183.8,205.7,13.7,34.7,57.0
6,Asosan material turiga qarab klassifikatsiyalangan sanoat tovarlari,"Промышленные товары, классифицированные главным образом по виду материала",Industrial goods,Асосан материал турига қараб классификацияланган саноат товарлари,248.2,585.3,913.3,1251.5,1631.5,2035.0,2399.2,2782.9,3127.8,3485.3,3961.0,4333.1,316.2,723.7,1080.6,1510.3,1904.7,2378.0,2734.9,3100.3,3404.0,3704.2,3957.0,4383.5,273.3,613.4,979.9,1305.5,1712.0,2130.2,2440.0,2761.0,3070.0,3379.9,3751.2,4051.5,278.3,610.4,1023.0,1348.9,1725.5,2065.6,2476.9,2855.8,3186.9,3572.0,3887.3,4200.7,265.5,576.4,896.9,1204.5,1527.6,1840.5,2228.2,2561.2,2865.8,3166.7,3490.5,3988.4,306.7,643.2,1034.1
5,Kimyoviy vositalar va boshqa toifalarga kiritilmagan shunga o‘xshash mahsulotlar,"Химические вещества и аналогичная продукция, не включенные в другие категории",Chemicals and similar products,Кимёвий воситалар ва бошқа тоифаларга киритилмаган шунга ўхшаш маҳсулотлар,62.0,135.7,228.5,305.8,382.4,464.0,576.1,667.4,741.7,845.0,983.2,1131.2,56.0,111.2,250.7,362.7,467.6,579.0,722.5,846.2,966.2,1093.5,1235.2,1307.7,72.6,155.8,282.8,370.3,467.4,574.4,692.0,834.1,974.3,1080.6,1207.0,1307.4,108.5,248.3,376.3,511.8,652.7,818.1,1003.3,1173.1,1303.2,1434.2,1564.0,1687.3,133.1,275.3,419.4,602.1,780.9,987.4,1172.5,1360.5,1522.5,1738.5,1864.0,2135.7,169.0,341.8,613.0
4,"Hayvonlar va usimliklar moylari (yoglari), yoglar va mumlar","Животные и растительные масла, жиры и воски","Animal and vegetable oils, fats and wax","Ҳайвонлар ва ўсимликлар мойлари (ёғлари), ёғлар ва мумлар",0.2,0.6,0.9,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.5,0.6,2.4,5.4,8.0,14.1,18.5,19.5,19.9,20.1,20.5,20.7,21.2,0.0,0.2,1.1,2.3,3.8,5.4,6.6,7.5,8.2,9.8,11.9,14.2,1.8,4.0,6.9,11.3,15.9,19.7,23.2,24.8,27.6,32.6,39.0,43.5,6.4,11.7,17.5,22.8,26.8,31.7,36.1,41.1,45.9,47.7,51.3,56.6,7.5,18.7,29.5
2,"Nooziq-ovqat xomashyo, yokilg‘idan tashqari","Сырье непродовольственное, кроме топлива","Non-food raw materials, except fuel","Ноозиқ-овқат хомашё, ёқилғидан ташқари",22.3,69.4,131.8,171.6,213.2,257.8,289.3,348.1,387.3,427.9,474.1,509.5,45.4,74.9,103.1,134.5,168.7,208.0,238.5,273.4,296.3,328.8,357.0,393.6,14.9,36.5,61.1,86.1,111.6,148.2,170.2,196.8,228.7,253.2,284.4,321.4,24.2,53.3,79.9,116.8,140.4,160.0,182.7,207.6,236.5,260.5,291.0,320.6,20.4,49.0,71.2,94.3,113.0,135.3,158.8,187.1,211.0,241.1,263.8,294.6,18.6,58.1,83.1
3,"Mineral yoqilg‘i, yog‘lash moylari va shunga o‘xshash materiallar","Минеральное топливо, смазочные масла и аналогичные материалы","Mineral fuels, lubricating oils and similar materials","Минерал ёқилғи, ёғлаш мойлари ва шунга ўхшаш материаллар",30.8,67.4,108.7,162.3,231.1,292.7,387.3,514.8,638.2,786.5,863.8,914.8,43.7,83.4,165.1,356.4,450.8,553.5,676.3,809.2,957.0,1068.6,1183.4,1215.2,15.0,37.6,102.8,211.5,337.9,440.3,532.0,602.0,679.1,768.3,870.2,940.6,40.5,110.0,210.9,343.0,459.5,585.6,785.5,878.9,1010.9,1127.7,1217.5,1315.0,69.8,143.6,258.3,417.6,596.9,734.0,876.2,1003.5,1119.9,1242.3,1384.8,1476.2,59.5,124.4,243.8
0,Oziq-ovqat mahsulotlari va tirik hayvonlar,Пищевые продукты и живые животные,Food and live animals,Озиқ-овқат маҳсулотлари ва тирик ҳайвонлар,76.0,148.0,228.8,312.3,452.0,591.1,704.4,808.5,921.0,1077.0,1234.5,1371.8,89.9,186.1,281.7,393.6,516.9,653.7,780.9,928.5,1079.8,1277.0,1466.6,1631.5,113.0,222.2,344.4,473.4,679.6,871.6,1028.9,1168.9,1287.7,1456.9,1644.2,1777.6,116.3,236.7,351.6,472.2,627.0,846.5,1081.1,1270.2,1448.9,1709.5,1971.2,2175.2,143.2,294.2,469.5,663.6,925.8,1214.0,1510.3,1785.8,2046.9,2392.9,2685.7,2944.7,168.8,350.7,534.8
